event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
101454	1	13	9	453	3092.9	0.060158	0.19127	0.011038	0	0.23261	0.0066225	0.96997	3	0.8663	3302	0.050773	0.07947	0.00883	0.0066225	0.24045	0	0	453	0.0022075	0.0022075	0.26836	0	0	453	0.0022272	0.0022272	0.24292	0	0.00883	449
101466	1	7	3	23	54.801	0.038638	0.14528	0	0	0.21865	0	18.248	1	1	109	0.17391	0.17391	0	0	0.18829	0	0	23	0	0	0.35583	0	0	23	0	0	0.16789	0	0	23
101488	0																																		
101498	1	10	6	287	1567.7	0.064315	0.17749	0.045296	0	0.14391	0.0034843	2.5516	4	0.96407	1547	0.094077	0.045296	0.0069686	0	0.24669	0	0	287	0	0	0.25982	0	0.0034843	286	0.0034843	0.0034843	0.24242	0	0	287
101520	0																																		
101532	0																																		
101554	1	13	21	570	2138.3	0.33495	0.23381	0.0017544	0	0.15212	0.0087719	0	0	0.76124	3842	0.0035088	0.082456	0.012281	0.0035088	0.25326	0	0	570	0.015873	0.0088183	0.25425	0	0.0052632	567	0.0035273	0	0.2475	0	0.0052632	567
101565	0																																		
101675	1	11	18	417	2455.7	0.19706	0.16089	0.076739	0.043165	0.2584	0.0071942	0.81444	2	0.40744	4397	0.023981	0.1223	0	0	0.27768	0	0.0047962	415	0.0099502	0.0074627	0.23309	0	0.035971	402	0	0	0.22319	0	0.019185	409
101828	1	34	12	234	1426.4	0.089934	0.33197	0	0	0.12054	0.11966	0	0	0.99832	835	0.021368	0.12821	0.021368	0.008547	0.24059	0.07265	0	234	0.021368	0.017094	0.28229	0.068376	0	234	0.017094	0.012821	0.1893	0	0	234
101873	0																																		
102005	0																																		
102082	0																																		
102247	1	13	10	44	565.93	0.083064	0.027059	0	0	0.11414	0.045455	0	0	1	123	0	0.40909	0.045455	0.045455	0.20468	0	0	44	0	0	0.34456	0	0	44	0	0	0.096372	0	0	44
102643	1	19	4	16	875.51	0.33316	0.11382	0	0	0.13024	0	0	0	1	42	0	0.25	0	0	0.18798	0	0	16	0	0	0.24369	0	0.25	12	0	0	0.13491	0	0	16
102841	1	11	14	178	1827.6	0.074737	0.072023	0.011236	0	0.084616	0.02809	0	0	1	745	0.033708	0.1573	0.022472	0.016854	0.20216	0	0	178	0.03268	0.026144	0.26578	0	0.14045	153	0.011236	0.005618	0.18024	0	0	178
102940	0																																		
103039	0																																		
103061	1	4	8	34	235.19	0.023833	0.147	0	0	0.2259	0	0	0	1	112	0.058824	0.38235	0	0	0.25371	0	0	34	0	0	0.20312	0	0	34	0	0	0.054399	0	0	34
103193	1	2	1	19	27.089	0.026659	0.026659	0	0	0.26414	0	0	0	0.99241	91	0	0	0	0	0.11478	0	0	19	0	0	0.24334	0	0	19	0	0	0.32318	0	0	19
103204	1	20	3	302	915.93	0.26776	0.10079	0.016556	0	0.19305	0.35099	0	0	0.97761	1486	0.0033113	0.0099338	0.013245	0.0099338	0.25615	0	0	302	0.023256	0.023256	0.29941	0.41473	0.1457	258	0.013333	0.0033333	0.23527	0	0.0066225	300
103226	0																																		
103270	0																																		
103391	1	9	13	288	2643	0.053789	0.082338	0	0	0.17345	0.0034722	0.37835	1	0.8897	1707	0.027778	0.11458	0.0069444	0	0.22968	0	0	288	0.010417	0.0034722	0.24472	0	0	288	0.0069444	0	0.19047	0	0	288
103545	1	18	5	71	249.69	0.45978	0.25706	0.042254	0	0.30533	0.014085	4.005	1	0.9783	486	0.056338	0.16901	0.014286	0.014286	0.24175	0	0.014085	70	0.042254	0.014085	0.31246	0	0	71	0.014085	0.014085	0.20646	0	0	71
103567	0																																		
103798	1	17	39	294	2198.7	0.082174	0.23592	0.010204	0	0.16582	0.037415	1.3644	3	0.99198	1271	0.068027	0.32313	0.017123	0.010274	0.26972	0.0034247	0.0068027	292	0.039855	0.021739	0.2354	0.0036232	0.061224	276	0.027211	0.020408	0.17688	0.0034014	0	294
103820	0																																		
103952	1	15	16	800	2835.7	0.35751	0.28811	0.00375	0	0.15331	0.005	0	0	0.91741	5025	0	0.07375	0.00375	0.00375	0.24047	0	0	800	0	0	0.24175	0	0.03	776	0.0025031	0.0012516	0.24854	0	0.00125	799
104018	0																																		
104172	1	24	30	404	2472.8	0.25534	0.33913	0.05198	0	0.31673	0.014851	2.022	5	0.56899	3192	0.089109	0.28713	0.0074257	0.0074257	0.2366	0	0	404	0.009901	0.0074257	0.27261	0	0	404	0.012723	0.0050891	0.21245	0	0.027228	393
104216	1	10	19	394	2128.7	0.22439	0.23248	0.020305	0	0.15155	0.022843	0	0	0.8806	2589	0.0076142	0.12437	0.022959	0.022959	0.2353	0	0.0050761	392	0	0	0.27146	0	0.14721	336	0	0	0.25514	0	0	394
104260	1	10	14	399	1488.4	0.076831	0.18335	0.0025063	0	0.1271	0.010025	0.67186	1	0.97752	2205	0.015038	0.06015	0	0	0.25002	0	0	399	0.0050125	0.0050125	0.24957	0.010025	0	399	0	0	0.22611	0	0.010025	395
104304	1	13	3	326	1199.2	0.099987	0.040277	0.04908	0	0.32152	0.0030675	0	0	0.3402	4238	0	0.02454	0	0	0.24315	0	0	326	0.01227	0	0.26892	0	0	326	0.0031056	0.0031056	0.23983	0	0.01227	322
104920	1	9	6	398	1908.7	0.025392	0.054105	0.01005	0	0.25596	0	0	0	0.4721	4297	0.01005	0.040201	0.0025126	0	0.2329	0	0	398	0.0025126	0	0.25082	0	0	398	0	0	0.25408	0	0.0025126	397
105074	0																																		
105140	1	6	3	106	297.57	0.032763	0.089034	0	0	0.097304	0	0	0	1	555	0.009434	0.04717	0	0	0.20367	0	0	106	0	0	0.24705	0	0	106	0	0	0.23873	0	0	106
105206	0																																		
105250	0																																		
105316	1	20	29	300	2193.4	0.18403	0.19739	0.043333	0	0.14489	0.036667	0.45592	1	0.93559	1482	0.04	0.28	0.02	0.0033333	0.21586	0.0033333	0	300	0.04	0.03	0.27738	0.01	0	300	0	0.0033333	0.20258	0.0033333	0	300
105338	0																																		
105404	1	4	8	188	693.67	0.11327	0.13029	0.12766	0	0.44848	0.06383	2.8832	2	0.67603	1489	0.079787	0.13298	0.053191	0.047872	0.27192	0	0	188	0.013072	0.013072	0.27007	0	0.18617	153	0.0053191	0.0053191	0.24356	0	0	188
105426	1	10	2	89	179.77	0.2537	0.12685	0	0	0.10361	0	0	0	1	530	0	0.033708	0	0	0.21565	0	0	89	0	0	0.30018	0	0	89	0	0	0.27455	0	0	89
105492	1	9	10	89	2644.7	0.1755	0.21003	0	0	0.17272	0.011236	0.37812	1	0.97338	406	0.05618	0.35955	0.011236	0.011236	0.23535	0	0	89	0.011236	0.011236	0.25404	0	0	89	0.011236	0.011236	0.16871	0	0	89
105690	0																																		
155829	0																																		
156093	1	8	6	453	1352	0.45558	0.36692	0.16115	0.12583	0.12332	0.21192	0	0	0.99768	1651	0.004415	0.030905	0.004415	0	0.25341	0	0	453	0.081678	0.081678	0.28837	0.15011	0	453	0.0044346	0.0022173	0.25097	0	0.004415	451
156313	1	6	3	19	75.681	0.058195	0.17874	0	0	0.15865	0	0	0	1	73	0	0.15789	0	0	0.17926	0.052632	0	19	0	0	0.22649	0.052632	0	19	0	0	0.17877	0.052632	0	19
156599	0																																		
