event	has	main_cid	rows	len_cm	uncov	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
47212	1	1	700	4003.5	0.37109	0.80143	0.80143	32.47	0.77143	0.74935	3	0.88428	944	0.051429	0.25857	0.06	0.061429	0.34713	0.70857	0	700	0.022923	0.022923	0.28256	0.69771	0.0028571	698	0.0057803	0.0057803	0.24188	0.70665	0.011429	692
52693	1	18	618	2221.8	0.22906	0.43042	0.37864	0.29929	0.43204	1.3502	3	1	2053	0.037217	0.071197	0.019417	0.017799	0.25139	0.26214	0	618	0.042276	0.043902	0.26728	0.26504	0.0048544	615	0.15049	0.13592	0.23742	0.27346	0	618
74336	1	22	365	2103.6	0.03064	0.45205	0.45205	0.181	0.44658	0	0	1	1137	0.013699	0.079452	0.032877	0.032877	0.27299	0.40822	0	365	0.027397	0.027397	0.27423	0.41096	0	365	0.032967	0.032967	0.22913	0.40934	0.0027397	364
94392	1	5	473	2668.6	0.29343	0.40381	0.35941	0.55811	0.36575	1.1242	3	0.4569	2853	0.065539	0.10148	0.012685	0.014799	0.25638	0.33615	0	473	0.029598	0.021142	0.25578	0.34038	0	473	0.030303	0.021645	0.27396	0.33333	0.023256	462
101828	1	18	876	2909.6	0.49848	0.26142	0.25913	0.17418	0.2363	0.34368	1	0.98813	3376	0.010274	0.038813	0.01373	0.011442	0.25256	0.14989	0.0022831	874	0.089041	0.0879	0.27859	0.14954	0	876	0.083429	0.084571	0.25535	0.15314	0.0011416	875
170098	1	16	488	2588.5	0.077658	0.65369	0.65369	33.8	0.6373	0	0	0.95254	1069	0.02459	0.21926	0.018443	0.016393	0.24912	0.6209	0	488	0	0	0.24411	0.6209	0	488	0.010267	0.010267	0.22539	0.62218	0.0020492	487
392009	1	6	789	4292.5	0.17907	0.36882	0.36882	0.11818	0.37009	0.6989	3	0.99983	2530	0.029151	0.038023	0.23402	0.23529	0.34024	0.13555	0.008872	782	0.23223	0.2335	0.36065	0.13452	0.0012674	788	0.23087	0.23342	0.33367	0.1352	0.0063371	784
393505	1	15	867	2623.7	0.5713	0.406	0.39331	0.24672	0.39677	0.38114	1	0.98912	2844	0.019608	0.05421	0.35179	0.34833	0.40283	0.04729	0	867	0.031142	0.020761	0.26258	0	0	867	0.089327	0.081206	0.27104	0	0.005767	862
