event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
388	1	23	46	1036	5035.7	0.39707	0.52364	0.15251	0.0019305	0.42661	0.028958	3.1773	16	0.59692	12397	0.11004	0.29923	0.0096525	0.0057915	0.24869	0.00096525	0	1036	0.01938	0.0087209	0.25906	0.00096899	0.003861	1032	0.022571	0.013739	0.25723	0.0019627	0.016409	1019
10550	1	7	40	444	3024	0.46868	0.3921	0.094595	0.018018	0.29129	0.029279	0.66137	2	0.88707	2988	0.042793	0.31306	0.018018	0.013514	0.26766	0.013514	0	444	0.020316	0.013544	0.26321	0.013544	0.0022523	443	0.013514	0.011261	0.27562	0.013514	0	444
30504	1	11	33	569	2603.9	0.25141	0.3659	0.10545	0	0.39159	0.031634	2.3042	6	0.48084	8371	0.065026	0.26889	0.02812	0.017575	0.26895	0	0	569	0.015873	0.0088183	0.24212	0	0.0035149	567	0.026408	0.0052817	0.2542	0	0.0017575	568
38856	1	12	27	607	1978.4	0.26748	0.42139	0.15815	0.0032949	0.37714	0.042834	2.0218	4	0.47359	7880	0.062603	0.22076	0.0032949	0.0032949	0.25755	0	0	607	0.049149	0.032136	0.27712	0	0.1285	529	0.024712	0.011532	0.23912	0	0	607
42280	1	8	41	973	4532	0.28669	0.39793	0.17575	0.05036	0.4773	0.083248	1.1033	5	0.35903	16060	0.071942	0.24666	0.032888	0.012333	0.26966	0	0	973	0.056842	0.035789	0.2512	0	0.023638	950	0.055785	0.036157	0.27141	0	0.0051387	968
46363	1	19	44	923	5049.3	0.29089	0.3758	0.14735	0.0043337	0.44019	0.03792	3.5649	18	0.55866	10721	0.12676	0.31528	0.022752	0.0097508	0.23824	0	0	923	0.031768	0.017956	0.23424	0	0.2156	724	0.03482	0.019587	0.231	0	0.0043337	919
52672	1	82	57	594	3838	0.3804	0.32219	0.084175	0	0.28163	0.047138	1.3028	5	0.57712	5390	0.06229	0.33165	0.020202	0.018519	0.232	0	0	594	0.014235	0.014235	0.26205	0	0.053872	562	0.025467	0.022071	0.24756	0	0.0084175	589
54095	1	17	47	1263	4770.4	0.31194	0.5605	0.12668	0.0031671	0.44266	0.044339	5.8695	28	0.55949	16814	0.13856	0.2502	0.017419	0.011876	0.25505	0.00079177	0	1263	0.045274	0.026211	0.2628	0.00079428	0.0031671	1259	0.02008	0.0096386	0.24722	0.00080321	0.014252	1245
69314	1	3	28	812	3876.7	0.069844	0.25017	0.055419	0	0.21252	0.018473	0.77385	3	0.72555	6776	0.036946	0.18473	0.0073892	0.0061576	0.26984	0.0024631	0	812	0.017263	0.0086313	0.2552	0.0024661	0.0012315	811	0.01125	0.005	0.22021	0.0025	0.014778	800
74544	1	12	20	773	3639.2	0.22977	0.45786	0.15136	0.0025873	0.45827	0.020699	4.9461	18	0.48801	11394	0.14748	0.25744	0.019405	0.0025873	0.26477	0	0	773	0.015524	0.0025873	0.24996	0	0	773	0.027595	0.015769	0.24389	0.0013141	0.015524	761
81597	1	19	33	594	3297.3	0.30313	0.68135	0.12963	0	0.4112	0.025253	2.1229	7	0.61833	6430	0.11111	0.27946	0.020202	0.010101	0.25345	0.006734	0	594	0.017271	0.0069085	0.24879	0.0069085	0.025253	579	0.005059	0.0033727	0.24024	0.0067454	0.0016835	593
90055	1	11	60	1163	6714.7	0.32182	0.32217	0.14445	0.026655	0.46974	0.067928	2.6807	18	0.50917	14818	0.11608	0.30267	0.043852	0.027515	0.27369	0.028375	0	1163	0.027778	0.011285	0.26568	0	0.0094583	1152	0.012324	0.0052817	0.25293	0	0.023216	1136
111412	1	18	23	398	2509.1	0.35261	0.17003	0.042714	0	0.34336	0.0025126	1.5942	4	0.35571	6886	0.10553	0.27387	0.0050251	0	0.28033	0	0	398	0.015075	0	0.27176	0	0	398	0.0076531	0.002551	0.21098	0	0.015075	392
116962	1	21	23	473	1326.1	0.25007	0.36433	0.11839	0.0084567	0.39197	0.033827	4.5247	6	0.54232	4326	0.10359	0.24947	0.02537	0.023256	0.27281	0	0	473	0.012685	0.0084567	0.25534	0.0021142	0	473	0.012766	0.0021277	0.25739	0	0.0063425	470
122660	1	31	41	809	4938.7	0.26383	0.39746	0.15946	0.0098888	0.46767	0.095179	2.0248	10	0.5525	8667	0.088999	0.28925	0.021014	0.0098888	0.26693	0	0	809	0.075032	0.046572	0.28753	0	0.044499	773	0.085608	0.050868	0.27548	0	0.0037083	806
131357	1	12	22	371	1223.9	0.27515	0.39256	0.091644	0	0.25481	0.024259	1.6341	2	0.90713	2354	0.040431	0.3531	0.021563	0.016173	0.23301	0	0	371	0.018868	0.010782	0.25642	0	0	371	0.018868	0.016173	0.25443	0	0	371
