event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
48301	0																																		
48367	1	19	28	583	2268.1	0.16913	0.35696	0.036021	0	0.23874	0.017153	1.3227	3	0.73441	4593	0.025729	0.15952	0.015437	0.010292	0.2532	0	0	583	0.015437	0.0068611	0.25092	0	0	583	0.010676	0	0.23356	0	0.036021	562
48565	0																																		
48895	0																																		
49445	0																																		
49467	0																																		
49511	0																																		
49709	0																																		
49885	0																																		
49951	1	16	13	220	1351.2	0.12216	0.31173	0.036364	0	0.12367	0.031818	2.2202	3	0.99685	1078	0.090909	0.12727	0.013636	0.013636	0.2317	0.0090909	0	220	0.018182	0.018182	0.24014	0.0090909	0	220	0.0045662	0.0045662	0.2426	0.0091324	0.0045455	219
50017	0																																		
50303	1	12	12	129	1954.3	0.361	0.21579	0	0	0.10659	0.031008	0.5117	1	0.97767	643	0.046512	0.2093	0	0	0.22409	0	0	129	0.015625	0.015625	0.2632	0	0.0077519	128	0	0	0.26136	0.015748	0.015504	127
50523	0																																		
50743	1	17	8	33	629.29	0.073754	0.092263	0	0	0.16244	0	0	0	1	94	0	0.36364	0	0	0.15233	0	0	33	0	0	0.22526	0	0	33	0	0	0.11086	0	0	33
50765	0																																		
50787	1	6	3	91	667.42	0.10809	0.071266	0	0	0.098855	0.010989	1.4983	1	1	458	0.043956	0.043956	0	0	0.25134	0	0	91	0.010989	0.010989	0.28412	0	0	91	0	0	0.16915	0	0	91
50809	0																																		
50831	1	14	11	73	668.67	0.018226	0.085269	0	0	0.11284	0	1.4955	1	1	294	0.10959	0.28767	0	0	0.24084	0	0	73	0	0	0.24535	0	0	73	0	0	0.1866	0	0	73
50919	0																																		
51051	1	19	5	452	1740.1	0.31843	0.29811	0	0	0.07078	0.0066372	0.57468	1	0.98642	2275	0.011062	0.019912	0.0022124	0	0.25349	0.0044248	0	452	0.0044248	0.0022124	0.24979	0.0044248	0	452	0.0022222	0.0022222	0.23822	0.0044444	0.0044248	450
51469	0																																		
51513	1	16	8	166	937.98	0.024114	0.13796	0	0	0.065909	0.0060241	1.0661	1	1	698	0.036145	0.11446	0.0060241	0.0060241	0.2182	0.024096	0	166	0	0	0.20878	0.024845	0.03012	161	0	0	0.2098	0.024242	0.0060241	165
51865	1	20	8	34	1386.8	0.092866	0.12188	0	0	0.1482	0	0.72106	1	1	104	0.14706	0.29412	0	0	0.27937	0	0	34	0	0	0.32901	0	0	34	0	0	0.15824	0	0	34
52085	1	6	8	283	1086.9	0.055972	0.1883	0.014134	0	0.077122	0.010601	0.92008	1	0.94309	1538	0.028269	0.056537	0.0070671	0.0070671	0.25084	0	0	283	0.014134	0.010601	0.2523	0	0	283	0.021201	0.0070671	0.24964	0	0	283
52195	0																																		
52613	1	2	32	184	1290.3	0.44218	0.3574	0	0	0.15392	0.021739	2.3251	3	0.99628	652	0.13587	0.33696	0.0054348	0.0054348	0.2177	0	0	184	0.022222	0.016667	0.23093	0	0.021739	180	0.01087	0	0.162	0	0	184
52657	1	23	6	211	883.4	0.46897	0.31198	0	0	0.10135	0.0094787	0	0	0.98881	1151	0.018957	0.075829	0	0	0.25321	0	0	211	0.0094787	0.0094787	0.25175	0	0	211	0	0	0.20966	0	0	211
52723	1	7	4	131	230.21	0.010307	0.021209	0.0076336	0	0.087177	0	0	0	1	592	0	0.068702	0	0	0.23782	0	0	131	0	0	0.25329	0	0	131	0	0	0.26641	0	0	131
53361	1	27	6	244	1256	0.098607	0.11753	0.016393	0	0.075521	0	0	0	0.99911	1194	0.0081967	0.069672	0	0	0.24629	0	0	244	0	0	0.25156	0	0	244	0	0	0.25476	0	0	244
