event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
388	1	23	47	1080	5043.8	0.35304	0.52403	0.15278	0	0.42669	0.027778	2.974	15	0.63341	12435	0.099074	0.31204	0.015741	0.0092593	0.2623	0	0	1080	0.020446	0.010223	0.26113	0	0.0037037	1076	0.028249	0.011299	0.25008	0.00094162	0.016667	1062
10550	1	7	40	473	3133.2	0.43882	0.39333	0.093023	0.016913	0.30198	0.031712	1.2767	4	0.91037	2988	0.061311	0.3277	0.023256	0.019027	0.27375	0.012685	0	473	0.012712	0.010593	0.22307	0.012712	0.0021142	472	0.019027	0.012685	0.25708	0.012685	0	473
30504	1	60	32	500	2413.1	0	0.35806	0.074	0	0.38047	0.032	1.6576	4	0.43564	8315	0.042	0.238	0.034	0.026	0.24972	0	0	500	0.018182	0.0040404	0.23042	0	0.01	495	0.012024	0.002004	0.24301	0	0.002	499
38856	1	12	28	638	1996	0.24599	0.44302	0.12696	0.0094044	0.40663	0.037618	3.5071	7	0.5078	7899	0.073668	0.26646	0.0047022	0.0047022	0.24888	0	0	638	0.048474	0.032316	0.26808	0	0.12696	557	0.015674	0.0047022	0.23161	0	0	638
42280	1	8	41	910	4448.6	0.26646	0.40124	0.18571	0.046154	0.48616	0.074725	2.0231	9	0.33893	16067	0.067033	0.23846	0.013187	0.0054945	0.23439	0	0	910	0.06734	0.042649	0.26577	0	0.020879	891	0.046307	0.029768	0.26681	0	0.0032967	907
46363	1	19	44	950	4957	0.31158	0.36637	0.14105	0.0031579	0.45879	0.052632	3.4295	17	0.54074	10721	0.11368	0.3	0.017895	0.010526	0.2532	0	0	950	0.063889	0.041667	0.26783	0	0.24211	720	0.047821	0.018066	0.24983	0	0.0094737	941
52672	1	9	57	579	3794.1	0.18126	0.32988	0.08981	0.0034542	0.3121	0.055268	0.52714	2	0.56103	5390	0.025907	0.34715	0.02418	0.013817	0.25461	0	0	579	0.034672	0.025547	0.25199	0	0.053541	548	0.032929	0.025997	0.2426	0	0.0034542	577
54095	1	17	47	1260	4942.8	0.31099	0.56184	0.14841	0.0047619	0.46353	0.039683	4.8555	24	0.54478	16814	0.12937	0.26111	0.01746	0.011905	0.25774	0.0015873	0	1260	0.051793	0.023108	0.27226	0.0015936	0.0039683	1255	0.016234	0.0048701	0.23259	0.0016234	0.022222	1232
69314	1	3	28	805	3845.9	0.067104	0.25416	0.053416	0	0.2255	0.013665	0.52003	2	0.72711	6776	0.038509	0.17516	0.0062112	0.0037267	0.27375	0.0024845	0	805	0.016189	0.007472	0.23098	0.0024907	0.0024845	803	0.0063052	0.0037831	0.22271	0.0025221	0.014907	793
74544	1	12	20	705	3469.9	0.28502	0.45853	0.13759	0.0028369	0.47255	0.021277	4.0347	14	0.47018	11394	0.15035	0.24823	0.0085106	0.0028369	0.2453	0	0	705	0.028369	0.011348	0.25648	0	0	705	0.017217	0.0057389	0.24993	0.0014347	0.011348	697
81597	1	19	34	614	3378.1	0.33434	0.68924	0.15309	0.004886	0.42384	0.035831	2.9602	10	0.61649	6558	0.10912	0.2785	0.014658	0.0065147	0.24351	0.0081433	0	614	0.033113	0.013245	0.26069	0.0082781	0.016287	604	0.013029	0.011401	0.24875	0.0081433	0	614
90055	1	11	60	1139	6548.1	0.29416	0.33911	0.14925	0.030729	0.43109	0.072871	3.0543	20	0.49974	14818	0.11853	0.28534	0.029851	0.021071	0.26111	0.028973	0	1139	0.038869	0.028269	0.26827	0	0.0061457	1132	0.020739	0.0072137	0.25064	0	0.026339	1109
111412	1	18	23	429	2488.6	0.30596	0.18201	0.044289	0	0.3508	0.011655	2.411	6	0.38371	6886	0.10723	0.2331	0.020979	0	0.23281	0	0	429	0.018648	0.004662	0.25978	0	0	429	0.016548	0.0070922	0.24601	0	0.013986	423
116962	1	58	23	412	1278.4	0.099214	0.37901	0.11893	0.01699	0.40723	0.036408	0.78223	1	0.5085	4326	0.041262	0.30583	0.031553	0.026699	0.256	0	0	412	0.01699	0.0097087	0.24213	0.0024272	0	412	0.0097324	0.0048662	0.20744	0	0.0024272	411
122660	1	9	41	814	5004.7	0.31058	0.39899	0.14005	0.002457	0.46539	0.058968	2.5976	13	0.56362	8667	0.099509	0.29115	0.025799	0.009828	0.25051	0	0	814	0.066752	0.03466	0.28912	0	0.042998	779	0.048267	0.02599	0.26934	0	0.007371	808
131357	1	12	22	385	1325.2	0.30885	0.40086	0.10649	0	0.29615	0.028571	3.7731	5	0.89544	2354	0.1039	0.31429	0.025974	0.015584	0.24803	0	0	385	0.036364	0.015584	0.24498	0	0	385	0.020779	0.015584	0.22667	0	0	385
137238	1	144	17	492	1621.4	0.40079	0.33399	0.046748	0	0.20865	0.02439	0	0	0.72523	3616	0.012195	0.16057	0.018293	0.012195	0.22388	0.0060976	0	492	0.0021008	0.0021008	0.25623	0.0063025	0.03252	476	0.022358	0.0060976	0.26069	0.0060976	0	492
138009	1	12	35	635	2708.5	0.19819	0.34081	0.10866	0	0.36236	0.022047	3.3229	9	0.80846	4924	0.070866	0.27402	0.012618	0.0063091	0.24828	0	0.0015748	634	0.02107	0.016207	0.24356	0	0.028346	617	0.0094787	0	0.25104	0	0.0031496	633
163543	1	14	50	657	3069	0.28847	0.37399	0.062405	0	0.29361	0.041096	1.3033	4	0.82641	4944	0.03653	0.33333	0.024353	0.013699	0.2454	0	0	657	0.052469	0.032407	0.27498	0	0.013699	648	0.0048154	0.0032103	0.26595	0	0.05175	623
168596	1	14	49	938	4369	0.25424	0.43945	0.14606	0.015991	0.46993	0.050107	5.0354	22	0.68767	8543	0.15032	0.26333	0.027719	0.01919	0.26605	0	0	938	0.05646	0.023887	0.25207	0	0.018124	921	0.033333	0.015054	0.2411	0	0.0085288	930
172230	1	5	37	741	2199.6	0.307	0.34197	0.11876	0	0.42372	0.036437	4.0916	9	0.67469	8262	0.090418	0.29285	0.035088	0.025641	0.27103	0	0	741	0.010796	0.0080972	0.25687	0	0	741	0.016272	0.0029586	0.25295	0	0.087719	676
174637	1	9	29	473	2723.8	0.27315	0.3347	0.048626	0	0.28776	0.02537	0.36713	1	0.82621	3336	0.042283	0.30233	0.0042373	0	0.25318	0.012712	0.0021142	472	0.012685	0.012685	0.25555	0	0	473	0.0042644	0.0021322	0.23001	0	0.0084567	469
196649	1	11	22	853	3540.3	0.31909	0.58492	0.17937	0.01524	0.54506	0.044549	6.4967	23	0.58086	10797	0.17233	0.28605	0.028136	0.017585	0.25923	0	0	853	0.057444	0.01993	0.27015	0	0	853	0.024691	0.0098765	0.25913	0	0.05041	810
214469	1	16	45	1159	3623.4	0.29803	0.51603	0.14323	0.0086281	0.45436	0.046592	4.4157	16	0.69832	11609	0.10785	0.22347	0.041415	0.020708	0.25529	0	0	1159	0.039254	0.019627	0.26876	0	0.12079	1019	0.026019	0.010408	0.25008	0	0.0051769	1153
219295	1	15	38	775	3105	0.28162	0.39802	0.1071	0.0012903	0.32064	0.028387	2.2544	7	0.81	6246	0.072258	0.24903	0.012903	0.0077419	0.26333	0	0	775	0.024516	0.018065	0.2729	0	0	775	0.011658	0.0051813	0.23874	0	0.003871	772
234638	1	10	53	793	4793.1	0.27646	0.33212	0.070618	0.0075662	0.28409	0.04918	0.83453	4	0.75613	5535	0.051702	0.26482	0.017654	0.013871	0.24748	0.0025221	0	793	0.013871	0.010088	0.24841	0.0025221	0	793	0.034221	0.027883	0.2452	0.0025349	0.0050441	789
235435	1	2	9	286	971.49	0.33277	0.40559	0.10839	0	0.48682	0.017483	2.0587	2	0.76211	2640	0.066434	0.28322	0.013986	0.0034965	0.22812	0.0034965	0	286	0.0073801	0.00369	0.22778	0.00369	0.052448	271	0.006993	0.006993	0.2761	0.0034965	0	286
239794	1	2	53	1075	3471.6	0.28261	0.57813	0.15907	0.0018605	0.42284	0.046512	2.8806	10	0.69351	11110	0.08186	0.27721	0.017674	0.011163	0.24104	0	0	1075	0.026977	0.020465	0.26072	0.0037209	0	1075	0.02233	0.017476	0.25776	0	0.04186	1030
246579	1	19	43	943	4524.4	0.28099	0.42994	0.17391	0.0063627	0.51247	0.044539	4.4204	20	0.59723	10688	0.14104	0.29374	0.014846	0.010604	0.24106	0	0	943	0.041037	0.0097192	0.26509	0	0.018028	926	0.043829	0.028835	0.26148	0	0.080594	867
256587	1	11	83	1814	8872.3	0.32079	0.4444	0.14333	0.008269	0.46093	0.03473	4.3957	39	0.46463	30195	0.15325	0.28225	0.02591	0.014884	0.25657	0	0	1814	0.024472	0.013904	0.24456	0	0.0088203	1798	0.021076	0.0066556	0.24699	0	0.0060639	1803
267597	1	5	63	826	4763.8	0.20189	0.34472	0.044794	0	0.19921	0.032688	0.83966	4	0.86798	6184	0.031477	0.24939	0.01816	0.014528	0.25102	0	0	826	0.014528	0.013317	0.26316	0	0	826	0.012151	0.0097205	0.24111	0	0.003632	823
268067	1	15	22	526	1573.7	0.11661	0.30294	0.070342	0	0.24118	0.01711	1.2709	2	0.89108	3637	0.019011	0.19582	0.0038023	0.0019011	0.24482	0	0	526	0.019011	0.013308	0.27941	0	0	526	0.013359	0.0019084	0.2409	0	0.0038023	524
268784	1	13	43	836	3900.3	0.38535	0.3623	0.074163	0	0.25986	0.013158	1.282	5	0.82742	6277	0.038278	0.26555	0.0059809	0.0035885	0.25671	0	0	836	0.013158	0.0083732	0.26213	0	0	836	0.0083832	0.0023952	0.23215	0	0.0011962	835
269774	1	87	77	1229	6935.9	0.19471	0.42229	0.082181	0.002441	0.40549	0.036615	2.7394	19	0.77298	9677	0.083808	0.31977	0.018714	0.011391	0.25726	0	0	1229	0.040164	0.022131	0.27438	0.004918	0.007323	1220	0.01546	0.002441	0.25441	0	0	1229
271851	1	23	39	895	3544.7	0.33148	0.45817	0.11508	0.0044693	0.46746	0.07486	3.9495	14	0.46361	10375	0.1095	0.24693	0.018994	0.013408	0.25465	0	0	895	0.069051	0.045623	0.28384	0	0.093855	811	0.040449	0.025843	0.25835	0.0044944	0.0055866	890
