event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
18625	1	11	21	594	1954.2	0.01418	0.31086	0.025253	0	0.22587	0.020202	0.51171	1	0.56803	6992	0.026936	0.14141	0.013468	0.013468	0.2644	0	0	594	0.020408	0.0085034	0.26656	0	0.010101	588	0.006734	0.0016835	0.23839	0	0	594
21073	1	11	40	802	2666.9	0.54537	0.33381	0.098504	0.0037406	0.28379	0.026185	2.2498	6	0.72704	7317	0.069825	0.24314	0.029925	0.014963	0.26089	0.0012469	0	802	0.026194	0.012327	0.26999	0.0030817	0.19077	649	0.010025	0.0025063	0.25624	0	0.0049875	798
37112	1	84	37	461	2843.9	0.31308	0.32172	0.099783	0.0043384	0.27214	0.052061	1.4065	4	0.67631	3797	0.047722	0.28633	0.052516	0.041575	0.27759	0	0.0086768	457	0.023913	0.01087	0.25572	0	0.0021692	460	0.018735	0.0046838	0.22339	0	0.073753	427
56982	1	22	47	591	3957.3	0.29036	0.26625	0.064298	0.0084602	0.29655	0.042301	0.75809	3	0.67847	5582	0.040609	0.34856	0.018613	0.011844	0.24254	0	0	591	0.044293	0.028961	0.26439	0	0.0067682	587	0.02381	0.018707	0.22736	0	0.0050761	588
71372	1	92	74	1447	4951.2	0.52543	0.46923	0.10159	0	0.38573	0.040774	3.2316	16	0.58833	15717	0.085695	0.25225	0.020733	0.0076019	0.26569	0	0	1447	0.050624	0.0319	0.26991	0	0.0034554	1442	0.009922	0.0028349	0.2354	0	0.024879	1411
84229	1	19	37	765	4056	0.20821	0.30172	0.12418	0	0.36028	0.058824	1.7258	7	0.80885	5880	0.067974	0.19477	0.014379	0.0039216	0.22116	0.0026144	0	765	0.064136	0.052356	0.28702	0	0.0013072	764	0.016993	0.0039216	0.2258	0	0	765
105946	1	14	33	474	3245.1	0.16023	0.24029	0.084388	0.0021097	0.2938	0.018987	1.2326	4	0.68713	4414	0.052743	0.27004	0.0084388	0	0.27244	0	0	474	0.019027	0.0063425	0.27152	0	0.0021097	473	0.023207	0.012658	0.21945	0	0	474
114446	1	21	7	43	972.36	0.010257	0.098245	0	0	0.10581	0	1.0284	1	1	186	0.13953	0.30233	0	0	0.26202	0	0	43	0	0	0.23416	0	0	43	0	0	0.2173	0	0	43
142421	1	7	53	1258	6089	0.39915	0.31018	0.029412	0	0.16283	0.027027	0.32846	2	0.52988	12607	0.015103	0.1399	0.016693	0.012719	0.23385	0.00079491	0	1258	0.021463	0.016693	0.25349	0.00079491	0	1258	0.0057518	0.0024651	0.25051	0.00082169	0.032591	1217
180801	1	109	35	620	3378.3	0.26131	0.32202	0.085484	0.024194	0.30918	0.037097	2.072	7	0.71745	4933	0.070968	0.28226	0.027419	0.017742	0.25139	0	0	620	0.026266	0.016886	0.24772	0	0.14032	533	0.0080775	0.0048465	0.22882	0	0.0016129	619
