event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
388	1	23	47	968	4667.2	0.45033	0.53442	0.1343	0	0.44025	0.040289	2.9996	14	0.54512	12435	0.10021	0.29339	0.022727	0.011364	0.24721	0	0	968	0.030083	0.020747	0.26256	0	0.0041322	964	0.021008	0.013655	0.23666	0.0010504	0.016529	952
10550	1	7	40	454	3027.3	0.46191	0.38204	0.10352	0.017621	0.28329	0.035242	0.33033	1	0.86757	2988	0.028634	0.27974	0.011013	0.013216	0.23271	0.013216	0	454	0.022124	0.019912	0.25537	0.013274	0.0044053	452	0.013216	0.013216	0.25214	0.013216	0	454
30504	1	11	32	564	2427.4	0.23871	0.3521	0.074468	0.0053191	0.365	0.035461	2.0598	5	0.46828	8315	0.088652	0.20213	0.035461	0.028369	0.24934	0	0	564	0.012545	0.0053763	0.25091	0	0.010638	558	0.0017762	0.0017762	0.23791	0	0.001773	563
38856	1	12	28	520	1850.1	0.33187	0.44134	0.125	0.0038462	0.36144	0.044231	1.6215	3	0.40827	7899	0.044231	0.23846	0.0057692	0.0057692	0.25636	0	0	520	0.05531	0.037611	0.28033	0	0.13077	452	0.021154	0.0057692	0.24755	0	0	520
42280	1	8	40	864	4326.3	0.29034	0.3948	0.16088	0.054398	0.45502	0.074074	2.0803	9	0.34786	16051	0.060185	0.24769	0.020833	0.011574	0.2463	0	0	864	0.059382	0.034442	0.28004	0	0.025463	842	0.054651	0.031395	0.24399	0	0.0046296	860
46363	1	19	44	883	4661.9	0.3757	0.36745	0.14496	0.01812	0.46084	0.064553	2.7886	13	0.52385	10721	0.14383	0.28652	0.03171	0.014723	0.23674	0	0	883	0.053936	0.043732	0.27751	0	0.2231	686	0.052332	0.027304	0.2668	0	0.00453	879
52672	1	80	57	527	3703.3	0.64094	0.33015	0.079696	0.0037951	0.32274	0.053131	0.27003	1	0.5101	5390	0.030361	0.31689	0.017078	0.0075901	0.25156	0	0	527	0.040486	0.026316	0.24563	0	0.062619	494	0.039848	0.030361	0.2339	0	0	527
54095	1	17	47	1319	5098.3	0.29018	0.55733	0.13723	0.0068234	0.48223	0.050038	4.7074	24	0.56738	16814	0.14102	0.26459	0.031084	0.02047	0.24746	0	0	1319	0.049392	0.025076	0.27711	0	0.0022745	1316	0.024845	0.01087	0.26203	0	0.023503	1288
69314	1	3	28	783	3482.6	0.07819	0.24917	0.039591	0	0.20811	0.015326	0.86141	3	0.7147	6776	0.025543	0.15198	0.0076628	0.0038314	0.25804	0.0025543	0	783	0.019182	0.0089514	0.25361	0.0025575	0.0012771	782	0.0064935	0.0038961	0.22577	0.0025974	0.016603	770
74544	1	12	20	735	3268.3	0.23054	0.44863	0.11429	0.0027211	0.42376	0.02449	3.6717	12	0.48353	11394	0.088435	0.26531	0.0040816	0	0.23544	0	0	735	0.029932	0.019048	0.25782	0	0	735	0.0096022	0.0041152	0.22654	0.0013717	0.0081633	729
81597	1	19	32	658	3396.9	0.30357	0.68318	0.12006	0	0.42827	0.044073	3.827	13	0.74064	6464	0.12766	0.29027	0.027356	0.012158	0.26905	0.006079	0	658	0.035168	0.022936	0.26288	0.0061162	0.006079	654	0.019817	0.0060976	0.25151	0.0060976	0.0030395	656
90055	1	11	60	1168	6303.5	0.25861	0.33433	0.13955	0.028253	0.44128	0.071918	2.8556	18	0.54461	14818	0.12586	0.30479	0.025685	0.019692	0.24769	0.028253	0	1168	0.036145	0.026678	0.27044	0	0.005137	1162	0.021071	0.0096576	0.24067	0	0.024829	1139
111412	1	18	23	391	2424.3	0.34869	0.1803	0.056266	0	0.32748	0.0051151	1.2375	3	0.32984	6886	0.069054	0.21995	0.01023	0.0025575	0.26038	0	0	391	0.012788	0	0.27009	0	0	391	0.0077922	0.0025974	0.24677	0	0.015345	385
