event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
234638	1	10	54	792	4739.1	0.27877	0.34012	0.080808	0.0075758	0.27115	0.045455	0.63304	3	0.75471	5550	0.049242	0.27525	0.013889	0.012626	0.23	0.0025253	0	792	0.017677	0.010101	0.27884	0.0025253	0	792	0.034307	0.027954	0.23905	0.0025413	0.0063131	787
235435	1	2	10	260	886.94	0.40435	0.44537	0.11923	0	0.37265	0.030769	4.5099	4	0.70757	2687	0.088462	0.2	0.023077	0.019231	0.23855	0	0	260	0.02449	0.012245	0.25582	0	0.057692	245	0.011538	0.0038462	0.21758	0	0	260
239794	1	2	52	1048	3203.3	0.36733	0.56704	0.14885	0.0038168	0.4491	0.062977	4.6826	15	0.64873	11102	0.1021	0.27385	0.044847	0.026718	0.27861	0	0	1048	0.04771	0.031489	0.25883	0.0038168	0	1048	0.022954	0.008982	0.24582	0	0.043893	1002
246579	1	19	44	1110	5016.2	0.28276	0.43411	0.16667	0.009009	0.53511	0.057658	6.778	34	0.61297	10760	0.23964	0.26757	0.033333	0.016216	0.25913	0	0	1110	0.043956	0.013736	0.27058	0	0.016216	1092	0.05666	0.034791	0.25384	0	0.093694	1006
256587	1	11	84	1927	9242.1	0.30042	0.44969	0.14011	0.0067462	0.46481	0.03944	4.7608	44	0.49191	30203	0.16606	0.31759	0.032693	0.017125	0.26418	0	0	1927	0.034031	0.013613	0.26936	0	0.008822	1910	0.027154	0.010966	0.24123	0	0.0062273	1915
267597	1	5	62	858	4762.8	0.21958	0.33446	0.068765	0.002331	0.2324	0.041958	1.0498	5	0.86774	6176	0.038462	0.25874	0.034965	0.025641	0.25773	0	0	858	0.019814	0.012821	0.27683	0	0	858	0.026995	0.017606	0.23332	0	0.006993	852
268067	1	15	22	578	1621.8	0.10538	0.29961	0.069204	0	0.27923	0.025952	2.4663	4	0.93859	3637	0.039792	0.20415	0.0034602	0.0017301	0.25509	0	0	578	0.034602	0.017301	0.28683	0	0	578	0.022609	0.0069565	0.23925	0	0.0051903	575
268784	1	13	44	856	3729	0.39447	0.38141	0.10164	0	0.25574	0.022196	1.3409	5	0.8108	6293	0.038551	0.25818	0.016355	0.0070093	0.24327	0	0	856	0.022196	0.015187	0.25703	0	0	856	0.0093567	0.0023392	0.22141	0	0.0011682	855
269774	1	87	75	1248	6869.4	0.18797	0.42172	0.11939	0.0048077	0.39688	0.060096	1.8924	13	0.78216	9608	0.064904	0.30369	0.03766	0.021635	0.25945	0	0	1248	0.043548	0.028226	0.25388	0.0048387	0.0064103	1240	0.025641	0.012019	0.25442	0	0	1248
271851	1	23	41	847	3321	0.41452	0.48187	0.1098	0.015348	0.42652	0.064935	3.9145	13	0.47906	10398	0.11688	0.24203	0.025974	0.016529	0.26506	0.0023613	0	847	0.090789	0.043421	0.29526	0	0.10272	760	0.039286	0.016667	0.25936	0.002381	0.0082645	840
342199	1	20	29	634	2506.8	0.26837	0.41315	0.10095	0	0.34265	0.047319	2.7925	7	0.86696	4015	0.099369	0.29495	0.015773	0.0047319	0.27594	0	0	634	0.05873	0.031746	0.27347	0	0.0063091	630	0.033228	0.015823	0.25276	0	0.0031546	632
350186	1	6	27	268	1313	0.31042	0.29938	0.10821	0.011194	0.32506	0.029851	1.5233	2	0.58952	3244	0.033582	0.33955	0.018657	0.0074627	0.244	0	0	268	0.022727	0.018939	0.26505	0	0.014925	264	0.014925	0.0037313	0.22914	0	0	268
360535	1	7	33	870	2831.6	0.29786	0.54838	0.11149	0.0034483	0.43571	0.03908	6.7099	19	0.57064	10708	0.13448	0.28046	0.035632	0.016092	0.27774	0	0	870	0.041379	0.016092	0.25161	0	0	870	0.025434	0.0092486	0.25838	0	0.0057471	865
389538	1	11	35	965	3960.4	0.3296	0.30373	0.027979	0	0.15114	0.019689	0.2525	1	0.89499	6135	0.017617	0.12953	0.015544	0.0082902	0.25954	0	0	965	0.023958	0.011458	0.26046	0	0.0051813	960	0.006263	0.0041754	0.24127	0	0.0072539	958
400474	1	18	54	820	3918.8	0.28839	0.35062	0.10122	0.002439	0.33196	0.05	2.5518	10	0.73608	6694	0.080488	0.27439	0.019512	0.012195	0.27109	0	0	820	0.034146	0.021951	0.25292	0	0	820	0.025641	0.018315	0.26227	0	0.0012195	819
422851	1	1	51	622	3254.2	0.36644	0.38902	0.098071	0.012862	0.37645	0.081994	3.073	10	0.7266	4869	0.13023	0.34244	0.033762	0.019293	0.26192	0	0	622	0.080386	0.061093	0.27998	0.0016077	0	622	0.034036	0.016207	0.21077	0	0.0080386	617
423981	1	12	33	756	3346.9	0.30099	0.43327	0.056878	0	0.26484	0.029101	1.7927	6	0.73975	6745	0.047619	0.24735	0.017196	0.005291	0.24716	0	0	756	0.033156	0.015915	0.25914	0	0.0026455	754	0.013459	0.0080754	0.24194	0	0.017196	743
433451	1	4	88	1302	6979.6	0.26355	0.41547	0.13364	0.0092166	0.43155	0.0553	3.8684	27	0.67329	11681	0.13518	0.32873	0.043779	0.017665	0.2665	0	0	1302	0.04685	0.029079	0.26782	0	0.049155	1238	0.048819	0.018898	0.23602	0	0.024578	1270
437699	1	11	43	704	3966	0.16145	0.30878	0.028409	0	0.31259	0.03267	1.5129	6	0.76198	5945	0.069602	0.23438	0.021307	0.012784	0.25436	0	0	704	0.018466	0.011364	0.24003	0	0	704	0.024286	0.014286	0.2378	0	0.0056818	700
444187	1	20	6	495	1052.5	0.25203	0.43919	0.044444	0	0.16338	0.026263	0.9501	1	0.90432	3524	0.020202	0.084848	0.010101	0.0080808	0.24866	0	0	495	0.020325	0.01626	0.28064	0	0.0060606	492	0.022403	0.01833	0.25936	0	0.0080808	491
447477	1	11	37	504	3724.1	0.3212	0.28712	0.093254	0	0.37327	0.079365	1.6111	6	0.50932	5766	0.083333	0.33333	0.031746	0.011905	0.2749	0.0019841	0	504	0.061508	0.039683	0.24759	0.0019841	0	504	0.05988	0.031936	0.25618	0.001996	0.0059524	501
469665	1	15	24	423	1968.8	0.26029	0.3793	0.26478	0.0070922	0.54547	0.044917	4.0633	8	0.60027	4141	0.12057	0.32388	0.02864	0.019093	0.24447	0	0.0094563	419	0.023641	0.021277	0.27215	0	0	423	0.021327	0.014218	0.24117	0	0.0023641	422
489330	1	4	23	840	2392.6	0.26697	0.31496	0.15952	0.021429	0.39545	0.039286	5.4333	13	0.67687	9986	0.1119	0.26429	0.038095	0.010714	0.25712	0	0	840	0.036905	0.02619	0.25618	0	0	840	0.026222	0.0071514	0.2552	0	0.0011905	839
