event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
167744	1	13	16	730	2107.6	0.27081	0.26184	0.0082192	0	0.13204	0.0068493	0.47447	1	0.97823	3869	0.015068	0.065753	0.0027435	0.0013717	0.24283	0	0.0013699	729	0.0056417	0.0028209	0.26009	0	0.028767	709	0.0068493	0.0054795	0.20682	0	0	730
167876	0																																		
167964	0																																		
168052	0																																		
168077	0																																		
168096	0																																		
168209	1	11	6	287	1246	0.041118	0.30333	0.073171	0	0.17731	0.034843	0.80258	1	0.5826	2351	0.017422	0.059233	0.010453	0.010453	0.21999	0.013937	0	287	0.020906	0.013937	0.27812	0.020906	0	287	0.0035336	0.0035336	0.26439	0.014134	0.013937	283
168338	0																																		
168448	1	64	4	383	978.96	0.11551	0.28063	0.028721	0	0.13183	0.0078329	1.0215	1	0.92783	2456	0.013055	0.070496	0.0078329	0.002611	0.24992	0	0	383	0	0	0.25794	0	0	383	0.01084	0.0081301	0.26111	0	0.036554	369
168561	0																																		
168778	0																																		
168822	0																																		
168869	1	4	6	34	178.17	0.00041622	0.17142	0	0	0.20385	0.088235	5.6127	1	1	116	0.11765	0.32353	0	0	0.09796	0.088235	0	34	0	0	0.24935	0.088235	0	34	0	0	0.15283	0.088235	0	34
168979	0																																		
169067	1	10	11	429	2348.4	0.5442	0.17565	0	0	0.11066	0.006993	0.42583	1	0.96561	2455	0.013986	0.044289	0	0	0.23074	0	0.004662	427	0.0051546	0.0051546	0.23022	0	0.095571	388	0.0023866	0.0023866	0.2571	0	0.02331	419
