event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
18625	1	11	21	615	1938.2	0.01561	0.28952	0.050407	0.003252	0.24166	0.030894	1.0319	2	0.62748	6992	0.03252	0.14634	0.017886	0.01626	0.26008	0	0	615	0.031199	0.026273	0.25541	0	0.0097561	609	0.0065041	0.001626	0.25458	0	0	615
21073	1	60	40	738	2574.3	0.46306	0.33623	0.070461	0	0.2498	0.031165	2.3307	6	0.67638	7317	0.054201	0.24526	0.02168	0.014905	0.24804	0.001355	0	738	0.038721	0.021886	0.26639	0.0016835	0.19512	594	0.017711	0.010899	0.24041	0	0.0054201	734
37112	1	84	36	393	2675.4	0.37864	0.31531	0.022901	0	0.22744	0.030534	0.37377	1	0.6073	3790	0.043257	0.27735	0.017857	0.010204	0.25554	0	0.0025445	392	0.02046	0.012788	0.2434	0	0.0050891	391	0.02459	0.019126	0.26929	0	0.068702	366
56982	1	22	46	612	3997.9	0.2566	0.26419	0.055556	0	0.29714	0.039216	1.2507	5	0.708	5565	0.053922	0.33987	0.01634	0.011438	0.25713	0	0	612	0.046205	0.023102	0.29274	0	0.0098039	606	0.021452	0.0082508	0.23402	0	0.0098039	606
71372	1	92	75	1518	5255.8	0.52528	0.48631	0.10408	0.0092227	0.40136	0.056653	5.3274	28	0.59882	15731	0.14427	0.24835	0.043478	0.028327	0.25603	0.00065876	0	1518	0.062169	0.032407	0.2706	0.00066138	0.0039526	1512	0.018206	0.0067431	0.23497	0.00067431	0.023057	1483
84229	1	19	37	807	4207.6	0.21905	0.30315	0.11524	0	0.36551	0.039653	1.6636	7	0.80379	5880	0.083024	0.2057	0.0099133	0.0061958	0.25072	0.0012392	0	807	0.054591	0.032258	0.27267	0	0.0012392	806	0.011166	0.0037221	0.22966	0	0.0012392	806
105946	1	14	33	489	3287.3	0.15867	0.21711	0.10429	0	0.28452	0.014315	0.9126	3	0.73954	4414	0.05317	0.29039	0.00409	0.00409	0.23537	0	0	489	0.020492	0.0081967	0.26137	0	0.002045	488	0.01227	0.006135	0.23353	0	0	489
114446	1	21	7	42	973.13	0.010876	0.1005	0	0	0.086484	0	1.0276	1	1	186	0.14286	0.30952	0	0	0.26764	0	0	42	0	0	0.32009	0	0	42	0	0	0.19087	0	0	42
142421	1	7	52	1329	6107.4	0.28168	0.33174	0.018059	0	0.18148	0.025583	0.65494	4	0.62039	12590	0.017306	0.12641	0.012792	0.010534	0.2513	0.0015049	0	1329	0.015801	0.012792	0.25098	0.0015049	0	1329	0.0053888	0.0030793	0.2454	0.0015396	0.022573	1299
180801	1	109	35	614	3344.6	0.26216	0.31536	0.071661	0.0016287	0.30692	0.027687	1.4949	5	0.71999	4933	0.030945	0.26384	0.037459	0.021173	0.26406	0	0	614	0.022305	0.0074349	0.26107	0	0.12378	538	0.0081566	0.0016313	0.23872	0	0.0016287	613
