tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d119hnu	028084_1	nu	1	36	29.168	1.6	1.8154335021972656	0.21543350219726554	343	84	8	24	24	6656	1080	0.3155250549316406	0.5408554077148438	0.001544952392578125	305.1	64.2	47.6	5.1	15152.4	0.2	1579.7	5639.6	87.9	45.9	36.5	4325.4	0.0	207.4	382.8	99.5	734.5	0.316	0.000	0.000	0.000	0.541	0.000	0.000	0.002	0.000	0.000	0.000	0.404	0.000	0.185	0.132	0.001	0.045
d119hnu	028084_20	nu	1	31	29.838	1.74	1.7539405822753906	0.013940582275390634	324	64	7	19	19	7116	811	0.3040580749511719	0.2806129455566406	0.25555419921875	308.2	67.8	51.3	5.3	13975.9	0.2	944.3	7382.4	84.4	96.8	1029.9	3885.1	0.0	211.2	534.5	126.4	703.2	0.304	0.001	0.000	0.000	0.281	0.000	0.000	0.256	0.000	0.000	0.028	0.334	0.000	0.185	0.165	-0.001	0.013
d119hnu	028084_21	nu	1	35	33.665	1.81	1.81	0.0	366	67	7	21	21	7770	956	0.2838249206542969	0.3668861389160156	0.20891189575195312	277.6	60.7	44.9	5.6	15346.8	0.2	1353.8	7925.1	90.9	3.9	44.9	6460.5	0.0	213.4	582.0	121.3	633.8	0.284	0.000	0.000	0.000	0.367	0.000	0.000	0.209	0.000	0.000	0.000	0.399	0.000	0.178	0.178	0.001	-0.000
d119hnu	028084_22	nu	1	21	19.652	1.1	1.2064456939697266	0.10644569396972647	285	71	1	17	17	4384	753	0.22794342041015625	0.3013343811035156	0.13350677490234375	243.0	54.1	38.6	4.4	12193.5	0.2	1159.5	3405.1	67.3	1.8	19.6	1249.7	0.0	178.8	191.8	82.0	418.1	0.228	0.000	0.000	0.000	0.301	0.000	0.000	0.134	0.000	0.000	0.000	0.025	0.000	0.178	0.048	0.001	0.101
d119hnu	028084_23	nu	1	55	53.92	2.13	2.13	0.0	257	66	9	20	20	6941	1159	0.3108558654785156	0.334197998046875	0.2398834228515625	306.6	66.3	50.3	5.3	14235.6	0.2	1162.8	8854.3	95.0	63.4	549.5	25721.2	0.0	233.6	954.5	129.6	786.2	0.311	0.000	0.000	0.000	0.334	0.000	0.000	0.240	0.000	0.000	0.000	0.606	0.000	0.172	0.276	0.001	-0.001
d119hnu	028084_24	nu	1	39	36.947	2.39	2.3913192749023438	0.0013192749023436257	451	67	7	27	27	7404	762	0.5227279663085938	0.36419677734375	0.3151969909667969	478.7	102.0	77.6	7.4	18556.7	0.2	1327.8	10205.0	116.6	4.6	41.1	3445.9	0.0	225.1	552.9	131.0	1033.7	0.523	0.000	0.000	0.000	0.364	0.000	0.021	0.315	0.000	0.000	0.000	0.511	0.000	0.184	0.162	0.001	0.114
d119hnu	028084_25	nu	1	24	23.309	1.53	1.53	0.0	304	58	5	14	14	5058	892	0.2702293395996094	0.30910491943359375	0.1681365966796875	261.0	57.1	42.0	5.0	11750.8	0.2	1341.2	4179.3	81.2	4.8	25.9	3880.0	0.0	212.5	433.0	82.4	545.6	0.270	0.000	0.000	0.000	0.309	0.000	0.001	0.168	0.000	0.000	0.000	0.245	0.000	0.185	0.123	0.001	0.039
d119hnu	028084_26	nu	1	24	22.188	1.41	1.4834785461425781	0.0734785461425782	321	61	6	14	14	4217	703	0.23447036743164062	0.2905006408691406	0.1331634521484375	265.0	68.5	51.1	6.0	11359.6	0.2	993.8	3514.9	73.7	9.9	52.2	4101.3	0.0	193.7	474.4	78.5	520.6	0.234	0.000	0.000	0.000	0.291	0.000	0.001	0.133	0.000	0.000	0.000	0.289	0.000	0.186	0.143	0.001	0.017
d119hnu	028084_27	nu	1	22	21.217	1.43	1.4319038391113281	0.0019038391113281872	231	65	9	14	14	3790	529	0.15484619140625	0.24486160278320312	0.08153152465820312	170.0	38.7	28.8	3.2	7628.0	0.2	571.6	3196.5	67.2	5.0	22.4	7764.8	0.0	215.6	609.4	66.0	459.1	0.155	0.000	0.000	0.000	0.245	0.000	0.000	0.082	0.000	0.000	0.000	0.368	0.000	0.190	0.203	0.000	0.002
d119hnu	028084_28	nu	1	58	56.321	2.16	2.184305191040039	0.02430519104003892	495	82	3	26	26	11929	1160	0.48303985595703125	0.3922767639160156	0.4569282531738281	469.9	96.6	73.6	9.4	22932.0	0.2	1536.8	17239.8	118.8	29.6	431.0	10673.6	0.0	203.6	757.1	193.2	857.9	0.483	0.000	0.000	0.000	0.392	0.000	0.007	0.457	0.000	0.000	-0.001	0.244	0.000	0.161	0.214	0.000	0.041
d119hnu	028084_29	nu	1	17	15.688	1.18	1.2604236602783203	0.08042366027832037	281	71	4	15	15	4489	981	0.21081924438476562	0.2770423889160156	0.11830902099609375	207.7	47.9	35.1	4.0	9016.6	0.2	729.3	3520.6	65.2	2.4	25.4	814.4	0.0	195.0	216.4	89.3	440.4	0.211	0.000	0.000	0.000	0.277	0.000	0.000	0.118	0.000	0.000	0.000	0.144	0.000	0.184	0.059	0.001	0.077
d119hnu	028084_2	nu	1	62	54.478	2.93	2.93	0.0	478	62	7	27	27	11284	1108	0.5969886779785156	0.4447746276855469	0.4401283264160156	550.2	114.7	87.3	9.8	26864.0	0.2	2336.6	13994.1	151.5	39.3	131.5	7000.2	0.0	225.2	729.0	172.8	1228.6	0.597	0.000	0.000	0.000	0.445	0.000	0.076	0.440	0.000	0.000	0.000	0.649	0.000	0.186	0.208	0.001	0.113
d119hnu	028084_30	nu	1	25	24.469	1.44	1.570272445678711	0.130272445678711	295	58	6	14	14	5029	914	0.2551612854003906	0.31345367431640625	0.14024734497070312	251.3	54.1	41.5	4.8	11060.9	0.2	841.3	4953.5	77.0	54.4	855.6	4472.0	0.0	213.2	529.0	93.2	551.8	0.255	0.000	0.000	0.000	0.313	0.000	0.000	0.140	0.000	0.000	0.017	0.309	0.000	0.187	0.154	0.001	0.003
d119hnu	028084_3	nu	1	41	33.528	1.86	1.9390392303466797	0.07903923034667959	378	54	6	20	20	5056	855	0.3747062683105469	0.4154777526855469	0.1514434814453125	363.1	80.0	58.8	6.9	16942.7	0.2	1765.6	4751.8	107.4	5.0	38.5	7254.8	0.0	202.0	491.5	84.9	781.8	0.375	0.000	0.000	0.000	0.415	0.000	0.001	0.151	0.000	0.000	0.000	0.409	0.000	0.184	0.139	0.001	0.076
d119hnu	028084_4	nu	1	48	40.258	1.86	1.9803333282470703	0.12033332824707021	338	51	5	16	16	6512	736	0.4328269958496094	0.4209098815917969	0.2184295654296875	417.5	88.8	66.5	6.0	19451.4	0.2	1961.7	5792.6	102.8	2.9	47.9	9874.8	0.0	215.7	605.7	98.0	864.2	0.433	0.000	0.000	0.000	0.421	0.000	0.001	0.218	0.000	0.000	0.000	0.308	0.000	0.182	0.171	0.001	0.057
d119hnu	028084_5	nu	1	49	41.621	1.71	1.8300437927246094	0.12004379272460941	438	69	2	20	20	7964	905	0.42160797119140625	0.3464317321777344	0.28961181640625	380.2	79.7	60.7	7.2	18181.3	0.2	1786.0	7735.8	117.6	11.6	82.8	11147.7	0.0	204.4	423.6	114.2	699.3	0.422	0.000	0.000	0.000	0.346	0.000	0.047	0.290	0.000	0.000	0.000	0.143	0.000	0.167	0.114	0.001	0.115
d119hnu	028084_6	nu	1	43	35.191	1.95	1.95	0.0	494	60	4	19	19	6496	1478	0.4348793029785156	0.4163169860839844	0.23963546752929688	418.0	91.0	68.8	8.2	19825.7	0.2	1987.1	6041.5	109.9	11.9	42.7	4311.2	0.0	196.8	483.4	109.7	845.4	0.435	0.001	0.000	0.000	0.416	0.000	0.001	0.240	0.000	0.000	0.000	0.249	0.000	0.185	0.145	0.000	0.088
d119hnu	028084_7	nu	1	40	32.213	1.79	1.951131820678711	0.1611318206787109	371	75	9	22	22	5997	1020	0.32965850830078125	0.31449127197265625	0.22328948974609375	334.1	71.2	53.3	6.2	16384.2	0.2	1469.5	6711.5	98.2	167.7	39.7	4689.7	0.0	208.9	537.6	101.3	777.4	0.330	0.000	0.000	0.000	0.314	0.000	0.017	0.223	0.000	0.000	0.000	0.512	0.000	0.182	0.159	0.001	0.023
d119hnu	028084_8	nu	1	28	20.593	1.44	1.4401817321777344	0.0001817321777344283	296	71	6	17	17	4949	855	0.22818756103515625	0.22534561157226562	0.19065093994140625	242.4	52.9	38.6	4.5	9935.1	0.2	780.3	4565.0	75.6	7.1	32.4	3347.6	0.0	193.8	368.3	90.2	519.8	0.228	0.000	0.000	0.000	0.225	0.000	0.010	0.191	0.000	0.000	0.000	0.272	0.000	0.177	0.111	0.000	0.035
d119hnu	028084_9	nu	1	28	20.616	1.48	1.4832878112792969	0.0032878112792968928	332	65	5	17	17	5015	752	0.25894927978515625	0.2741584777832031	0.1841583251953125	249.7	56.1	40.6	4.7	11479.5	0.2	1216.8	4262.3	78.5	13.9	33.7	1760.2	0.0	188.6	243.9	85.9	536.6	0.259	0.000	0.000	0.000	0.274	0.000	0.006	0.184	0.000	0.000	0.000	0.220	0.000	0.188	0.065	0.000	0.097
d119hnu	029107_0	nu	1	26	24.692	1.16	1.6263771057128906	0.4663771057128907	328	70	5	21	21	5794	792	0.3039741516113281	0.30579376220703125	0.22614288330078125	294.4	64.2	49.0	5.6	12976.1	0.2	1022.5	7370.1	81.1	64.8	51.6	1114.9	0.0	193.6	259.2	114.6	630.5	0.304	0.000	0.000	0.000	0.306	0.000	0.003	0.226	0.000	0.000	0.000	0.244	0.000	0.185	0.065	0.001	0.103
d119hnu	029107_10	nu	1	26	24.769	1.08	1.407785415649414	0.327785415649414	330	85	2	16	16	4328	669	0.3139801025390625	0.2981109619140625	0.18056869506835938	316.5	73.4	54.3	6.0	13771.0	0.2	1439.2	4428.6	82.9	282.6	1875.1	1010.3	0.0	174.3	215.7	71.3	546.2	0.314	0.000	0.000	0.000	0.298	0.000	0.001	0.181	0.000	0.000	0.098	0.000	0.000	0.152	0.054	0.000	0.118
