tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d119vr3	039252_0	nu	1	30	18.698	1.11	1.4211750030517578	0.3111750030517577	363	36	5	16	16	4953	613	0.3343162536621094	0.2738838195800781	0.09337615966796875	370.5	71.5	59.6	6.1	8969.1	0.2	602.7	2753.7	74.0	4.7	17.4	4125.2	0.0	209.9	349.3	64.8	678.2	0.334	0.000	0.000	0.000	0.274	0.000	0.000	0.093	0.000	0.000	0.000	0.264	0.000	0.181	0.112	0.000	0.017
d119vr3	039252_10	nu	1	32	20.974	1.69	1.6900253295898438	2.532958984380329e-05	359	50	5	15	15	6034	875	0.4413948059082031	0.3011512756347656	0.1581268310546875	437.8	89.1	75.2	7.1	11859.1	0.2	960.0	3290.0	84.6	2.5	16.5	2278.3	0.0	196.9	308.9	70.7	839.9	0.441	0.000	0.000	0.000	0.301	0.000	0.001	0.158	0.000	0.000	0.000	0.293	0.000	0.184	0.101	0.000	0.061
d119vr3	039252_11	nu	1	34	21.787	1.47	1.4719676971435547	0.001967697143554714	456	40	1	13	13	3521	614	0.460845947265625	0.4787330627441406	0.001461029052734375	493.5	105.7	86.0	8.4	15389.9	0.3	1982.2	1721.1	85.1	5.5	41.4	186.2	0.0	186.1	210.9	49.2	773.6	0.461	0.000	0.000	0.000	0.479	0.000	-0.001	0.001	0.000	0.000	0.000	0.033	0.000	0.184	0.052	0.001	0.111
d119vr3	039252_12	nu	1	57	44.64	2.25	2.25	0.0	432	48	8	18	18	4601	576	0.5771026611328125	0.7407150268554688	-1.1444091796875e-05	607.4	132.6	109.0	9.9	29053.4	0.3	2823.5	2939.7	121.1	39.4	105.6	6085.1	0.0	213.0	464.5	61.0	1217.0	0.577	0.000	0.000	0.000	0.741	0.000	-0.000	-0.000	0.000	0.000	0.000	0.360	0.000	0.183	0.142	0.001	0.082
d119vr3	039252_13	nu	1	39	26.555	1.44	1.512002944946289	0.07200294494628912	382	41	2	16	16	6997	1056	0.4351005554199219	0.5526618957519531	0.00090789794921875	465.0	98.0	79.7	7.6	15987.3	0.2	1883.4	3587.0	83.6	2.0	14.5	2560.6	0.0	194.6	266.9	77.1	757.1	0.435	0.000	0.000	0.000	0.553	0.000	0.000	0.001	0.000	0.000	0.000	0.045	0.000	0.176	0.078	0.001	0.077
d119vr3	039252_14	nu	1	71	58.912	2.53	2.5332260131835938	0.0032260131835939454	662	57	5	25	25	7481	699	0.7128028869628906	0.6877365112304688	0.1120758056640625	765.8	166.0	136.2	13.6	39127.0	0.3	4035.7	7257.2	149.5	170.1	1029.8	2916.5	0.0	210.8	511.0	85.2	1444.8	0.713	0.001	0.000	0.000	0.688	0.000	-0.000	0.112	0.000	0.000	0.020	0.366	0.000	0.180	0.146	0.001	0.118
d119vr3	039252_15	nu	1	43	30.556	2.28	2.282838821411133	0.002838821411133008	494	47	7	22	22	5580	612	0.573638916015625	0.397796630859375	0.16056442260742188	636.4	129.5	106.6	10.6	18789.4	0.3	1993.6	3786.9	118.4	14.9	46.0	2452.9	0.0	203.1	364.7	68.9	1202.2	0.574	0.000	0.000	0.000	0.398	0.000	0.046	0.161	0.000	0.000	0.000	0.526	0.000	0.187	0.115	0.001	0.111
d119vr3	039252_16	nu	1	82	69.429	3.39	3.39	0.0	845	54	11	27	27	10297	884	0.7758674621582031	0.7211837768554688	0.0787353515625	824.7	176.7	145.4	15.7	32894.6	0.3	3879.1	11573.6	150.0	117.2	594.0	15126.1	0.0	244.4	714.7	102.9	1913.8	0.776	0.000	0.000	0.000	0.721	0.000	0.001	0.079	0.000	0.000	0.000	1.131	0.000	0.183	0.243	0.001	0.055
d119vr3	039252_17	nu	1	47	34.55	1.86	1.8645095825195312	0.004509582519531152	649	56	0	23	23	7127	866	0.6375885009765625	0.46471405029296875	0.185272216796875	682.9	145.6	119.9	12.3	23738.3	0.3	2567.9	5151.9	125.0	2.9	36.5	0.4	0.0	174.7	0.4	88.3	1032.7	0.638	0.000	0.000	0.000	0.465	0.000	0.015	0.185	0.000	0.000	0.000	0.000	0.000	0.145	0.000	0.012	0.224
d119vr3	039252_1	nu	1	56	44.048	2.01	2.012929916381836	0.0029299163818361507	508	39	3	15	15	6223	800	0.6055488586425781	0.7725601196289062	0.0030364990234375	666.6	142.2	118.0	11.3	30106.6	0.2	3556.9	3604.7	134.9	3.0	26.6	3211.8	0.0	200.0	427.6	67.6	1100.2	0.606	0.000	0.000	0.000	0.773	0.000	-0.000	0.003	0.000	0.000	0.000	0.065	0.000	0.173	0.133	0.001	0.095
