tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d119vnu	039252_0	nu	1	34	19.87	1.3	1.4157295227050781	0.11572952270507808	363	36	5	16	16	4953	613	0.3322944641113281	0.273101806640625	0.0921478271484375	370.5	77.3	63.1	6.2	9428.6	0.2	588.2	2977.0	76.3	4.8	17.2	4579.7	0.0	210.7	351.8	67.2	692.1	0.332	0.000	0.000	0.000	0.273	0.000	0.000	0.092	0.000	0.000	0.000	0.263	0.000	0.183	0.109	0.000	0.019
d119vnu	039252_10	nu	1	37	22.484	1.69	1.69	0.0	359	50	5	15	15	6034	875	0.4391975402832031	0.29852294921875	0.15238189697265625	466.6	97.3	81.5	7.1	12603.1	0.2	1006.4	3708.0	87.7	2.7	16.6	2463.8	0.0	207.6	309.9	72.7	877.9	0.439	0.000	0.000	0.000	0.299	0.000	0.002	0.152	0.000	0.000	0.000	0.296	0.000	0.186	0.105	0.000	0.059
d119vnu	039252_11	nu	1	38	22.578	1.36	1.4727783203125	0.1127783203124999	456	40	1	13	13	3521	614	0.4630470275878906	0.48081207275390625	0.000980377197265625	486.5	108.7	87.9	8.6	15768.4	0.3	2146.1	1847.9	89.2	5.3	40.5	187.9	0.0	184.6	244.9	55.2	820.1	0.463	0.000	0.000	0.000	0.481	0.000	0.001	0.001	0.000	0.000	0.000	0.034	0.000	0.181	0.054	0.001	0.109
d119vnu	039252_12	nu	1	64	48.189	2.25	2.2513580322265625	0.0013580322265625	432	48	8	18	18	4601	576	0.5751495361328125	0.7416000366210938	0.001239776611328125	620.8	153.7	131.9	13.2	31058.0	0.3	3030.6	3447.7	125.5	42.9	108.3	6589.8	0.0	221.8	502.9	64.6	1384.0	0.575	0.000	0.000	0.000	0.742	0.000	-0.000	0.001	0.000	0.000	0.000	0.360	0.000	0.185	0.140	0.002	0.084
d119vnu	039252_13	nu	1	43	28.932	1.51	1.5126991271972656	0.002699127197265616	382	41	2	16	16	6997	1056	0.4331512451171875	0.5478324890136719	0.0018463134765625	465.3	99.0	79.8	7.7	16920.3	0.2	1939.3	4406.0	89.5	2.1	14.6	3020.9	0.0	206.8	298.7	82.6	799.3	0.433	0.000	0.000	0.000	0.548	0.000	0.000	0.002	0.000	0.000	0.000	0.047	0.000	0.177	0.080	0.001	0.077
d119vnu	039252_14	nu	1	77	61.79	2.53	2.5336551666259766	0.003655166625976758	662	57	5	25	25	7481	699	0.7128028869628906	0.6870689392089844	0.10624313354492188	772.7	166.0	137.3	13.5	40245.9	0.3	4025.2	8392.8	155.5	177.7	1079.2	3405.8	0.0	213.7	526.9	80.3	1461.5	0.713	0.000	0.000	0.000	0.687	0.000	0.002	0.106	0.000	0.000	0.024	0.368	0.000	0.181	0.146	0.001	0.118
d119vnu	039252_15	nu	1	49	33.66	2.29	2.29	0.0	494	47	7	22	22	5580	612	0.5738906860351562	0.4000244140625	0.16112136840820312	626.2	133.7	108.6	10.7	20062.0	0.3	2140.6	4597.2	126.7	15.8	48.7	3208.3	0.0	222.5	376.5	64.9	1265.1	0.574	0.000	0.000	0.000	0.400	0.000	0.046	0.161	0.000	0.000	0.000	0.524	0.000	0.186	0.115	0.001	0.111
d119vnu	039252_16	nu	1	88	73.661	3.39	3.39	0.0	845	54	11	27	27	10297	884	0.7741050720214844	0.7225875854492188	0.08834457397460938	812.2	182.8	146.4	15.9	34311.1	0.4	3889.2	12331.7	152.7	122.0	617.5	17050.8	0.0	253.2	744.9	98.9	1924.1	0.774	0.000	0.000	0.000	0.723	0.000	0.000	0.088	0.000	0.000	0.000	1.120	0.000	0.185	0.242	0.001	0.056
d119vnu	039252_17	nu	1	52	36.435	1.75	1.8636035919189453	0.11360359191894531	649	56	0	23	23	7127	866	0.6375885009765625	0.4641380310058594	0.18505859375	684.2	152.4	122.3	12.6	24529.1	0.3	2729.4	6021.8	133.3	2.8	35.4	0.4	0.0	181.6	0.5	82.1	1061.2	0.638	0.000	0.000	0.000	0.464	0.000	0.014	0.185	0.000	0.000	0.000	0.000	0.000	0.147	0.000	0.009	0.225
d119vnu	039252_1	nu	1	62	46.599	1.92	2.012014389038086	0.09201438903808601	508	39	3	15	15	6223	800	0.6053009033203125	0.7751884460449219	0.002696990966796875	655.5	143.9	117.9	11.4	31249.1	0.3	3726.5	4219.4	145.1	3.1	27.6	3760.7	0.0	204.2	444.0	75.7	1130.8	0.605	0.000	0.000	0.000	0.775	0.000	-0.000	0.003	0.000	0.000	0.000	0.062	0.000	0.175	0.130	0.001	0.095
