# PDVD per-event charge/trigger/light time bases (DTS clock, 16 ns ticks)
# charge_start_us / tc_us / fs_t0_us / light_t0_us are in the 40-bit-masked domain (same as the rawwf 'timestamp' branch); offsets wrapped to that period
# offset_us = charge_window_start - fs_light_window_start  (add to light times to land on charge time base)
# charge_tde_us / charge_bde_us: per-crate charge window starts (TDE=top, BDE=bottom CRPs)
# run subrun event rd_timestamp_ns tc_type n_tc tc_us charge_tde_us charge_bde_us fs_t0_us light_t0_us fs_nsamp offset_tde_us offset_bde_us
39252 1 298735 1756532763464416000 20 1 5763490127.536 5763487611.648 5763487627.440 5763485126.688 5763485087.008 468864 2484.960 2500.752
39252 1 298749 1756532763801472000 22 1 5763827195.776 5763824667.648 5763824695.984 5763822195.744 5763822186.320 468800 2471.904 2500.240
39252 1 298763 1756532764010816000 20 1 5764036536.608 5764034011.648 5764034036.912 5764031536.160 5764031523.664 468800 2475.488 2500.752
39252 1 298777 1756532764598048000 22 2 5764623766.192 5764621243.648 5764621266.096 5764618765.344 5764618751.984 468864 2478.304 2500.752
39252 1 298791 1756532765070848000 22 2 5765096553.424 5765094043.648 5765094053.552 5765091553.312 5765091548.560 468800 2490.336 2500.240
39252 1 298805 1756532765437376000 22 2 5765463085.024 5765460571.648 5765460585.136 5765458084.896 5765458084.896 468800 2486.752 2500.240
39253 1 49686 1756542009364416000 20 1 15009390118.288 15009387611.648 15009387618.480 15009385117.456 15009385106.272 468864 2494.192 2501.024
39253 1 49706 1756542009850976000 22 1 15009876681.968 15009874171.648 15009874181.808 15009871681.296 15009871672.640 468800 2490.352 2500.512
39253 1 49726 1756542010651264000 22 2 15010676986.048 15010674459.648 15010674485.936 15010671985.424 15010671959.712 468800 2474.224 2500.512
39253 1 49746 1756542013755520000 29 1 15013781215.744 15013778715.648 15013778715.824 15013776214.800 15013776202.032 468864 2500.848 2501.024
39253 1 49766 1756542022009216000 22 1 15022034942.176 15022032411.648 15022032442.032 15022029941.520 15022029928.416 468800 2470.128 2500.512
