workdir	kind	theta	ntrack	anodes	q_depo	nblob0	nghost0	nblob	nghost	nsoft	q_true0	q_true	q_reco	captured0	captured	ghost0	ghost	qerr
000001_1	iso	0.0	1	[8, 10]	12536219.0	17928	17922	1341	1338	1338	12366084.4375	3388877.5625	3356903.757990636	0.9864	0.2703	0.9997	0.9978	-0.0094
000001_2	iso	0.0	1	[2, 4]	20356488.0	7194	6042	4550	3487	3965	20133571.55761995	20123356.226121373	19970902.631996896	0.9890	0.9885	0.8399	0.7664	-0.0076
000001_3	iso	2.0	1	[4, 6]	13019413.0	3859	2743	2439	1902	1972	12983730.23358283	12929094.734340264	13129666.060053144	0.9973	0.9931	0.7108	0.7798	0.0155
000001_4	iso	5.0	1	[5, 7]	14173652.0	482	350	426	297	323	13885857.259299217	13885155.753699241	13905726.088476598	0.9797	0.9796	0.7261	0.6972	0.0015
000001_5	iso	10.0	1	[2, 4, 6]	12470379.0	1554	635	1329	566	705	12213220.34258347	12209924.90528252	12190214.133027546	0.9794	0.9791	0.4086	0.4259	-0.0016
000001_6	iso	1.0	2	[0, 2, 3, 5]	26218232.0	6628	6286	4872	4713	4751	25486805.11841994	25439353.092567552	25282852.10197556	0.9721	0.9703	0.9484	0.9674	-0.0062
000001_7	iso	2.0	3	[8, 9, 11]	39400860.0	11403	7148	6090	3958	4329	31883798.263792902	31725337.449408323	31066946.92500408	0.8092	0.8052	0.6269	0.6499	-0.0208
000001_8	iso	5.0	4	[9, 11]	49738184.0	16247	13594	9379	7923	8195	49443214.223776296	49315392.1689008	49097885.44152318	0.9941	0.9915	0.8367	0.8448	-0.0044
000001_9	cosmic	-1	1	[9]	17585964.0	1210	33	1155	27	74	17494961.00377799	17494183.992645927	17882738.70142588	0.9948	0.9948	0.0273	0.0234	0.0222
000001_10	cosmic	-1	2	[4, 6]	28388764.0	1984	283	1806	220	499	27938133.952008843	27937148.600488674	28315714.906877905	0.9841	0.9841	0.1426	0.1218	0.0136
