run	event	kind	theta	ntrack	anode	face	slice	nblob0	nghost0	nblob	nghost	nsoft	q_true0	q_true	q_reco	wmax0_u	wmax0_v	wmax0_w	wmax_u	wmax_v	wmax_w	wmean_u	wmean_v	wmean_w
1	1	iso	0.0	1	8	1	746	491	491	114	114	114	0.0	0.0	5366.344258502126	31	36	8	31	35	8	6.7	6.8	1.9
1	1	iso	0.0	1	8	1	747	510	510	510	510	510	0.0	0.0	56261.60398852825	27	31	9	27	31	9	4.8	6.4	2.4
1	1	iso	0.0	1	8	1	748	1	0	1	0	0	300478.4375	300478.4375	803833.0	169	100	161	169	100	161	169.0	100.0	161.0
1	1	iso	0.0	1	8	1	749	1	0	1	0	0	2446907.75	2446907.75	1604837.375	169	100	161	169	100	161	169.0	100.0	161.0
1	1	iso	0.0	1	8	1	750	1	0	1	0	0	641491.375	641491.375	812086.5625	169	100	161	169	100	161	169.0	100.0	161.0
1	1	iso	0.0	1	8	1	751	550	550	550	550	550	0.0	0.0	65168.406972499564	18	16	11	18	16	11	3.9	5.5	2.8
1	1	iso	0.0	1	8	1	752	544	544	164	164	164	0.0	0.0	9350.46527110599	17	15	8	16	15	8	4.4	5.4	2.2
1	1	iso	0.0	1	10	1	746	4367	4367	0	0	0	0.0	0.0	0.0	14	19	8	0	0	0	0.0	0.0	0.0
1	1	iso	0.0	1	10	1	747	4029	4029	0	0	0	0.0	0.0	0.0	22	29	8	0	0	0	0.0	0.0	0.0
1	1	iso	0.0	1	10	1	748	1	0	0	0	0	804079.0	0.0	0.0	447	262	424	0	0	0	0.0	0.0	0.0
1	1	iso	0.0	1	10	1	749	1	0	0	0	0	6487334.0	0.0	0.0	447	262	424	0	0	0	0.0	0.0	0.0
1	1	iso	0.0	1	10	1	750	1	0	0	0	0	1685793.875	0.0	0.0	447	262	424	0	0	0	0.0	0.0	0.0
1	1	iso	0.0	1	10	1	751	3148	3148	0	0	0	0.0	0.0	0.0	26	34	14	0	0	0	0.0	0.0	0.0
1	1	iso	0.0	1	10	1	752	4283	4283	0	0	0	0.0	0.0	0.0	14	26	10	0	0	0	0.0	0.0	0.0
1	2	iso	0.0	1	2	0	850	1525	1525	514	514	514	0.0	0.0	19578.730238033924	41	26	8	41	26	8	8.6	4.7	2.5
1	2	iso	0.0	1	2	0	851	1093	1093	1003	1003	1003	0.0	0.0	253410.55963331595	50	35	24	50	35	24	12.0	5.5	4.7
1	2	iso	0.0	1	2	0	852	4	0	1	0	0	1267386.6476707458	1266309.5	2868467.25	98	628	433	98	628	433	98.0	628.0	433.0
1	2	iso	0.0	1	2	0	853	4	0	1	0	0	8325483.524017334	8318418.0	5579299.5	98	628	433	98	628	433	98.0	628.0	433.0
1	2	iso	0.0	1	2	0	854	4	0	1	0	0	2424206.2021274567	2422151.75	2881833.5	98	628	433	98	628	433	98.0	628.0	433.0
