det	run	evt	img_s	img_kb	img_rc	clus_s	clus_kb	clus_rc
pdhd	027305	19	0	12288	2	0	12112	2
pdhd	027305	17	0	12292	2	0	12120	2
pdhd	027305	22	0	12296	2	0	12148	2
pdhd	027305	10	0	12296	2	0	12300	2
pdhd	027305	21	0	12296	2	0	12100	2
pdhd	027305	23	0	12268	2	0	12296	2
pdhd	027305	26	0	12300	2	0	12296	2
pdhd	027305	24	0	12292	2	0	12300	2
pdhd	027305	25	0	12248	2	0	12376	2
pdhd	027305	28	0	12296	2	0	12296	2
pdhd	027305	31	0	12292	2	0	12292	2
pdhd	027305	18	47	614452	0	21	520264	0
pdhd	027305	16	60	821764	0	35	778596	0
pdhd	027305	3	64	556672	0	35	768720	0
pdhd	027305	13	66	696408	0	42	811696	0
pdhd	027305	1	69	979724	0	40	785356	0
pdhd	027305	27	64	754584	0	48	822340	0
pdhd	027305	29	72	918916	0	50	931768	0
pdhd	027305	32	81	1024760	0	54	840812	0
pdhd	027305	15	80	966772	0	60	1057108	0
pdhd	027305	12	100	1803776	0	72	1367252	0
pdhd	027305	2	107	1028984	0	70	1135012	0
pdhd	027305	7	49	505348	0	22	586928	0
pdhd	027305	14	121	1273912	0	87	1196132	0
pdhd	027305	5	76	810644	0	51	859236	0
pdhd	027305	30	119	1254636	0	109	1381592	0
pdhd	027380	4	37	409808	0	14	428396	0
pdhd	027305	4	82	851996	0	59	1051988	0
pdhd	027380	3	43	425184	0	19	492152	0
pdhd	027305	33	102	1225992	0	85	1170848	0
pdhd	027380	5	37	411864	0	13	399632	0
pdhd	027380	2	56	529516	0	36	737940	0
pdhd	027305	6	92	1151340	0	74	1095812	0
pdhd	027305	8	89	1207344	0	73	1223884	0
pdhd	027409	0	39	411724	0	17	476488	0
pdhd	027305	9	101	1408212	0	67	1161960	0
pdhd	027380	1	84	1010032	0	66	1270504	0
pdhd	027380	6	45	430260	0	22	573884	0
pdhd	027409	12	39	449828	0	16	408776	0
pdhd	027380	7	47	422508	0	23	576660	0
pdhd	027409	3	37	411336	0	15	440492	0
pdhd	027409	1	52	429456	0	28	653416	0
pdhd	027409	2	45	409876	0	22	573692	0
pdhd	027409	5	39	409976	0	15	467476	0
pdhd	027409	4	46	412368	0	21	543736	0
pdhd	027409	7	35	409684	0	13	415588	0
pdhd	027425	20	38	411384	0	15	428792	0
pdhd	027409	6	48	427200	0	23	606600	0
pdhd	027380	0	107	1061480	0	103	1477964	0
pdhd	027425	27	40	412244	0	17	469900	0
