idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1685600	0	nan
1	6505	130	12	1586976	0	nan
2	6512	130	12	1518804	0	nan
3	6520	130	18	1559920	0	nan
4	6528	130	12	1684048	0	nan
5	6529	130	11	1602928	0	nan
6	6532	130	18	2017580	0	nan
7	6536	130	11	1637120	0	nan
8	6545	130	15	1711664	0	nan
9	6550	130	10	1477588	0	nan
10	6570	131	20	1922756	0	nan
11	6588	131	10	1494640	0	nan
12	6604	132	27	2170672	0	nan
13	6606	132	13	1769308	0	nan
14	6612	132	14	1896456	0	nan
15	6642	132	18	1982800	0	nan
16	6650	132	13	1813384	0	nan
17	6711	134	10	1527956	0	nan
18	6748	134	14	1567456	0	nan
19	6775	135	11	1545668	0	nan
20	6786	135	17	1896912	0	nan
21	6804	136	13	1610628	0	nan
22	6805	136	12	1733840	0	nan
23	6806	136	12	1847116	0	nan
24	6821	136	13	1581080	0	nan
25	6822	136	16	1994324	0	nan
26	6837	136	13	1883300	0	nan
27	6844	136	14	1812388	0	nan
28	6852	137	14	1621668	0	nan
29	6867	137	13	1612772	0	nan
30	6874	137	21	2086268	0	nan
31	6878	137	17	1747636	0	nan
32	6887	137	11	1551160	0	nan
33	6888	137	20	2014864	0	nan
34	6898	137	11	1544024	0	nan
