# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-ncpi0 ql=work-ncpi0-ql0819 events=19 products=152 missing=0
#evt	product	rollup_sha256	members
18625	img/icluster-apa0-active	76f658cb954dd28c619c28bf4b615f46dbd634893ad36fcfbe4c166a4181c80b	12
18625	img/icluster-apa0-masked	91a2dd94741dc9748392fc2726cc19298f3f1aaff4215eba91708342c424e463	9
18625	img/icluster-apa1-active	e671441fc1026b4ec4002422dd939edf0eb7ede35eced2228c211365d4563e66	12
18625	img/icluster-apa1-masked	63a154c5f827f5fb085525f96f9955644b902607e39764b236f994e139815014	9
18625	ql/mabc-all-apa.zip	32f50bee8ab046b94803e235f2f166c315bf871d15a5527c9d5f16c0df268ce8	5
18625	ql/mabc-apa0-face0.zip	f61010c0af2a05d74a34a73e07f1e2573abe426d72ea830a3f51e867f3f249d1	2
18625	ql/mabc-apa1-face0.zip	b562e5676c9a82506d26d6e065525a5c5dd9df1bf83f9be37b98959d38548077	2
18625	ql/pctree-evt18625.tar.gz	b9da259c3ab3d6575e43ee2c1d732a0731e5107757da69f59491643affe34eff	412
21073	img/icluster-apa0-active	33b78d9b49c276e3f51fc331dd49c4235584c2673c5ff566d5ea6c36cb16fd86	12
21073	img/icluster-apa0-masked	857e1ed0ab0d4a9a3a90baaa5f2904bbb1f079dbfc3466933bd93ac1136be7c5	9
21073	img/icluster-apa1-active	7990212be1586bb36f40c0d4688899080bebcd897dedc7dc07844331d8781b1d	12
21073	img/icluster-apa1-masked	a8b1a6cbf877f0132bb82969f30fdd05b7d9e7b3cdc3c6b9c23a6efc5e323186	9
21073	ql/mabc-all-apa.zip	ba2050fb7c3fe2446b999a8395c828250e4fe0c4a6fa79ae64affd52daf6cf2d	5
21073	ql/mabc-apa0-face0.zip	b615e6530a0d32fab84e7c46cb916f0dc6d16732939deb9717c36e021a0c95ae	2
21073	ql/mabc-apa1-face0.zip	8cd7582375d929ac3287da457e972ab1b2cb975a841a15844d1d2daf62a81f8c	2
21073	ql/pctree-evt21073.tar.gz	418577926ed08c9cb5870fa7082f38c822cb0cfb3a9d62e5f8a57e98a9f1e7e5	412
37112	img/icluster-apa0-active	da999c42fa69432940deafbad3305aded088aa689acbb5e5e8a902b577516c1b	12
37112	img/icluster-apa0-masked	9b43ff5b9dc30b20ee8bd3569aedfcda53697a6989d0a6a40430087931021471	9
37112	img/icluster-apa1-active	f7bb0265eac894facbad87587d0c8cfd8df646a87558a0fc0637f344340a702c	12
37112	img/icluster-apa1-masked	51818611c24c30badf52d3adc1c5894a2ccc1ac26f6ef8edf1ecd12311e52681	9
37112	ql/mabc-all-apa.zip	5739eed951fce6d8a8acef6a0a30bce8a9984fa8cf93329e966a6010d282a9d8	5
37112	ql/mabc-apa0-face0.zip	01871c61e924c2bff1b79323a377673f22f985c70bc69a29e7d6d01ca1bdae55	2
37112	ql/mabc-apa1-face0.zip	f6151254484b367aa08c824bc257f125dbd96fb51460558f76ec3897aee13793	2
37112	ql/pctree-evt37112.tar.gz	342b2c83fb2e488860e766f3871908c6b377fda4e4772e18bd7308d1d2e09990	412
56982	img/icluster-apa0-active	f8a06c0a6266353b6aec9d1ac424c52bad7be401492862ec3e4e0a0ed2b5efbe	12
56982	img/icluster-apa0-masked	fed77c8d5588a2ebd90570e70ec33b73f0414e189d49c32bbc9c26aa5702a91e	9
56982	img/icluster-apa1-active	c829fe33cebe37c711cdd4a8eade11cc295931d350a4699f80698ed24d63b3ec	12
56982	img/icluster-apa1-masked	64ecf8e7ffc877a165d9c1ddccc986e59ef26cd0844dd2c81a8d877f24e26d84	9
56982	ql/mabc-all-apa.zip	b431cc76e5c462ef189583dad7c0f5f9a60862de25fbf0de9822157d63650a27	5
56982	ql/mabc-apa0-face0.zip	e5962d42a46b5325669f24aa4ada003bc0155163fc213deefa0bc62cae79e344	2
