# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-mcp2k ql=work-mcp2k-ql0819 events=2000 products=16000 missing=0
#evt	product	rollup_sha256	members
47696	img/icluster-apa1-masked	beb809e94092b49e1b8f023a9adf44a14158b94e3ec9952419aa42c0b6512bb5	9
47696	ql/mabc-all-apa.zip	146eb3afb1f84402ab88a0659c37d4a3cff42ac01a0bfe940a53e4267b629b41	5
47696	ql/mabc-apa0-face0.zip	62a2391ab2899c574678f00843c0ba19b1ee05dac39164def651b37a70098a36	2
47696	ql/mabc-apa1-face0.zip	21d775bd09342835f6f17d96e26afce98156570b6272cdd4df87582bab29df11	2
47696	ql/pctree-evt47696.tar.gz	f62a6a43b8fe8ef44e537eeb249066cb0335326340d530108a9adcdc2bcd1720	410
47784	img/icluster-apa0-active	f1e3052f2a404b40f2d97d660bcfae1e2e1a72cfa7dcf15575a94a90d9f47ead	12
47784	img/icluster-apa0-masked	76b598e4f8b9b795b5f73e8b5f6f0f4af36077b07ed3cdd8e65ab6c894ccf140	9
47784	img/icluster-apa1-active	c949a1b80ff87bc61ce16d43112b55930d656c814bfe551e00fae67e35169bae	12
47784	img/icluster-apa1-masked	231e09992aaa07051e487072a770d3b2b8fdab5cfa1ff67c1dda4554f6c46bb7	9
47784	ql/mabc-all-apa.zip	604007168380e0ff0a5bdfa831947c863fe387859a39e7570f5cc3dea88e7d7a	5
47784	ql/mabc-apa0-face0.zip	a3e0b911713dfbc279b093310db13295de84a10b4ba4ca1d9841d490042d5012	2
47784	ql/mabc-apa1-face0.zip	21055267de02e04f3ceba3b67a391635386a37bc77d898a0b34d40d5bcbcb145	2
47784	ql/pctree-evt47784.tar.gz	37515fd3c4d9be08c502abc62f8f91dec9ec5d27e4edeaa4e05a885fa05c3bca	410
47894	img/icluster-apa0-active	a725c9227049375aa8bf9172e36df2969602ad7f75aa1124c2f3e43f04f40bd4	12
47894	img/icluster-apa0-masked	b2b90e4080055bfb2a33659a8a26422595f9277b8fb9165067d17c95048eb940	9
47894	img/icluster-apa1-active	ff7ad0ea533660376642c2c086abe1219f2987b3cc45fad81488b76b67c4ddbc	12
47894	img/icluster-apa1-masked	5bb5f01e6082ca36b661c26085ad54917459cf011eca678901948f6976cafe61	9
47894	ql/mabc-all-apa.zip	086e2fd9be1541756619cc3ebf092cc24c90628a4db08dc6a5b11f02e640b3cc	5
47894	ql/mabc-apa0-face0.zip	e065974886285809ef873eb1bbe920bde6414b8799d8f7927e73cc10e0475980	2
47894	ql/mabc-apa1-face0.zip	7616547aad03c3e3b99974dc1660ca28dda5bb6fcf7971a72311be2c3b4c3e21	2
