# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-nuecc48 ql=work-nuecc48-ql0819 events=48 products=384 missing=0
#evt	product	rollup_sha256	members
388	img/icluster-apa0-active	1aad6c60107054cb051783abbea65649f2d2e8acd65c0ae64dfc34b0dd9274f8	12
388	img/icluster-apa0-masked	c56f52829007aa3a26a675a31eb057337368037696891f297330c5c620dd768c	9
388	img/icluster-apa1-active	91713c50a9e59a7e0a37008f679d6e6ee06184910838b05f19c83b5f35a5c497	12
388	img/icluster-apa1-masked	43bd03876bd1cc24bd786972230d1bc39213b114ef97e134928b4727bbf6e14f	9
388	ql/mabc-all-apa.zip	a26f0302961df617eb2e3bccee404607e1d3e48473d38ecdc36f41b6ed71ac95	5
388	ql/mabc-apa0-face0.zip	5985630fb8eb0ce2d6b6d1e30c4dd322f7cc454d83b418856d7fdc95c87460b4	2
388	ql/mabc-apa1-face0.zip	c375dbfda84d7e1e7cc6544766938fe6b67d98b7e332211e8d9664885e7187d9	2
388	ql/pctree-evt388.tar.gz	0ff54524289821858da1364b795123492e5bbf91c1807b8343134f495ee481eb	410
10550	img/icluster-apa0-active	76d9de7c87a051c25a3c6485126ea846d6c4fc9832d4d1a1db7b1a9ecc6a54fb	12
10550	img/icluster-apa0-masked	646d128be103794513cdb42600f41e7600aaf35be892a8b2ecffb2eff4635d26	9
10550	img/icluster-apa1-active	201768e64d3937421688b321dd096c6ebc439812bddbbfcdabcec2ec8778ffb6	12
10550	img/icluster-apa1-masked	345e9817ff74af7ba7898449af8db8e65a2a8173a8b8bfc2f6cbae7347092af2	9
10550	ql/mabc-all-apa.zip	e6f6be8aea870581b910bfe71db40249497eaf4b85269311cb9fa42e1ca5031f	5
10550	ql/mabc-apa0-face0.zip	aa3de5bd66c746f169d048c684eabf66208835c33a784c9422bbbfcb1b14753c	2
10550	ql/mabc-apa1-face0.zip	58395c13a21bebd3f9560ebbbc0a08854221e7dac31ce9456b145c42933141d1	2
10550	ql/pctree-evt10550.tar.gz	96f512b10adea5d38a8ff25a4b07ee871a23e1cc74f6c9e534940667ec21e249	414
30504	img/icluster-apa0-active	d463e5492555fe2324ba4731a69e1d71edba1b3215f3c0ee65b16488d0d7b390	12
30504	img/icluster-apa0-masked	378bd646eab0261be0e8df9890f033c979929fcb7739f2d5fa9e3fc7f08a5949	9
30504	img/icluster-apa1-active	e6e87c6e7922163c785a51cfcfdc75a79e91381f4e41de65991f85dccde02031	12
30504	img/icluster-apa1-masked	7a3f1e1786c7fbf6aab5cc3b82693ad047013babdcbc1f1c1f799ad3c6b6ec86	9
30504	ql/mabc-all-apa.zip	494b603e93288e209490a3f5ddb45536eea5d93b6eadc35dc8547913f8ef8fad	5
30504	ql/mabc-apa0-face0.zip	2cd564908ac7553df204e56c9c4048b94133efee89667024d275cf8a3959b76f	2
30504	ql/mabc-apa1-face0.zip	70d48bd73ef94924e233ffc1cec308ab4dec82646cc1379b220afd218b293283	2
30504	ql/pctree-evt30504.tar.gz	fabba8b16df43b6dc0cf4e79dcb85fd6e0c589a6d22e70665d04bc1726483f54	412
38856	img/icluster-apa0-active	ddeb0a4975deb50018275a58f6d3708d5dd2b8a8da864ca1ec00c8e9e2db9bc7	12
38856	img/icluster-apa0-masked	dda538bb242099fd8c9568cf6c3b5fa73f59c43e0e831f7c09e166dd1364d109	9
38856	img/icluster-apa1-active	a60010b405be2287f752cf43b66dabc8069a14bc42a65dc4abf5dbd07d5721e1	12
38856	img/icluster-apa1-masked	4a2a268e9f1e1a256be3a0995a313147f20d04ac56f07bc780aebc03fe5d4ab5	9
38856	ql/mabc-all-apa.zip	0c84a39dbdb1b7d7d05550ee5c7d2594f922b3f24055abcb05f6efd68fb94ccf	5
38856	ql/mabc-apa0-face0.zip	e7f308d7b6dd68ec954ff54598f6afb40cfc033c00c8d752b4067a00cee45db1	2
38856	ql/mabc-apa1-face0.zip	68a5c24722c85edb305e2c6bb8cf2dfd21134df65e77638665d49f2b24a3b554	2
38856	ql/pctree-evt38856.tar.gz	e28c3ce2398343c0ae81a710eb7afc051115a9b5f951d74d3f4077f219f29559	410
42280	img/icluster-apa0-active	c6cf57f910501e178f3d14057a4e5f6ec8201443f573d6c5a600f9f0d38c23cc	12
42280	img/icluster-apa0-masked	c49c8eb73c3e2a809c2da0f32b41813c8e7a93b6a68014fc9a981ce5f1e8b3cc	9
