# doc pdhd/18 item set: old = pdhd/docs/scan/pdhd_stm_michel_scan_sheet.tsv (arm d53h, 303); new = arm h18s (317)
status	event	cluster	old_scan_id	new_scan_id	tranche	old_npts	new_npts	old_len	new_len	owner_smx1
kept	028084_22	103	75	75	2	80	80	47.4	47.4	0
kept	028084_22	44	73	73	2	489	489	292.59	292.59	0
kept	028084_22	57	74	74	2	434	434	259.27	259.27	0
kept	028084_23	113	81	81	2	143	143	88.14	88.14	0
kept	028084_23	114	82	82	1	355	355	210.99	210.99	1
kept	028084_23	122	83	83	2	112	112	65.7	65.7	0
added_cap64	028084_23	125		304	2		1335		801.4	0
kept	028084_23	35	76	76	2	1005	1005	602.07	602.07	0
kept	028084_23	45	77	77	2	971	971	604.91	604.91	0
kept	028084_23	46	78	78	2	119	119	71.96	71.96	0
kept	028084_23	51	79	79	1	582	582	348.22	348.22	1
kept	028084_23	53	80	80	2	95	95	55.57	55.57	0
kept	028084_24	103	87	87	1	676	676	405.6	405.6	1
kept	028084_24	114	88	88	2	82	82	47.67	47.67	0
kept	028084_24	47	84	84	2	27	27	46.59	46.59	0
kept	028084_24	49	85	85	2	446	446	267.2	267.2	0
kept	028084_24	52	86	86	2	117	117	69.67	69.67	0
kept	028084_25	28	89	89	2	233	233	137.52	137.52	0
kept	028084_25	36	90	90	2	316	316	186.43	186.43	0
kept	028084_25	84	91	91	2	303	303	180.57	180.57	0
kept	028084_26	109	94	94	1	83	83	49.47	49.47	1
kept	028084_26	111	95	95	2	519	519	309.72	309.72	0
kept	028084_26	115	96	96	2	384	384	229.89	229.89	0
kept	028084_26	118	97	97	2	50	50	39.44	39.44	0
kept	028084_26	32	92	92	2	523	523	315.22	315.22	0
kept	028084_26	38	93	93	2	152	152	94.49	94.49	0
kept	028084_27	107	103	103	2	181	181	109.91	109.91	0
kept	028084_27	111	104	104	2	39	39	53.92	53.92	0
kept	028084_27	26	98	98	2	221	221	139.85	139.85	0
kept	028084_27	27	99	99	2	461	461	272.18	272.18	0
kept	028084_27	46	100	100	2	111	111	66.87	66.87	0
kept	028084_27	57	101	101	1	221	221	139.7	139.7	1
kept	028084_27	93	102	102	2	398	398	236.84	236.84	0
kept	028084_28	106	105	105	2	171	171	108.09	108.09	0
kept	028084_28	110	106	106	2	547	547	326.35	326.35	0
kept	028084_28	131	107	107	2	1004	1004	600.49	600.49	0
kept	028084_29	101	111	111	2	100	100	58.23	58.23	0
kept	028084_29	115	112	112	2	172	172	101.84	101.84	0
kept	028084_29	38	108	108	1	70	70	39.61	39.61	1
kept	028084_29	44	109	109	2	344	344	221.15	221.15	0
kept	028084_29	53	110	110	2	544	544	327.97	327.97	0
kept	028084_3	22	113	113	2	284	284	197.95	197.95	0
kept	028084_3	23	114	114	2	68	68	39.6	39.6	0
kept	028084_3	27	115	115	1	328	328	198.25	198.25	1
kept	028084_3	72	116	116	2	424	424	250.51	250.51	0
kept	028084_3	86	117	117	2	955	955	572.57	572.57	0
kept	028084_3	91	118	118	2	100	100	59.43	59.43	0
kept	028084_30	100	123	123	2	1019	1019	610.52	610.52	0
kept	028084_30	111	124	124	1	249	249	144.01	144.01	1
kept	028084_30	26	119	119	2	249	249	146.9	146.9	0
kept	028084_30	33	120	120	2	147	147	86.23	86.23	0
kept	028084_30	34	121	121	2	274	274	162.44	162.44	0
kept	028084_30	37	122	122	1	717	717	429.16	429.16	1
kept	028084_4	114	129	129	1	494	494	295.14	295.14	1
kept	028084_4	119	130	130	2	433	433	259.43	259.43	0
kept	028084_4	18	125	125	2	162	162	96.05	96.05	0
kept	028084_4	20	126	126	2	765	765	451.35	451.35	0
kept	028084_4	29	127	127	2	87	87	51.68	51.68	0
kept	028084_4	41	128	128	1	396	396	236.71	236.71	1
kept	028084_5	115	131	131	2	72	72	42.77	42.77	0
kept	028084_6	109	136	136	2	827	827	494.04	494.04	0
kept	028084_6	115	137	137	2	330	330	196.26	196.26	0
kept	028084_6	117	138	138	2	140	140	83.29	83.29	0
kept	028084_6	42	132	132	2	411	411	245.62	245.62	0
kept	028084_6	50	133	133	2	20	20	63.96	63.96	0
kept	028084_6	91	134	134	2	115	115	68.4	68.4	0
kept	028084_6	97	135	135	2	406	406	243.03	243.03	0
added_cap64	028084_7	124		305	2		793		474.68	0
added_cap64	028084_7	135		306	2		472		280.76	0
kept	028084_7	34	139	139	2	470	470	277.28	277.28	0
kept	028084_7	36	140	140	2	234	234	139.65	139.65	0
kept	028084_7	45	141	141	2	515	515	308.0	308.0	0
kept	028084_7	56	142	142	1	652	652	390.72	390.72	1
kept	028084_7	61	143	143	2	199	199	118.71	118.71	0
kept	028084_8	110	146	146	2	112	112	67.35	67.35	0
kept	028084_8	120	147	147	2	553	553	345.69	345.69	0
kept	028084_8	37	144	144	2	285	285	166.78	166.78	0
kept	028084_8	46	145	145	2	160	160	95.35	95.35	0
kept	028084_9	24	148	148	2	635	635	373.22	373.22	0
kept	028084_9	37	149	149	2	45	45	157.07	157.07	0
kept	028084_9	50	150	150	2	583	583	380.55	380.55	0
kept	029107_0	103	154	154	2	22	22	14.73	14.73	0
kept	029107_0	127	155	155	1	68	68	40.33	40.33	1
kept	029107_0	49	151	151	2	47	47	115.55	115.55	0
kept	029107_0	50	152	152	1	289	289	172.89	172.89	1
kept	029107_0	56	153	153	1	26	26	53.26	53.26	1
kept	029107_1	32	156	156	2	274	274	158.26	158.26	0
kept	029107_1	36	157	157	2	636	636	383.62	383.62	0
kept	029107_1	42	158	158	2	49	49	131.11	131.11	0
kept	029107_1	82	159	159	2	304	304	182.24	182.24	0
kept	029107_1	85	160	160	2	229	229	136.28	136.28	0
kept	029107_10	37	161	161	2	317	317	189.91	189.91	0
kept	029107_10	44	162	162	2	626	626	377.28	377.28	0
kept	029107_10	50	163	163	1	220	220	127.14	127.14	1
kept	029107_10	65	164	164	2	564	564	338.12	338.12	0
kept	029107_10	80	165	165	2	64	64	36.84	36.84	0
kept	029107_11	18	166	166	2	94	94	55.53	55.53	0
kept	029107_11	22	167	167	2	133	133	80.44	80.44	0
kept	029107_11	33	168	168	1	315	315	192.34	192.34	0
kept	029107_11	48	169	169	2	47	47	29.55	29.55	0
kept	029107_11	74	170	170	2	44	44	26.1	26.1	0
kept	029107_11	90	171	171	1	468	468	280.11	280.11	0
kept	029107_12	108	176	176	1	842	842	507.52	507.52	0
kept	029107_12	110	177	177	1	317	317	191.1	191.1	0
kept	029107_12	118	178	178	2	103	103	61.14	61.14	0
added_cap64	029107_12	129		307	2		718		429.32	0
kept	029107_12	21	172	172	2	382	382	228.98	228.98	0
kept	029107_12	33	173	173	2	133	133	83.33	83.33	0
kept	029107_12	48	174	174	2	157	157	93.06	93.06	0
kept	029107_12	95	175	175	2	267	267	158.46	158.46	0
kept	029107_13	114	180	180	2	183	183	108.39	108.39	0
kept	029107_13	52	179	179	2	183	183	108.42	108.42	0
kept	029107_14	45	181	181	2	31	31	19.83	19.83	0
kept	029107_14	89	182	182	1	176	176	104.62	104.62	0
kept	029107_15	142	187	187	1	180	180	106.44	106.44	0
kept	029107_15	17	183	183	2	335	335	219.32	219.32	0
kept	029107_15	26	184	184	2	208	208	125.29	125.29	0
kept	029107_15	40	185	185	2	234	234	138.46	138.46	0
kept	029107_15	57	186	186	2	87	87	51.6	51.6	0
kept	029107_16	106	190	190	1	625	625	372.79	372.79	0
kept	029107_16	108	191	191	1	388	388	230.98	230.98	0
kept	029107_16	118	192	192	2	241	241	144.14	144.14	0
kept	029107_16	46	188	188	2	451	451	266.18	266.18	0
kept	029107_16	79	189	189	2	83	83	49.11	49.11	0
kept	029107_17	33	193	193	2	54	54	54.12	54.12	0
added_cap64	029107_18	130		308	2		520		311.44	0
added_cap64	029107_18	146		309	2		448		268.14	0
kept	029107_18	24	194	194	2	79	79	45.21	45.21	0
kept	029107_18	31	195	195	2	455	455	270.0	270.0	0
kept	029107_18	34	196	196	2	189	189	109.27	109.27	0
kept	029107_18	44	197	197	2	819	819	512.11	512.11	0
kept	029107_18	45	198	198	2	888	888	534.9	534.9	0
kept	029107_18	54	199	199	2	32	32	44.8	44.8	0
kept	029107_18	59	200	200	2	277	277	166.0	166.0	0
kept	029107_18	79	201	201	2	563	563	345.6	345.6	0
kept	029107_19	106	205	205	2	409	409	246.87	246.87	0
kept	029107_19	111	206	206	1	189	189	122.35	122.35	0
kept	029107_19	120	207	207	1	266	266	157.8	157.8	0
kept	029107_19	123	208	208	2	364	364	220.38	220.38	0
kept	029107_19	30	202	202	2	392	392	233.94	233.94	0
kept	029107_19	60	203	203	2	753	753	447.34	447.34	0
kept	029107_19	95	204	204	1	1122	1122	676.59	676.59	0
kept	029107_2	108	211	211	2	649	649	386.34	386.34	0
kept	029107_2	39	209	209	2	70	70	41.18	41.18	0
kept	029107_2	64	210	210	2	670	670	399.16	399.16	0
kept	029107_20	108	217	217	2	184	184	109.64	109.64	0
kept	029107_20	136	218	218	2	323	323	192.49	192.49	0
kept	029107_20	139	219	219	2	532	532	319.41	319.41	0
added_cap64	029107_20	151		310	2		994		596.71	0
kept	029107_20	17	212	212	2	56	56	32.06	32.06	0
kept	029107_20	22	213	213	1	188	188	114.38	114.38	0
kept	029107_20	24	214	214	2	98	98	58.27	58.27	0
kept	029107_20	48	215	215	2	82	82	232.09	232.09	0
kept	029107_20	57	216	216	2	185	185	110.51	110.51	0
kept	029107_21	109	227	227	2	72	72	42.72	42.72	0
kept	029107_21	32	220	220	2	156	156	94.53	94.53	0
kept	029107_21	41	221	221	1	181	181	107.44	107.44	0
kept	029107_21	43	222	222	2	784	784	471.27	471.27	0
kept	029107_21	51	223	223	2	122	122	253.77	253.77	0
kept	029107_21	53	224	224	2	70	70	41.28	41.28	0
kept	029107_21	64	225	225	2	93	93	55.39	55.39	0
kept	029107_21	65	226	226	2	491	491	294.0	294.0	0
kept	029107_22	123	230	230	2	463	463	276.32	276.32	0
kept	029107_22	40	228	228	2	317	317	189.49	189.49	0
kept	029107_22	46	229	229	1	93	93	55.39	55.39	0
kept	029107_23	108	233	233	2	1326	1326	802.18	802.18	0
kept	029107_23	115	234	234	2	67	67	39.41	39.41	0
kept	029107_23	116	235	235	2	191	191	112.27	112.27	0
kept	029107_23	128	236	236	2	77	77	45.44	45.44	0
kept	029107_23	35	231	231	2	168	168	100.64	100.64	0
kept	029107_23	55	232	232	1	52	52	31.21	31.21	0
kept	029107_24	19	237	237	2	139	139	82.78	82.78	0
kept	029107_24	33	238	238	2	246	246	146.67	146.67	0
kept	029107_24	47	239	239	2	30	30	17.4	17.4	0
kept	029107_25	109	243	243	2	173	173	103.48	103.48	0
kept	029107_25	110	244	244	2	265	265	157.6	157.6	0
kept	029107_25	123	245	245	1	460	460	282.78	282.78	0
kept	029107_25	27	240	240	2	66	66	61.89	61.89	0
kept	029107_25	89	241	241	1	865	865	516.33	516.33	0
kept	029107_25	93	242	242	2	61	61	38.3	38.3	0
added_cap64	029107_26	109		311	2		877		524.39	0
added_cap64	029107_26	111		312	2		402		240.2	0
added_cap64	029107_26	114		313	2		138		113.22	0
kept	029107_26	27	246	246	1	249	249	148.69	148.69	0
kept	029107_26	35	247	247	2	328	328	191.49	191.49	0
kept	029107_26	43	248	248	1	163	163	93.44	93.44	0
kept	029107_26	50	249	249	2	42	42	111.28	111.28	0
kept	029107_26	57	250	250	2	307	307	183.59	183.59	0
kept	029107_26	87	251	251	1	118	118	70.52	70.52	0
kept	029107_26	88	252	252	2	146	146	86.16	86.16	0
added_cap64	029107_26	89		314	2		105		63.0	0
kept	029107_27	39	253	253	1	104	104	62.11	62.11	0
kept	029107_27	64	254	254	2	70	70	39.96	39.96	0
kept	029107_27	99	255	255	2	98	98	58.1	58.1	0
kept	029107_28	109	259	259	2	991	991	595.94	595.94	0
kept	029107_28	30	256	256	2	29	29	16.25	16.25	0
kept	029107_28	36	257	257	2	395	395	236.4	236.4	0
kept	029107_28	54	258	258	2	93	93	54.22	54.22	0
kept	029107_29	119	262	262	2	115	115	70.56	70.56	0
kept	029107_29	35	260	260	2	929	929	553.77	553.77	0
kept	029107_29	68	261	261	2	127	127	107.26	107.26	0
kept	029107_3	107	267	267	2	508	508	304.2	304.2	0
kept	029107_3	111	268	268	1	551	551	329.77	329.77	0
kept	029107_3	23	263	263	1	200	200	123.92	123.92	0
kept	029107_3	31	264	264	2	35	35	19.61	19.61	0
kept	029107_3	86	265	265	2	277	277	176.71	176.71	0
kept	029107_3	99	266	266	2	189	189	112.2	112.2	0
kept	029107_4	118	274	274	2	120	120	70.87	70.87	0
kept	029107_4	123	275	275	1	380	380	222.11	222.11	0
kept	029107_4	24	269	269	2	248	248	146.86	146.86	0
kept	029107_4	56	270	270	1	124	124	84.65	84.65	0
kept	029107_4	58	271	271	2	364	364	218.1	218.1	0
kept	029107_4	69	272	272	2	116	116	68.88	68.88	0
kept	029107_4	72	273	273	2	100	100	59.99	59.99	0
added_cap64	029107_5	119		315	2		66		38.82	0
kept	029107_5	28	276	276	2	55	55	32.4	32.4	0
kept	029107_5	31	277	277	2	175	175	101.32	101.32	0
kept	029107_5	32	278	278	1	326	326	195.4	195.4	0
kept	029107_5	37	279	279	2	663	663	396.11	396.11	0
kept	029107_5	39	280	280	2	64	64	37.8	37.8	0
kept	029107_5	42	281	281	2	118	118	160.94	160.94	0
kept	029107_5	51	282	282	2	813	813	498.78	498.78	0
kept	029107_5	93	283	283	2	25	25	13.49	13.49	0
added_cap64	029107_5	96		316	2		126		74.88	0
added_cap64	029107_5	98		317	2		777		473.11	0
kept	029107_6	122	286	286	2	133	133	78.35	78.35	0
kept	029107_6	124	287	287	2	307	307	180.49	180.49	0
kept	029107_6	53	284	284	2	53	53	29.65	29.65	0
kept	029107_6	97	285	285	1	533	533	317.8	317.8	0
kept	029107_7	32	288	288	2	528	528	332.8	332.8	0
kept	029107_7	34	289	289	1	754	754	452.2	452.2	0
kept	029107_7	40	290	290	2	158	158	109.89	109.89	0
kept	029107_7	45	291	291	2	99	99	59.31	59.31	0
kept	029107_7	85	292	292	2	334	334	199.19	199.19	0
kept	029107_8	104	295	295	2	589	589	355.1	355.1	0
kept	029107_8	117	296	296	2	840	840	502.52	502.52	0
kept	029107_8	136	297	297	2	1119	1119	677.05	677.05	0
kept	029107_8	39	293	293	2	30	30	17.17	17.17	0
kept	029107_8	44	294	294	2	623	623	436.17	436.17	0
kept	029107_9	109	301	301	2	405	405	242.17	242.17	0
kept	029107_9	115	302	302	1	392	392	238.15	238.15	0
kept	029107_9	117	303	303	2	696	696	416.62	416.62	0
kept	029107_9	37	298	298	2	161	161	96.32	96.32	0
kept	029107_9	61	299	299	1	1035	1035	633.71	633.71	0
kept	029107_9	63	300	300	2	127	127	77.73	77.73	0
