# doc pdhd/18 item set: old = pdhd/docs/scan/pdhd_stm_michel_scan_sheet.tsv (arm d53h, 303); new = arm h18s (317)
status	event	cluster	old_scan_id	new_scan_id	tranche	old_npts	new_npts	old_len	new_len	owner_smx1
kept	028084_0	108	4	4	2	169	169	100.79	100.79	0
kept	028084_0	117	5	5	2	556	556	332.72	332.72	0
kept	028084_0	35	1	1	2	763	763	456.56	456.56	0
kept	028084_0	43	2	2	2	232	232	142.4	142.4	0
kept	028084_0	97	3	3	1	105	105	62.03	62.03	1
kept	028084_1	142	12	12	1	337	337	201.38	201.38	1
kept	028084_1	25	6	6	2	89	89	53.23	53.23	0
kept	028084_1	28	7	7	2	53	53	30.36	30.36	0
kept	028084_1	33	8	8	2	753	753	455.39	455.39	0
kept	028084_1	39	9	9	1	290	290	180.99	180.99	1
kept	028084_1	48	10	10	2	66	66	37.31	37.31	0
kept	028084_1	53	11	11	2	307	307	200.52	200.52	0
kept	028084_10	108	14	14	1	326	326	196.17	196.17	1
kept	028084_10	109	15	15	2	978	978	589.5	589.5	0
kept	028084_10	46	13	13	2	271	271	162.18	162.18	0
kept	028084_11	110	18	18	2	257	257	152.56	152.56	0
kept	028084_11	116	19	19	2	697	697	418.0	418.0	0
kept	028084_11	130	20	20	2	122	122	71.85	71.85	0
kept	028084_11	34	16	16	2	450	450	263.79	263.79	0
kept	028084_11	59	17	17	1	325	325	193.69	193.69	1
kept	028084_12	101	24	24	2	745	745	449.59	449.59	0
kept	028084_12	117	25	25	2	157	157	93.5	93.5	0
kept	028084_12	131	26	26	2	46	46	54.73	54.73	0
kept	028084_12	36	21	21	1	340	340	202.24	202.24	1
kept	028084_12	46	22	22	2	308	308	181.76	181.76	0
kept	028084_12	76	23	23	2	503	503	300.67	300.67	0
kept	028084_13	109	27	27	2	344	344	208.72	208.72	0
kept	028084_13	119	28	28	2	68	68	39.74	39.74	0
kept	028084_14	20	29	29	2	124	124	73.57	73.57	0
kept	028084_14	29	30	30	2	261	261	156.34	156.34	0
kept	028084_14	83	31	31	2	790	790	488.07	488.07	0
kept	028084_15	102	35	35	1	284	284	169.02	169.02	1
kept	028084_15	28	32	32	2	93	93	54.72	54.72	0
kept	028084_15	31	33	33	2	64	64	34.7	34.7	0
kept	028084_15	50	34	34	2	423	423	253.98	253.98	0
kept	028084_16	100	36	36	2	322	322	191.57	191.57	0
kept	028084_16	106	37	37	2	739	739	448.62	448.62	0
kept	028084_16	110	38	38	2	243	243	145.7	145.7	0
kept	028084_17	110	44	44	2	128	128	75.95	75.95	0
kept	028084_17	113	45	45	2	226	226	133.24	133.24	0
kept	028084_17	29	39	39	1	369	369	216.44	216.44	1
kept	028084_17	35	40	40	1	622	622	372.34	372.34	1
kept	028084_17	38	41	41	2	83	83	126.29	126.29	0
kept	028084_17	55	42	42	1	606	606	367.21	367.21	1
kept	028084_17	97	43	43	1	594	594	355.33	355.33	1
kept	028084_18	104	48	48	2	590	590	351.15	351.15	0
kept	028084_18	108	49	49	1	140	140	88.94	88.94	1
kept	028084_18	122	50	50	2	318	318	194.92	194.92	0
kept	028084_18	17	46	46	2	182	182	131.44	131.44	0
kept	028084_18	50	47	47	2	470	470	278.48	278.48	0
kept	028084_19	59	51	51	2	471	471	282.32	282.32	0
kept	028084_19	61	52	52	2	91	91	54.42	54.42	0
kept	028084_2	116	57	57	2	262	262	157.01	157.01	0
kept	028084_2	19	53	53	1	567	567	344.74	344.74	1
kept	028084_2	26	54	54	2	99	99	59.57	59.57	0
kept	028084_2	27	55	55	2	118	118	67.84	67.84	0
kept	028084_2	49	56	56	2	256	256	152.82	152.82	0
kept	028084_20	107	62	62	2	189	189	112.39	112.39	0
kept	028084_20	116	63	63	2	323	323	193.43	193.43	0
kept	028084_20	124	64	64	1	380	380	229.01	229.01	1
kept	028084_20	20	58	58	2	408	408	260.46	260.46	0
kept	028084_20	26	59	59	2	203	203	124.88	124.88	0
kept	028084_20	39	60	60	2	408	408	241.35	241.35	0
kept	028084_20	65	61	61	2	103	103	61.34	61.34	0
kept	028084_21	120	69	69	2	571	571	348.05	348.05	0
kept	028084_21	128	70	70	2	438	438	259.93	259.93	0
kept	028084_21	132	71	71	2	343	343	206.42	206.42	0
kept	028084_21	134	72	72	2	473	473	284.46	284.46	0
kept	028084_21	17	65	65	2	102	102	59.82	59.82	0
kept	028084_21	26	66	66	2	1052	1052	635.05	635.05	0
kept	028084_21	55	67	67	2	303	303	180.2	180.2	0
kept	028084_21	56	68	68	2	458	458	274.33	274.33	0
