idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1661084	0	nan
1	6505	130	12	1561696	0	nan
2	6512	130	13	1498032	0	nan
3	6520	130	16	1535180	0	nan
4	6528	130	12	1655960	0	nan
5	6529	130	12	1577612	0	nan
6	6532	130	18	1991016	0	nan
7	6536	130	12	1609772	0	nan
8	6545	130	14	1694996	0	nan
9	6550	130	10	1455348	0	nan
10	6570	131	21	1906248	0	nan
11	6588	131	10	1476880	0	nan
12	6604	132	26	2155980	0	nan
13	6606	132	13	1749912	0	nan
14	6612	132	14	1849476	0	nan
15	6642	132	18	1934568	0	nan
16	6650	132	13	1790448	0	nan
17	6711	134	11	1505848	0	nan
18	6748	134	13	1551236	0	nan
19	6775	135	11	1527068	0	nan
20	6786	135	17	1877716	0	nan
21	6804	136	12	1589880	0	nan
22	6805	136	12	1721172	0	nan
23	6806	136	12	1817180	0	nan
24	6821	136	12	1551492	0	nan
25	6822	136	16	1922280	0	nan
26	6837	136	14	1840636	0	nan
27	6844	136	13	1773936	0	nan
28	6852	137	13	1603360	0	nan
29	6867	137	12	1589828	0	nan
30	6874	137	22	2056120	0	nan
31	6878	137	16	1727840	0	nan
32	6887	137	11	1521904	0	nan
33	6888	137	21	1973584	0	nan
34	6898	137	11	1523488	0	nan
