# doc pdvd/98 -- m3-200k-w predictions on the real-data Michel crops (d98_predict.py; bf16, CUDA)
# variants: Z = Michel only, muon zeroed; S = overlap cells scaled by (charge-pred_mu)/charge; M = muon left in; Zw = Z with the wider mask.  mu/sig in cm from the response plane.
# tier A = Bragg ratio>=0.8 & q2d_ovl<0.2 & n_stop_gammas==0 & frac_lost<0.2; inrange = 80<=drift_tick<=340
det	key	tier	inrange	drift_tick	drift_fit	mu_Z	sig_Z	mu_S	sig_S	mu_M	sig_M	mu_Zw	sig_Zw	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	ke_best	ke_region	ratio	q2d_ovl	n_stop_gammas	kind	source	conn_type	michel_len	kink_deg	apa	face	d97
pdvd	039252_0/82	B	1	164.9	164.3	136.7	30.74	110.9	17.65	102.3	13.96	136.7	30.74	7.761e+05	3.014e+05	0.3884	0.3033	210	17.51	22.64	0.9987	0.1803	1	both	flat	1	4.966	39.11	5	1	
pdvd	039252_1/30	B	1	172.7	172.8	100.8	18.35	85.55	7.244	100.8	15.58	100.8	17.11	1.428e+06	3.391e+05	0.2374	0.1519	304	42.6	53.72	0.7333	0.0454	0	both	flat	1	15.41	58.27	2	0	
pdvd	039252_10/73	B	1	308	307.8	150	46.32	278.1	57.88	256.2	40.72	150	46.32	9.069e+05	4.373e+05	0.4821	0.4208	224	19.83	25.39	0.7747	0.3012	0	attached	flat	1	7.594	48.45	5	1	
pdvd	039252_12/95	B	1	173.2	173.2	110.2	23.2	103.1	17.11	118.8	23.2	110.2	23.2	1.313e+06	5.693e+05	0.4337	0.2545	366	27.32	48.33	0.6699	0.1824	0	both	flat	1	10.8	37.95	6	0	
pdvd	039252_14/37	A	1	93.92	94.16	94.53	19.09	94.53	19.09	94.53	19.09	94.92	19.39	3.288e+05	0	0	0	170	10.77	23.55	0.9123	0	0	both	flat	2	7.481	-1	2	1	
pdvd	039252_14/81	A	1	101.2	101.3	87.89	12.91	87.11	12.13	92.58	13.96	87.89	12.91	9.246e+05	1.523e+05	0.1647	0.08944	351	25.35	34.28	0.8116	0.105	0	both	flat	2	6.013	-1	4	1	
pdvd	039252_15/81	B	0	33.27	33.25	121.1	27.55	105.5	19.54	182.8	26.5	124.2	28.21	1.366e+06	7.498e+05	0.5488	0.342	305	22.03	34.43	1.021	0.3124	0	both	flat	1	9.397	81.72	6	0	
pdvd	039252_15/82	B	0	8.061	8.02	82.81	6.196	86.72	3.02	82.03	4.001	80.08	4.902	7.992e+05	5.196e+05	0.6501	0.5155	110	13.13	42.03	1.005	0.319	0	attached	flat	1	4.932	125.9	6	0	
pdvd	039252_15/91	A	1	164.6	164.3	132	23.57	120.3	21.97	130.5	24.51	132	23.57	1.194e+06	2.773e+05	0.2322	0.1703	419	38.16	29.8	0.9178	0.1521	0	both	flat	1	11.18	36.35	7	1	
pdvd	039252_16/88	B	1	113.4	112.7	92.19	15.7	100.8	16.71	101.6	16.71	92.19	15.7	8.414e+05	4.19e+05	0.498	0.3444	252	21.44	22.02	1.176	0.2996	0	attached	flat	1	8.2	61.5	4	0	attached
