evt	tag	arm	runNo	subRunNo	n_cloud	n_vtx_points	n_seg_points	n_invalid_fit	truth_x	truth_y	truth_z	pick_kind	not_a_candidate	dis_to_main	corrective	label_source	sample	numu_score	prod_x	prod_y	prod_z	lockbox	label_saved_utc	label_mtime	npz
100222	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	1381	156	1225	-1	74.365768	24.292784	190.023758	candidate	0	0.0000	0	human	nuecc		74.365768	24.292784	190.023758	0	2026-08-16T21:27:46+00:00	1786915666	evt100222.npz
100245	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	183	13	170	-1	103.780319	87.243797	260.765472	candidate	0	0.0000	0	human	nuecc		103.780319	87.243797	260.765472	0	2026-08-16T18:39:04+00:00	1786905545	evt100245.npz
100421	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	431	20	411	-1	-181.318741	-110.462616	216.911469	candidate	0	0.0000	0	human	nuecc		-181.318741	-110.462616	216.911469	0	2026-08-16T20:53:39+00:00	1786913619	evt100421.npz
101004	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	16	4	12	-1	-130.095032	192.593887	459.589294	candidate	0	7.3321	1	human	nuecc		-130.778488	199.894058	459.575012	0	2026-08-16T19:31:03+00:00	1786908664	evt101004.npz
101224	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	129	32	97	-1	114.684387	-164.107986	438.226715	candidate	0	50.3793	1	human	nuecc		95.663422	-198.730576	406.960846	0	2026-08-16T19:30:12+00:00	1786908613	evt101224.npz
101498	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	271	14	257	-1	-165.618515	-91.682030	438.972534	candidate	0	97.6663	1	human	nuecc		-186.350281	-186.068436	424.826691	0	2026-08-16T19:13:17+00:00	1786907598	evt101498.npz
103391	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	255	29	226	-1	104.500000	-36.000000	320.500000	manual	1	5.5975	1	human	nuecc		103.092102	-32.069336	316.771851	0	2026-08-16T19:05:14+00:00	1786907114	evt103391.npz
103798	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	211	84	127	-1	-82.431305	102.240799	180.564972	candidate	0	0.0000	0	human	nuecc		-82.431305	102.240799	180.564972	0	2026-08-16T19:15:29+00:00	1786907729	evt103798.npz
104260	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	375	29	346	-1	-75.319717	-121.479424	167.585266	candidate	0	0.0000	0	human	nuecc		-75.319717	-121.479424	167.585266	0	2026-08-16T20:26:22+00:00	1786911982	evt104260.npz
104304	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	330	7	323	-1	58.129333	-76.477402	221.364838	candidate	0	0.0000	0	human	nuecc		58.129333	-76.477402	221.364838	0	2026-08-16T19:07:45+00:00	1786907265	evt104304.npz
105140	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	100	6	94	-1	160.380676	-87.767914	465.378754	candidate	0	0.0000	0	human	nuecc		160.380676	-87.767914	465.378754	0	2026-08-16T19:10:59+00:00	1786907459	evt105140.npz
105492	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	63	22	41	-1	44.392811	-60.120083	172.226456	candidate	0	12.3683	1	human	nuecc		50.829121	-52.796711	179.836807	0	2026-08-16T20:02:31+00:00	1786910552	evt105492.npz
156093	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	440	13	427	-1	-145.626343	-107.106911	345.893677	candidate	0	0.0000	0	human	nuecc		-145.626343	-107.106911	345.893677	0	2026-08-16T20:56:47+00:00	1786913808	evt156093.npz
157281	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	388	11	377	-1	-171.382965	0.878009	238.301208	candidate	0	0.0000	0	human	nuecc		-171.382965	0.878009	238.301208	0	2026-08-16T19:10:49+00:00	1786907450	evt157281.npz
161043	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	65	19	46	-1	97.404922	163.675964	167.687164	candidate	0	0.0000	0	human	nuecc		97.404922	163.675964	167.687164	0	2026-08-16T18:40:07+00:00	1786905607	evt161043.npz
162143	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	786	36	750	-1	34.473545	-49.729530	136.484009	candidate	0	0.0000	0	human	nuecc		34.473545	-49.729530	136.484009	0	2026-08-16T21:00:39+00:00	1786914040	evt162143.npz
