run	ch	type	group	x	y	z	n_flash	frac_nonzero	sum_pe	med_evt_max	peer_ratio	b_meas	b_pred	meas_pred_cur	type_factor	meas_pred_official
039252	36	1	bottom PMT	-336.5	-170.0	-54.4	4291	0.0669	1310.0	14.37	0.563	514.0	3789.8	0.1356	0.352	0.0477
039252	37	1	bottom PMT	-336.5	170.0	-156.3	4291	0.1289	3361.8	25.52	1.025	1525.0	2070.5	0.7365	0.352	0.2593
039252	38	1	bottom PMT	-336.5	0.0	-156.3	4291	0.1720	4656.8	57.10	2.293	1836.0	2252.3	0.8152	0.352	0.2869
039252	39	1	bottom PMT	-336.5	-170.0	-156.3	4291	0.1042	1331.6	16.80	0.658	550.4	0.0	nan	0.352	nan
039253	0	0	wall XA TOP (+x)	305.6	417.6	149.7	4274	0.2024	49431.7	824.43	0.450	17879.3	22299.3	0.8018	1.655	1.3270
039253	1	0	wall XA TOP (+x)	305.6	-417.6	149.7	4274	0.1116	66871.4	1832.61	2.223	24296.2	17436.9	1.3934	1.655	2.3060
039253	2	0	wall XA TOP (+x)	229.0	417.6	149.7	4274	0.1605	23921.5	421.69	0.230	12925.8	39044.3	0.3311	1.655	0.5479
039253	3	0	wall XA TOP (+x)	229.0	-417.6	149.7	4274	0.2263	158035.5	1888.08	2.290	48901.6	30919.6	1.5816	1.655	2.6175
039253	4	0	cathode XA (ref)	-0.0	123.8	258.5	4274	0.7808	1308632.7	9767.26	0.905	729633.7	138950.1	5.2510	10.116	53.1196
039253	5	0	cathode XA (ref)	-0.0	-213.2	258.5	4274	0.7752	1542415.4	10792.98	1.018	792085.1	127158.4	6.2291	10.116	63.0138
039253	6	0	cathode XA (ref)	-0.0	290.4	187.3	4274	0.7646	1459876.4	11623.38	1.096	754839.3	166882.4	4.5232	10.116	45.7565
039253	7	0	cathode XA (ref)	-0.0	-46.6	187.3	4274	0.7567	1321905.2	8120.52	0.752	726409.8	110015.5	6.6028	10.116	66.7939
039253	8	0	cathode XA (ref)	-0.0	42.6	112.0	4274	0.7492	2186106.2	14306.16	1.349	1165525.1	160181.7	7.2763	10.116	73.6067
039253	9	0	cathode XA (ref)	-0.0	-213.2	112.0	4274	0.7840	1995188.4	12813.02	1.208	992793.8	141398.5	7.0212	10.116	71.0269
039253	10	0	cathode XA (ref)	-0.0	209.1	40.8	4274	0.7513	1546377.7	10603.21	0.982	797415.1	153082.0	5.2091	10.116	52.6950
039253	11	0	cathode XA (ref)	-0.0	-127.9	40.8	4274	0.7546	1234056.4	5944.11	0.551	635987.5	149959.9	4.2411	10.116	42.9025
039253	12	0	wall XA BOTTOM (-x)	-201.1	417.6	149.7	4274	0.1617	128188.0	2295.87	2.947	45800.6	28582.4	1.6024	1.655	2.6520
039253	13	0	wall XA BOTTOM (-x)	-201.1	-417.6	149.7	4274	0.1703	8905.8	69.92	0.048	4971.7	0.0	nan	1.655	nan
039253	14	1	z-wall PMT	-205.9	221.0	409.0	4274	0.0246	3987.3	58.81	1.393	1221.6	10643.4	0.1148	0.352	0.0404
039253	15	1	z-wall PMT	-205.9	-221.0	409.0	4274	0.0524	4482.4	78.27	1.853	2275.7	3224.8	0.7057	0.352	0.2484
039253	16	1	z-wall PMT	-205.9	256.0	-96.1	4274	0.0211	154.7	2.30	0.048	67.0	12158.9	0.0055	0.352	0.0019
039253	17	1	z-wall PMT	-205.9	-221.0	-109.7	4274	0.0412	483.7	6.72	0.141	275.1	8370.4	0.0329	0.352	0.0116
039253	18	0	wall XA BOTTOM (-x)	-277.7	417.6	149.7	4274	0.1935	88146.5	779.16	0.530	20946.8	19552.7	1.0713	1.655	1.7730
039253	19	0	wall XA BOTTOM (-x)	-277.7	-417.6	149.7	4274	0.1434	132864.1	1468.91	1.885	38794.9	17460.4	2.2219	1.655	3.6772
039253	20	1	z-wall PMT	-281.7	221.0	409.0	4274	0.2263	11806.1	67.92	1.608	4894.6	10310.2	0.4747	0.352	0.1671
039253	21	1	z-wall PMT	-281.7	-221.0	409.0	4274	0.1790	5754.1	47.62	1.128	2984.8	2493.2	1.1972	0.352	0.4214
039253	22	1	z-wall PMT	-281.7	256.0	-96.1	4274	0.1259	3164.7	42.23	0.887	1361.2	13390.8	0.1016	0.352	0.0358
039253	23	1	z-wall PMT	-281.7	-221.0	-109.7	4274	0.1079	2959.3	41.55	0.872	1488.6	8695.6	0.1712	0.352	0.0603
039253	24	1	bottom PMT	-336.5	170.0	455.6	4274	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039253	25	1	bottom PMT	-336.5	0.0	455.6	4274	0.1317	2611.6	26.76	1.064	1544.1	2231.2	0.6920	0.352	0.2436
039253	26	1	bottom PMT	-336.5	-170.0	455.6	4274	0.0856	1873.7	31.43	1.250	980.7	1788.3	0.5484	0.352	0.1930
039253	27	1	bottom PMT	-336.5	170.0	353.6	4274	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039253	28	1	bottom PMT	-336.5	0.0	353.6	4274	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039253	29	1	bottom PMT	-336.5	-170.0	353.6	4274	0.1212	2240.5	25.15	0.940	1035.4	0.0	nan	0.352	nan
039253	30	1	bottom PMT	-336.5	405.3	217.8	4274	0.1116	2441.8	30.46	1.211	1209.5	2304.3	0.5249	0.352	0.1848
039253	31	1	bottom PMT	-336.5	-405.3	217.8	4274	0.0798	1065.5	14.05	0.525	521.1	1949.3	0.2673	0.352	0.0941
039253	32	1	bottom PMT	-336.5	405.3	149.7	4274	0.1210	2195.2	23.31	0.871	882.1	0.0	nan	0.352	nan
039253	33	1	bottom PMT	-336.5	-405.3	149.7	4274	0.0108	170.9	2.77	0.103	101.6	1944.3	0.0523	0.352	0.0184
039253	34	1	bottom PMT	-336.5	170.0	-54.4	4274	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039253	35	1	bottom PMT	-336.5	0.0	-54.4	4274	0.1694	3978.6	50.38	2.004	1936.5	4605.3	0.4205	0.352	0.1480
039253	36	1	bottom PMT	-336.5	-170.0	-54.4	4274	0.0686	1133.4	19.02	0.711	545.9	3837.9	0.1422	0.352	0.0501
039253	37	1	bottom PMT	-336.5	170.0	-156.3	4274	0.1310	2714.6	30.56	1.216	1278.5	2194.0	0.5827	0.352	0.2051
039253	38	1	bottom PMT	-336.5	0.0	-156.3	4274	0.1654	4336.9	43.74	1.740	1983.8	2392.1	0.8293	0.352	0.2919
039253	39	1	bottom PMT	-336.5	-170.0	-156.3	4274	0.1039	1379.6	17.05	0.637	642.2	0.0	nan	0.352	nan
039349	0	0	wall XA TOP (+x)	305.6	417.6	149.7	15160	0.1909	120480.3	336.67	0.206	35492.5	51891.9	0.6840	1.655	1.1320
039349	1	0	wall XA TOP (+x)	305.6	-417.6	149.7	15160	0.1292	330457.8	2175.46	6.462	73969.2	51772.5	1.4287	1.655	2.3646
039349	2	0	wall XA TOP (+x)	229.0	417.6	149.7	15160	0.1486	52052.0	156.97	0.096	14751.5	87885.5	0.1678	1.655	0.2778
039349	3	0	wall XA TOP (+x)	229.0	-417.6	149.7	15160	0.1991	479786.0	1637.82	4.865	149827.4	86870.7	1.7247	1.655	2.8544
039349	4	0	cathode XA (ref)	-0.0	123.8	258.5	15160	0.7754	3777175.0	7565.67	0.781	1734658.4	341077.5	5.0858	10.116	51.4481
039349	5	0	cathode XA (ref)	-0.0	-213.2	258.5	15160	0.7668	5038032.5	8646.55	0.893	2259364.7	358632.0	6.3000	10.116	63.7303
039349	6	0	cathode XA (ref)	-0.0	290.4	187.3	15160	0.7505	3935300.9	9999.48	1.156	1746070.4	403309.8	4.3294	10.116	43.7957
039349	7	0	cathode XA (ref)	-0.0	-46.6	187.3	15160	0.7761	4027072.4	7339.76	0.758	1858483.0	297559.4	6.2458	10.116	63.1821
039349	8	0	cathode XA (ref)	-0.0	42.6	112.0	15160	0.7491	6282876.4	11356.74	1.313	2808813.4	340723.4	8.2437	10.116	83.3930
039349	9	0	cathode XA (ref)	-0.0	-213.2	112.0	15160	0.7985	6851449.1	12624.07	1.460	3029363.7	390844.7	7.7508	10.116	78.4072
039349	10	0	cathode XA (ref)	-0.0	209.1	40.8	15160	0.7601	4675488.3	9682.15	1.120	2083524.2	376907.2	5.5280	10.116	55.9207
039349	11	0	cathode XA (ref)	-0.0	-127.9	40.8	15160	0.7371	4074084.7	5599.76	0.578	1754031.6	382208.2	4.5892	10.116	46.4244
039349	12	0	wall XA BOTTOM (-x)	-201.1	417.6	149.7	15160	0.1520	295978.5	789.98	1.114	69708.7	83231.0	0.8375	1.655	1.3861
039349	13	0	wall XA BOTTOM (-x)	-201.1	-417.6	149.7	15160	0.1670	39282.3	90.25	0.114	16076.2	0.0	nan	1.655	nan
039349	14	1	z-wall PMT	-205.9	221.0	409.0	15160	0.0875	66785.7	318.82	4.271	8834.7	36488.4	0.2421	0.352	0.0852
039349	15	1	z-wall PMT	-205.9	-221.0	409.0	15160	0.0966	69235.1	240.89	3.227	26464.7	10217.2	2.5902	0.352	0.9118
039349	16	1	z-wall PMT	-205.9	256.0	-96.1	15160	0.0415	2311.2	8.12	0.055	821.7	38633.8	0.0213	0.352	0.0075
039349	17	1	z-wall PMT	-205.9	-221.0	-109.7	15160	0.1013	11013.4	44.11	0.298	4463.7	35588.4	0.1254	0.352	0.0441
039349	18	0	wall XA BOTTOM (-x)	-277.7	417.6	149.7	15160	0.1790	285140.8	708.97	0.897	90582.5	59928.3	1.5115	1.655	2.5016
039349	19	0	wall XA BOTTOM (-x)	-277.7	-417.6	149.7	15160	0.1454	441810.0	875.57	1.235	101000.3	63723.6	1.5850	1.655	2.6231
039349	20	1	z-wall PMT	-281.7	221.0	409.0	15160	0.2208	95425.4	283.37	3.796	36927.1	27689.2	1.3336	0.352	0.4694
