idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	2031720	0	9.722475908696651
1	6505	130	13	1917892	0	10.694152883253992
2	6512	130	13	1837548	0	10.818401730619371
3	6520	130	19	1925604	0	16.666565330699086
4	6528	130	13	2033196	0	10.499585784040391
5	6529	130	12	1954736	0	9.884742112830281
6	6532	130	20	2305292	0	18.151971287094057
7	6536	130	12	1980260	0	10.331696123816073
8	6545	130	16	2024624	0	14.017322632484138
9	6550	130	11	1780564	0	8.931313246488571
10	6570	131	22	2206636	0	20.08130726683885
11	6588	131	11	1824972	0	8.477793926373124
12	6604	132	28	2439564	0	25.423571943305433
13	6606	132	14	2126244	0	11.686479221098125
14	6612	132	16	2176676	0	13.618304603733122
15	6642	132	19	2237012	0	16.709096082486212
16	6650	132	14	2161208	0	11.791377881541848
17	6711	134	11	1872160	0	9.344679838977754
18	6748	134	14	1904148	0	11.950783006846905
19	6775	135	12	1886736	0	9.952407994307578
20	6786	135	20	2179688	0	17.678976556286216
21	6804	136	13	1963984	0	11.2163638016209
22	6805	136	13	2097180	0	11.021403941325843
23	6806	136	13	2197452	0	10.861537897028029
24	6821	136	14	1938272	0	11.729941291734576
25	6822	136	18	2318084	0	15.761839611455798
26	6837	136	15	2205648	0	12.58609368558973
27	6844	136	15	2144868	0	12.747389351017773
28	6852	137	16	1981392	0	13.67109933309257
29	6867	137	14	1906740	0	11.676825223490596
30	6874	137	24	2318084	0	22.489615248516202
31	6878	137	18	2085764	0	15.689660185016692
32	6887	137	13	1905996	0	10.46931283455342
33	6888	137	23	2216460	0	21.50806701928377
34	6898	137	12	1887980	0	10.429254283197224
