idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1960356	0	nan
1	6505	130	11	1857368	0	nan
2	6512	130	13	1776208	0	nan
3	6520	130	15	1840036	0	nan
4	6528	130	11	1949648	0	nan
5	6529	130	11	1879868	0	nan
6	6532	130	17	2199340	0	nan
7	6536	130	11	1897460	0	nan
8	6545	130	14	1953224	0	nan
9	6550	130	10	1731628	0	nan
10	6570	131	20	2162872	0	nan
11	6588	131	9	1770896	0	nan
12	6604	132	25	2302912	0	nan
13	6606	132	12	2052848	0	nan
14	6612	132	14	2155992	0	nan
15	6642	132	17	2188680	0	nan
16	6650	132	12	2099384	0	nan
17	6711	134	10	1829496	0	nan
18	6748	134	13	1845500	0	nan
19	6775	135	11	1829724	0	nan
20	6786	135	16	2069968	0	nan
21	6804	136	12	1894216	0	nan
22	6805	136	11	2013448	0	nan
23	6806	136	12	2086080	0	nan
24	6821	136	12	1852752	0	nan
25	6822	136	16	2235172	0	nan
26	6837	136	13	2147672	0	nan
27	6844	136	13	2081460	0	nan
28	6852	137	13	1912632	0	nan
29	6867	137	12	1848500	0	nan
30	6874	137	22	2240072	0	nan
31	6878	137	17	2015992	0	nan
32	6887	137	12	1841952	0	nan
33	6888	137	22	2126712	0	nan
34	6898	137	12	1825664	0	nan
