idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1906800	0	nan
1	6505	130	12	1810672	0	nan
2	6512	130	14	1748600	0	nan
3	6520	130	16	1806780	0	nan
4	6528	130	12	1901168	0	nan
5	6529	130	11	1834512	0	nan
6	6532	130	18	2120912	0	nan
7	6536	130	12	1839256	0	nan
8	6545	130	15	1909436	0	nan
9	6550	130	10	1702208	0	nan
10	6570	131	21	2089152	0	nan
11	6588	131	10	1716872	0	nan
12	6604	132	26	2228944	0	nan
13	6606	132	13	1991904	0	nan
14	6612	132	14	2073548	0	nan
15	6642	132	18	2109652	0	nan
16	6650	132	13	2022208	0	nan
17	6711	134	11	1777688	0	nan
18	6748	134	13	1791376	0	nan
19	6775	135	11	1786548	0	nan
20	6786	135	17	2014936	0	nan
21	6804	136	13	1851248	0	nan
22	6805	136	12	1954416	0	nan
23	6806	136	12	2017296	0	nan
24	6821	136	12	1804448	0	nan
25	6822	136	16	2165328	0	nan
26	6837	136	13	2083568	0	nan
27	6844	136	14	2011992	0	nan
28	6852	137	14	1864372	0	nan
29	6867	137	12	1802180	0	nan
30	6874	137	21	2176284	0	nan
31	6878	137	16	1956224	0	nan
32	6887	137	11	1796444	0	nan
33	6888	137	20	2072060	0	nan
34	6898	137	11	1773652	0	nan
