arm	evt	hit_base	hit_arm	moved	d_base	d_arm	adverse	rescued	nue_b	nue_a	numu_b	numu_a	agree	transferred	dual_d	has_vertex	off_ms	route
work-pr112i-snapD2-mcp1k	401780	0	0	0	63.44850318600174	63.44850318600174	0	0	-15.0	-15.0	0.9203410148620605	0.9203410148620605	True	False	0.0	True	1311.369266	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	402330	1	1	0	1.8469965884325759	1.8469965884325759	0	0	-15.0	-15.0	2.64213228225708	2.64213228225708	True	False	2.230579844778171	True	1407.529573	dl-dual-snap-reject
work-pr112i-snapD2-mcp1k	402880	1	1	0	2.3553286952825907e-06	2.3553286952825907e-06	0	0	-15.0	-15.0	-0.9172954559326172	-0.9172954559326172	True	False	5.176696699749412	True	1428.590768	dl-dual-snap-reject
work-pr112i-snapD2-mcp1k	404244	1	1	0	0.20514566607565948	0.20514566607565948	0	0	-15.0	-15.0	1.5831780433654785	1.5831780433654785	True	True	0.20514377684760574	True	1776.087525	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	404684	0	0	0	55.14023070856222	55.14023070856222	0	0	-15.0	-15.0	0.5105209350585938	0.5105209350585938	True	True	0.5538752595621774	True	1264.52293	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	405234	1	1	0	0.27325586412025343	0.27325586412025343	0	0	-15.0	-15.0	0.2792847752571106	0.2792847752571106	True	True	0.5988811100968177	True	1326.322724	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	405432	1	1	0	0.21716249215195285	0.21716249215195285	0	0	-15.0	-15.0	3.5522706508636475	3.5522706508636475	True	False	0.23225028964618316	True	1529.145895	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	405674	1	1	0	0.3660623643250421	0.3660623643250421	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	True	False	0.43628569534570333	True	2082.46304	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	405740	1	1	0	3.215172044544173e-06	3.215172044544173e-06	0	0	-15.0	-15.0	0.07541458308696747	0.07541458308696747	True	True	0.0	True	1151.537906	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	406752	0	0	0	6.947670922654343	6.947670922654343	0	0	-15.0	-15.0	0.23256148397922516	0.23256148397922516	True	True	1.9790044884982536	True	1405.135292	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	407148	1	1	0	0.37598284298495827	0.37598284298495827	0	0	-15.0	-15.0	4.121788024902344	4.121788024902344	True	False	0.11388404626155571	True	2454.346333	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	407280	1	1	0	1.697864432256265	1.697864432256265	0	0	-15.0	-15.0	0.08354604244232178	0.08354604244232178	True	False	1.6978630858327393	True	3084.955218	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	407918	0	1	1	83.00863349283996	1.8251139360699977	0	0	-15.0	-15.0	1.4415096044540405	1.8150089979171753	True	True	1.8251175506976622	True	1624.505791	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	408534	0	0	0	132.0718506158275	132.0718506158275	0	0	-15.0	-15.0	-2.05112886428833	-2.05112886428833	True	True	0.0	True	1628.716828	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	409634	0	0	0	1.3683124335665287	1.3683124335665287	0	0	-15.0	-15.0	-1.841029167175293	-0.4811456501483917	True	True	0.0	True	1617.100499	dl-dual-snap-accept
