evt	nofitx_id	nofitx_d	off_id	off_d	uniW0_id	uniW0_d	snapD2_id	snapD2_d
388323	1	0.444	1	0.0	1	0.0	1	0.0
389225	1	0.985	1	1.219	1	1.219	1	1.219
389379	0	155.594	0	155.594	0	155.594	0	155.594
390216	1	0.624	1	0.0	1	0.0	1	0.0
390370	1	0.252	1	0.321	1	0.321	1	0.321
390391	1	2.212	1	0.771	1	0.771	1	1.511
390634	1	0.304	1	0.355	1	0.355	1	0.355
390743	1	0.24	0	7.807	0	7.807	1	0.246
390810	1	0.0	1	0.0	1	0.0	1	0.0
390942	1	1.727	1	0.0	1	0.0	1	0.0
391415	1	2.407	1	2.458	1	2.458	1	2.458
391513	1	0.155	1	1.094	1	1.094	1	1.094
391777	1	0.328	1	0.985	1	0.985	1	0.985
391899	1	0.806	1	0.566	1	0.566	1	0.566
392009	1	0.0	1	0.251	1	0.251	1	0.251
392327	1	0.285	1	0.112	1	0.112	1	0.112
392527	1	1.7	1	3.106	1	3.106	1	3.106
392649	1	0.0	1	0.0	1	0.0	1	0.0
392759	1	1.585	1	0.492	1	0.492	1	0.492
392891	1	0.0	0	1.256	1	0.081	1	0.081
392988	1	1.324	1	0.791	1	0.791	1	0.791
393089	1	0.252	1	0.251	1	0.251	1	0.251
393133	0	31.958	0	31.958	0	31.958	0	31.958
393485	1	0.366	1	0.237	1	0.237	1	0.237
393538	1	0.418	1	0.165	1	0.165	1	0.165
393727	1	0.0	1	0.0	1	0.0	1	0.0
393758	1	0.595	1	0.571	1	0.571	1	0.571
393935	1	0.0	1	0.0	1	0.0	1	0.0
394407	0	313.472	0	313.472	0	313.472	0	313.472
395012	1	0.198	1	0.261	1	0.261	1	0.261
395033	1	0.0	1	0.0	1	0.0	1	0.0
395089	1	0.554	1	0.181	1	0.181	1	0.181
395209	1	1.448	1	0.0	1	0.0	1	0.0
395277	0	10.342	0	10.322	0	10.322	0	10.322
395298	1	1.583	1	0.026	1	1.304	1	1.304
395443	1	0.455	1	0.761	1	0.761	1	0.761
395573	1	0.572	1	0.454	1	0.454	1	0.454
395597	1	0.175	1	0.189	1	0.189	1	0.189
395695	1	0.841	1	0.0	1	0.0	1	0.0
395837	1	0.0	1	0.0	1	0.0	1	0.0
395870	1	0.672	1	0.603	1	0.603	1	0.603
396037	0	33.738	0	33.738	0	33.738	0	33.738
396057	0	56.447	0	46.902	0	46.902	0	39.905
396091	1	1.253	1	0.21	1	0.21	1	0.21
396157	1	0.0	1	0.0	1	0.0	1	0.0
396222	1	1.879	1	0.019	1	0.019	1	0.019
396323	1	1.843	1	1.161	1	1.161	1	1.161
396355	1	0.179	1	0.196	1	0.196	1	0.196
396420	1	2.013	1	1.759	1	1.759	1	1.759
396551	1	0.0	1	2.854	1	2.854	1	2.854
396761	1	1.521	1	1.561	1	1.561	1	1.561
396805	1	0.0	1	0.172	1	0.172	1	0.172
396816	0	32.781	0	10.064	0	10.064	0	32.302
396829	1	0.0	1	0.0	1	0.0	1	0.0
396882	1	0.0	1	0.0	1	0.0	1	0.0
396927	1	0.057	1	0.315	1	0.315	1	0.315
396971	1	2.571	1	1.273	1	1.273	1	1.273
397005	1	1.331	1	1.322	1	1.322	1	1.322
397103	1	0.67	1	2.18	1	2.18	1	2.18
397190	1	0.0	1	0.0	1	0.0	1	0.0
397379	1	0.574	1	0.479	1	0.479	1	0.479
