evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0
48367	0.0	0.0	64	64	0	1	0.0	1	0.0	0
48895	0.0	0.0	16	16	1	1	0.0	1	0.0	1
49951	0.218	0.013	29	29	1	1	0.218	1	0.212	1
50303	1.108	0.0	26	25	0	0	0.099	0	1.108	0
50831	0.344	0.0	23	23	0	0	0.0	0	0.344	0
51051	0.758	0.559	11	11	1	1	0.758	1	0.237	1
51513	0.549	0.0	17	17	1	1	0.549	1	0.549	1
52657	0.0	0.0	12	12	1	1	0.0	1	0.0	1
52723	0.35	0.279	9	9	1	1	0.35	1	0.132	1
53361	0.0	0.0	14	14	0	0	0.0	0	0.0	0
53427	0.261	0.334	11	11	1	1	0.261	1	0.206	1
54175	3.564	0.389	38	37	1	1	3.564	1	3.33	1
54341	0.497	0.435	66	66	1	1	0.497	1	0.37	1
54351	0.753	0.466	15	16	1	1	0.753	1	0.298	1
55539	0.0	0.0	14	14	1	1	0.0	1	0.0	1
55595	2.06	1.876	21	18	0	1	1.142	1	0.467	1
55627	0.26	0.571	13	13	1	1	0.26	1	0.324	1
55715	0.507	0.614	30	30	1	1	0.507	1	0.421	1
56211	0.0	0.0	9	9	0	0	0.352	0	0.0	0
56243	0.297	0.191	60	61	1	1	0.297	1	0.265	1
56463	1.003	0.933	40	40	1	1	1.003	1	0.126	1
57441	0.0	0.0	20	20	1	1	0.0	1	0.0	1
57485	0.377	0.608	14	14	1	1	0.377	1	0.241	1
57575	0.0	0.0	17	16	1	1	0.0	1	0.0	1
57661	1.084	0.772	31	30	1	1	1.084	1	0.353	1
57883	1.041	1.465	9	9	1	1	0.734	1	0.734	1
57903	0.948	1.258	17	17	1	1	0.948	1	0.408	1
58321	0.104	0.859	8	8	1	1	0.104	1	0.814	1
58345	0.0	0.0	8	8	0	0	0.0	0	0.0	0
58607	0.794	0.766	31	30	0	0	0.645	0	0.041	0
58653	0.0	0.0	16	16	1	1	0.0	1	0.0	1
58717	1.522	1.355	11	11	0	1	1.522	1	0.289	1
59003	0.0	0.0	8	8	1	1	0.0	1	0.0	1
59025	0.649	0.563	15	15	1	1	0.649	1	0.228	1
59085	0.78	0.0	11	11	0	0	0.0	0	0.78	0
59093	1.039	0.84	31	31	1	1	1.039	1	0.212	1
59179	0.37	0.863	12	12	1	1	0.37	1	0.514	1
59247	4.116	2.207	7	8	1	1	4.116	1	2.026	1
59261	1.462	0.0	20	20	0	0	4.487	0	1.462	0
59335	0.0	0.0	27	27	1	0	0.81	0	0.0	1
59371	0.218	0.352	17	17	1	1	0.218	1	0.148	1
59553	0.128	0.172	22	22	0	0	0.922	0	0.123	0
59685	1.094	1.097	7	7	1	1	1.094	1	0.17	1
59929	0.0	0.0	28	28	1	1	0.0	1	0.0	1
60017	0.0	0.0	6	6	1	1	0.0	1	0.0	1
60669	0.208	0.419	13	13	1	1	0.208	1	0.3	1
60933	0.37	1.197	14	14	1	1	0.37	1	0.996	1
61351	0.0	0.0	14	14	1	1	0.0	1	0.0	1
61417	0.266	0.298	15	16	1	1	0.266	1	0.124	1
61461	1.123	1.204	32	32	1	1	1.123	1	0.564	1
61843	0.0	0.0	50	46	0	0	1.129	0	0.0	0
62149	0.645	0.5	11	11	1	1	0.645	1	0.168	1
62281	0.336	0.0	9	9	1	0	0.284	0	0.336	0
62459	0.648	0.449	13	12	1	1	0.648	1	0.532	1
62495	0.219	0.482	23	23	1	1	0.219	1	0.278	1
62613	0.0	0.0	10	10	1	1	0.0	1	0.0	1
62721	0.15	0.15	24	24	1	1	0.15	1	0.0	1
63163	0.511	0.634	23	23	1	1	0.511	1	0.151	1
63359	0.0	0.0	9	9	1	0	0.27	0	0.0	1
63427	0.662	0.232	13	13	1	1	0.662	1	0.432	1
63551	0.0	0.0	4	4	1	1	0.0	1	0.0	1
63559	0.0	0.0	34	34	1	1	0.0	1	0.0	1
63603	0.168	0.06	6	6	1	1	0.168	1	0.143	1
63669	0.0	0.0	26	26	1	1	0.0	1	0.0	1
64409	0.206	0.226	81	81	1	1	0.206	1	0.024	1
64503	4.539	4.539	8	8	0	0	0.0	0	0.0	0
64591	0.0	0.0	53	54	1	1	0.0	1	0.0	1
64717	0.973	0.841	35	35	1	1	0.973	1	0.144	1
64921	0.622	0.578	34	34	1	1	0.622	1	0.222	1
64959	0.0	0.0	6	6	0	0	0.0	0	0.0	0
65025	0.0	0.0	4	4	1	1	0.0	1	0.0	1
65053	0.41	0.0	19	19	0	0	0.0	0	0.41	0
65267	0.0	0.0	16	16	1	1	0.0	1	0.0	1
65289	0.036	0.145	41	41	1	0	1.135	0	0.123	1
65295	0.0	0.0	4	4	1	1	0.0	1	0.0	1
66118	0.229	0.209	7	7	1	1	0.229	1	0.04	1
66272	0.807	0.628	16	16	0	0	1.02	0	1.427	0
66646	0.332	0.388	7	7	1	1	0.332	1	0.246	1
66712	0.37	1.302	13	12	1	1	0.622	1	0.95	1
67394	0.895	0.723	49	50	1	1	0.395	1	0.421	1
67746	0.0	0.0	6	6	1	1	0.0	1	0.0	1
68648	0.335	0.335	6	6	1	1	0.335	1	0.0	1
68714	0.953	0.906	5	5	1	1	0.953	1	0.089	1
68978	0.693	0.333	7	7	1	1	0.693	1	0.822	1
71046	0.643	0.596	19	19	1	1	0.643	1	0.231	1
71178	0.0	0.0	35	34	0	0	0.148	0	0.0	0
71222	0.713	0.759	31	31	1	1	0.713	1	0.139	1
71266	0.0	0.0	4	4	1	1	0.0	1	0.0	1
71640	0.0	0.0	14	14	1	1	0.0	1	0.0	1
72256	0.312	0.4	7	7	1	1	0.312	1	0.091	1
73004	1.993	1.168	26	26	1	1	1.993	1	0.868	1
166738	0.95	0.77	79	79	1	1	0.95	1	0.431	1
166804	0.0	0.0	5	5	0	0	0.155	0	0.0	0
167112	0.366	0.207	25	24	1	1	0.366	1	0.533	1
167684	0.091	0.091	2	2	1	1	0.091	1	0.0	1
168432	1.1	0.504	25	23	0	1	1.1	1	1.002	1
168526	0.512	0.374	93	90	1	1	0.512	1	0.666	1
168614	1.534	1.534	6	6	1	1	1.534	1	0.0	1
168658	0.0	0.0	12	12	1	1	0.0	1	0.0	1
169356	0.275	0.0	43	43	1	1	0.275	1	0.275	1
169488	0.0	0.0	24	24	1	1	0.0	1	0.0	1
169598	0.556	0.334	9	9	1	1	0.556	1	0.227	1
169620	0.051	0.067	18	18	1	1	0.051	1	0.06	1
169626	0.0	0.0	68	66	0	1	0.0	1	0.0	0
169774	0.0	0.0	22	22	0	0	0.0	0	0.0	0
169824	0.108	0.0	13	13	1	1	0.108	1	0.108	1
169846	0.0	0.0	18	18	1	1	0.0	1	0.0	1
169890	0.0	0.0	6	6	1	1	0.0	1	0.0	1
170792	4.523	0.495	12	14	1	1	4.523	1	4.55	0
170808	0.687	0.492	34	34	1	1	0.687	1	0.239	1
170814	0.036	0.0	9	9	1	1	0.036	1	0.036	1
170880	0.91	0.546	21	21	1	1	0.91	1	0.525	1
170924	0.475	1.354	5	5	1	1	0.475	1	1.014	1
171358	0.341	0.13	23	22	1	1	0.341	1	0.281	1
171600	0.0	0.0	26	26	1	1	0.0	1	0.0	1
171892	0.0	0.0	4	4	1	1	0.0	1	0.0	1
172090	1.675	1.675	7	7	1	1	0.0	1	0.0	1
172266	0.62	0.049	45	45	1	1	0.62	1	0.595	1
172656	0.0	0.0	30	30	0	0	0.0	0	0.0	0
172788	0.0	0.0	11	11	0	0	0.17	0	0.0	0
172794	0.895	0.826	7	7	1	1	0.895	1	0.231	1
172942	0.892	0.0	35	35	0	0	0.851	0	0.892	0
173058	0.43	0.429	47	47	1	1	0.43	1	0.272	1
173146	0.489	0.504	27	27	1	1	0.489	1	0.037	1
173234	0.0	0.0	17	17	1	1	0.0	1	0.0	1
173498	0.322	0.402	11	11	1	1	0.322	1	0.142	1
174114	0.687	0.366	23	23	1	1	0.687	1	0.325	1
174224	1.115	0.794	26	26	1	1	1.115	1	1.478	1
174576	0.069	0.426	12	12	1	1	0.069	1	0.396	1
174752	0.0	0.0	15	15	0	0	0.238	0	0.0	0
174928	0.714	0.665	20	20	1	1	0.714	1	0.102	1
175016	0.0	0.0	14	14	1	1	0.0	1	0.0	1
175808	0.605	0.0	21	21	1	0	0.0	0	0.605	1
175896	2.825	0.0	31	32	1	0	0.562	0	2.825	1
276836	0.161	0.0	25	25	1	0	0.0	0	0.161	0
277276	1.702	1.032	10	10	1	1	1.469	1	0.671	1
