evt	target	d_target	pickA	pickB	pickC	hitA	hitB	hitC	shift_med	shift_max	clos_a	clos_b
388	23009	0.526	23009	23009	23009	1	1	1	0.0	2.693	1	1
10550	49072	0.0	7009	7007	7007	0	0	0	0.0	1.776	1	1
30504	11001	0.0	55053	11015	11015	0	0	0	0.0	1.138	1	1
38856	12004	0.095	12009	12009	12009	0	0	0	0.0	1.735	1	1
42280	8001	0.285	8001	8001	8001	1	1	1	0.0	2.704	1	1
46363	19001	0.0	19024	19001	19001	0	1	1	0.0	1.779	1	1
52672	82148	0.92	25047	9018	9017	0	0	0	0.0	1.941	1	1
54095	17007	0.446	17007	17007	17007	1	1	1	0.0	2.238	1	1
69314	3004	0.606	3004	3004	3004	1	1	1	0.0	1.558	1	1
74544	12001	0.482	12001	12001	12001	1	1	1	0.0	3.329	1	1
81597	19006	0.292	19006	19006	19006	1	1	1	0.0	1.963	1	1
90055	11002	0.313	11002	11002	11002	1	1	1	0.0	2.916	1	1
111412	18001	2.069	18014	18008	18008	0	0	0	0.0	0.7	1	1
131357	12006	0.626	12006	12006	12006	1	1	1	0.0238	2.982	1	1
137238	143041	0.892	143041	143041	143041	1	1	1	0.0	1.651	1	1
163543	14001	0.504	14022	14015	14010	0	0	0	0.0	2.129	1	0
168596	14012	0.719	14012	14012	14012	1	1	1	0.0	1.329	1	1
172230	5009	0.483	5009	5009	5009	1	1	1	0.0	1.621	1	1
174637	9006	1.065	9006	9006	9006	1	1	1	0.0	0.638	1	1
196649	11028	0.166	11028	11028	11028	1	1	1	0.0222	2.685	1	1
214469	16013	0.221	16013	16013	16013	1	1	1	0.0172	4.684	1	1
219295	15003	0.085	15003	15003	15003	1	1	1	0.0	1.961	1	1
234638	10006	0.735	10006	10006	10006	1	1	1	0.0	2.045	1	1
235435	2001	0.0	2018	2001	2001	0	1	1	0.0	0.728	1	1
239794	2003	0.7	2003	2003	2003	1	1	1	0.0	2.516	1	1
246579	19006	0.284	19006	19006	19006	1	1	1	0.0	2.001	1	1
256587	11082	0.482	11082	11082	11082	1	1	1	0.0	2.861	1	1
267597	5007	0.288	5007	5007	5007	1	1	1	0.0	0.981	1	1
268784	13002	0.398	13002	13002	13002	1	1	1	0.0	1.078	1	1
269774	87155	0.111	87155	87155	87155	1	1	1	0.0	1.547	1	1
271851	23001	2.754	23001	23006	23017	1	0	0	0.0	2.908	1	0
342199	20006	1.106	20006	20006	20006	1	1	1	0.0041	2.851	1	1
350186	6001	0.089	6001	6001	6001	1	1	1	0.0	3.164	1	1
360535	7022	0.364	7001	7022	7001	0	1	0	0.0	1.986	1	1
389538	11002	0.304	19014	11002	11002	0	1	1	0.0	2.129	1	1
422851	1005	0.436	1005	1005	1005	1	1	1	0.0	2.871	1	1
433451	4007	0.367	4007	4053	4053	1	0	0	0.0	3.04	1	1
437699	11005	1.939	11005	11005	11005	1	1	1	0.0	0.935	1	1
444187	19002	0.377	19002	19002	19002	1	1	1	0.1542	1.523	1	1
447477	11001	0.334	11001	11001	11001	1	1	1	0.0	1.149	1	1
469665	15003	0.758	15003	15003	15003	1	1	1	0.0308	1.649	1	1
489330	4004	0.527	4004	4004	4004	1	1	1	0.0	1.5	1	1
