evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0	R3_snapD2	R3_vox
18625	2.35	2.788	62	65	1	1	2.35	1	0.465	1	1	1
21073	0.159	0.159	109	109	1	1	0.159	1	0.007	1	1	1
37112	2.775	0.207	93	94	1	1	2.298	1	2.596	1	1	0
56982	0.112	0.024	119	115	0	0	0.082	0	0.131	0	0	0
71372	0.514	0.379	198	199	1	1	0.514	1	0.171	1	1	1
84229	0.239	0.42	104	103	0	1	0.239	1	0.398	1	1	1
105946	0.0	0.0	83	87	1	1	0.0	1	0.0	1	1	1
114446	0.0	0.0	14	14	1	1	0.0	1	0.0	1	1	1
142421	1.107	0.0	125	125	1	1	1.107	1	1.107	1	1	1
180801	0.0	0.0	84	85	0	0	1.87	0	0.0	0	0	0
259542	2.307	0.0	135	130	0	0	0.219	0	2.307	0	0	0
285567	1.524	0.277	98	103	1	1	1.524	1	1.773	1	1	1
314838	0.556	0.459	81	83	1	1	0.69	1	0.177	1	1	1
359980	0.0	0.0	97	94	0	0	0.0	0	0.0	0	0	0
399860	2.59	1.667	71	78	1	1	2.59	1	3.672	1	1	1
463565	0.303	0.0	119	125	1	0	2.589	0	0.303	1	1	1
506114	0.0	0.0	138	138	1	1	0.0	1	0.0	1	1	1
506746	1.595	1.873	115	116	1	1	1.595	1	0.502	1	1	1
521075	0.0	0.0	42	43	1	1	0.0	1	0.0	1	1	1
