arm	evt	hit_base	hit_arm	moved	d_base	d_arm	adverse	rescued	nue_b	nue_a	numu_b	numu_a	agree	transferred	dual_d	has_vertex	off_ms	route
work-pr112i-uniW0-mcp2k	51219	1	1	0	0.5482569057860545	0.5482569057860545	0	0	-15.0	-15.0	3.243699550628662	3.243699550628662	False	False	-1.0	False	2413.763038	dl-rerank-accept
work-pr112i-uniW0-mcp2k	51890	1	1	0	0.14758044292714292	0.14758044292714292	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	2726.260881	dl-rerank-accept
work-pr112i-uniW0-mcp2k	51964	1	1	0	0.3859923971648199	0.3859923971648199	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	1597.581498	dl-rerank-accept
work-pr112i-uniW0-mcp2k	52759	1	1	0	0.684573304874023	0.684573304874023	0	0	-15.0	-15.0	-1.521018147468567	-1.521018147468567	False	False	-1.0	False	1774.001413	dl-rerank-reject
work-pr112i-uniW0-mcp2k	53130	1	1	0	0.8312768050200906	0.8312768050200906	0	0	-4.300936222076416	-4.300936222076416	0.6109303832054138	0.6109303832054138	False	False	-1.0	False	1101.671735	dl-rerank-accept
work-pr112i-uniW0-mcp2k	53793	1	1	0	0.5979378937479273	0.5979378937479273	0	0	-15.0	-15.0	3.854006052017212	3.854006052017212	False	False	-1.0	False	2611.351371	dl-rerank-accept
work-pr112i-uniW0-mcp2k	54508	1	1	0	0.5210518663882425	0.5210518663882425	0	0	-15.0	-15.0	-1.7388395071029663	-1.7388395071029663	False	False	-1.0	False	1730.818876	dl-rerank-reject
work-pr112i-uniW0-mcp2k	55278	1	1	0	0.1864478203602205	0.1864478203602205	0	0	-15.0	-15.0	0.106446273624897	0.106446273624897	False	False	-1.0	False	1403.933231	dl-rerank-accept
work-pr112i-uniW0-mcp2k	55322	1	1	0	0.18723114430330742	0.18723114430330742	0	0	-15.0	-15.0	0.9413385987281799	0.9413385987281799	False	False	-1.0	False	2229.265363	dl-rerank-accept
work-pr112i-uniW0-mcp2k	55542	1	1	0	0.6903063471081766	0.6903063471081766	0	0	-15.0	-15.0	2.343963384628296	2.343963384628296	False	False	-1.0	False	3095.793927	dl-rerank-accept
work-pr112i-uniW0-mcp2k	56939	1	1	0	0.6920511592022068	0.6920511592022068	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	1413.873769	dl-rerank-accept
work-pr112i-uniW0-mcp2k	57577	1	1	0	0.10499631051740614	0.10499631051740614	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	1668.020604	dl-rerank-accept
work-pr112i-uniW0-mcp2k	57742	1	1	0	0.42160281953613	0.42160281953613	0	0	-15.0	-15.0	2.4162609577178955	2.4162609577178955	False	False	-1.0	False	1453.026227	dl-rerank-accept
work-pr112i-uniW0-mcp2k	58072	1	1	0	0.3514332664263019	0.3514332664263019	0	0	-15.0	-15.0	1.2206681966781616	1.2206681966781616	False	False	-1.0	False	1524.347152	dl-rerank-reject
work-pr112i-uniW0-mcp2k	58325	1	1	0	0.8349547621094363	0.8349547621094363	0	0	-15.0	-15.0	3.183220148086548	3.183220148086548	False	False	-1.0	False	1351.246836	dl-rerank-reject
work-pr112i-uniW0-mcp2k	58919	1	1	0	0.1643648778738128	0.1643648778738128	0	0	-15.0	-15.0	4.05229377746582	4.05229377746582	False	False	-1.0	False	1348.021985	dl-rerank-reject
work-pr112i-uniW0-mcp2k	65948	1	1	0	4.82030595899397	4.82030595899397	0	0	-15.0	-15.0	0.6717114448547363	0.6717114448547363	False	False	-1.0	False	1575.620525	dl-rerank-accept
work-pr112i-uniW0-mcp2k	66278	1	1	0	0.6718837341672418	0.6718837341672418	0	0	-15.0	-15.0	-0.8395556211471558	-0.8395556211471558	False	False	-1.0	False	1197.544732	dl-rerank-accept
work-pr112i-uniW0-mcp2k	66366	1	1	0	1.1303279987797188	1.1303279987797188	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	2057.900318	dl-rerank-accept
work-pr112i-uniW0-mcp2k	66652	1	1	0	0.10473289844123924	0.10473289844123924	0	0	-15.0	-15.0	3.219916343688965	3.219916343688965	False	False	-1.0	False	1827.657896	dl-rerank-accept
work-pr112i-uniW0-mcp2k	66900	1	1	0	0.16128875609783644	0.16128875609783644	0	0	-15.0	-15.0	2.34553861618042	2.34553861618042	False	False	-1.0	False	2062.470066	dl-rerank-accept
work-pr112i-uniW0-mcp2k	67026	1	1	0	0.28888006745037187	0.28888006745037187	0	0	-15.0	-15.0	3.2427990436553955	3.2427990436553955	False	False	-1.0	False	1871.60672	dl-rerank-accept
work-pr112i-uniW0-mcp2k	67868	1	1	0	0.6473894015827367	0.6473894015827367	0	0	-15.0	-15.0	2.2994353771209717	2.2994353771209717	False	False	-1.0	False	1731.805157	dl-rerank-accept
work-pr112i-uniW0-mcp2k	67898	1	1	0	0.2930392375133697	0.2930392375133697	0	0	-15.0	-15.0	3.290912628173828	3.290912628173828	False	False	-1.0	False	1853.80527	dl-rerank-accept
work-pr112i-uniW0-mcp2k	67928	1	1	0	0.22110743217293427	0.22110743217293427	0	0	-15.0	-15.0	2.8738858699798584	2.8738858699798584	False	False	-1.0	False	1610.322782	dl-rerank-accept
work-pr112i-uniW0-mcp2k	68280	1	1	0	1.045948871994565	1.045948871994565	0	0	-15.0	-15.0	2.54032301902771	2.54032301902771	False	False	-1.0	False	1541.128115	dl-rerank-accept
work-pr112i-uniW0-mcp2k	68308	1	1	0	0.28778771145384086	0.28778771145384086	0	0	-15.0	-15.0	3.6786608695983887	3.6786608695983887	False	False	-1.0	False	1829.117976	dl-rerank-accept
work-pr112i-uniW0-mcp2k	69006	1	1	0	1.1103624840267685	1.1103624840267685	0	0	-15.0	-15.0	3.6009013652801514	3.6009013652801514	False	False	-1.0	False	2508.649836	dl-rerank-accept
work-pr112i-uniW0-mcp2k	69144	1	1	0	0.04485111989427496	0.04485111989427496	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	2086.650785	dl-rerank-accept
work-pr112i-uniW0-mcp2k	69152	1	1	0	0.6597020695870408	0.6597020695870408	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	1436.093712	dl-rerank-accept
work-pr112i-uniW0-mcp2k	69254	0	0	0	2.6682865687801005	2.6682865687801005	0	0	-15.0	-15.0	0.7213718891143799	0.7213718891143799	False	False	-1.0	False	1392.527605	dl-rerank-reject
work-pr112i-uniW0-mcp2k	69306	1	1	0	2.512402909682892	2.512402909682892	0	0	-15.0	-15.0	1.5946301221847534	1.5946301221847534	False	False	-1.0	False	1256.466055	dl-rerank-reject
work-pr112i-uniW0-mcp2k	69666	0	0	0	2.997133480794581	2.997133480794581	0	0	-15.0	-15.0	2.838618516921997	2.838618516921997	False	False	-1.0	False	2930.162462	dl-rerank-accept
work-pr112i-uniW0-mcp2k	69936	1	1	0	0.155937177469806	0.155937177469806	0	0	-15.0	-15.0	1.0433214902877808	1.0433214902877808	False	False	-1.0	False	1193.793905	dl-rerank-reject
work-pr112i-uniW0-mcp2k	70178	1	1	0	0.3542163221672483	0.3542163221672483	0	0	-15.0	-15.0	2.5695033073425293	2.5695033073425293	False	False	-1.0	False	1298.403496	dl-rerank-accept
work-pr112i-uniW0-mcp2k	70186	1	1	0	0.05740645411206864	0.05740645411206864	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	1686.741416	dl-rerank-accept
work-pr112i-uniW0-mcp2k	70692	1	1	0	0.2618411400327969	0.2618411400327969	0	0	-15.0	-15.0	3.6109957695007324	3.6109957695007324	False	False	-1.0	False	1628.552753	dl-rerank-accept
work-pr112i-uniW0-mcp2k	70912	1	1	0	0.29064249573875167	0.29064249573875167	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	2837.454087	dl-rerank-accept
work-pr112i-uniW0-mcp2k	71748	1	1	0	1.1805860557801549	1.1805860557801549	0	0	-15.0	-15.0	1.4531387090682983	1.4531387090682983	False	False	-1.0	False	1400.986059	dl-rerank-accept
work-pr112i-uniW0-mcp2k	72055	1	1	0	0.8164774069782696	0.8164774069782696	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	2362.118727	dl-rerank-accept
work-pr112i-uniW0-mcp2k	72170	1	1	0	0.2446939894641729	0.2446939894641729	0	0	-15.0	-15.0	3.3930492401123047	3.3930492401123047	False	False	-1.0	False	1611.280134	dl-rerank-accept
work-pr112i-uniW0-mcp2k	72174	1	1	0	0.21532320484689063	0.21532320484689063	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	1592.753543	dl-rerank-accept
work-pr112i-uniW0-mcp2k	72742	1	1	0	0.29798812450924916	0.29798812450924916	0	0	-15.0	-15.0	3.1416878700256348	3.1416878700256348	False	False	-1.0	False	1082.703279	dl-rerank-reject
work-pr112i-uniW0-mcp2k	72759	0	0	0	1.8276110872635103	1.8276110872635103	0	0	-15.0	-15.0	-0.20851871371269226	-0.20851871371269226	False	False	-1.0	False	1703.088424	dl-rerank-accept
work-pr112i-uniW0-mcp2k	72840	1	1	0	0.11556052774489387	0.11556052774489387	0	0	-15.0	-15.0	3.7466506958007812	3.7466506958007812	False	False	-1.0	False	1262.637198	dl-rerank-accept
work-pr112i-uniW0-mcp2k	72940	1	1	0	0.14339472414167923	0.14339472414167923	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	False	False	-1.0	False	1902.479701	dl-rerank-accept
work-pr112i-uniW0-mcp2k	73336	1	1	0	0.9931547150737772	0.9931547150737772	0	0	-4.300936222076416	-4.300936222076416	-0.21772509813308716	-0.21772509813308716	False	False	-1.0	False	1543.946303	dl-rerank-accept
work-pr112i-uniW0-mcp2k	73412	1	1	0	0.46389933990949506	0.46389933990949506	0	0	-15.0	-15.0	3.803313732147217	3.803313732147217	False	False	-1.0	False	1512.318751	dl-veto-protected
work-pr112i-uniW0-mcp2k	73698	1	1	0	0.23574005899607878	0.23574005899607878	0	0	-15.0	-15.0	2.726548194885254	2.726548194885254	False	False	-1.0	False	1349.049771	dl-rerank-accept
work-pr112i-uniW0-mcp2k	73727	0	0	0	10.457414579066452	10.457414579066452	0	0	-15.0	-15.0	3.1646692752838135	3.1646692752838135	False	False	-1.0	False	1485.338294	dl-rerank-reject
work-pr112i-uniW0-mcp2k	74326	1	1	0	1.0587219113096928	1.0587219113096928	0	0	-15.0	-15.0	2.215135097503662	2.215135097503662	False	False	-1.0	False	3355.975448	dl-rerank-accept
work-pr112i-uniW0-mcp2k	74336	1	1	0	0.12316344476537429	0.12316344476537429	0	0	-15.0	-15.0	-0.14778661727905273	-0.14778661727905273	False	False	-1.0	False	1474.739538	dl-rerank-accept
work-pr112i-uniW0-mcp2k	74380	1	1	0	0.11011154350827307	0.11011154350827307	0	0	-15.0	-15.0	2.3059396743774414	2.3059396743774414	False	False	-1.0	False	1597.134777	dl-rerank-reject
