evt	nofitx_id	nofitx_d	off_id	off_d	uniW0_id	uniW0_d	snapD2_id	snapD2_d	snapD3_id	snapD3_d
48367	1	0.0	0	56.88	0	56.88	1	0.0	1	0.0
48895	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
49951	1	0.013	1	0.0	1	0.0	1	0.0	1	0.0
50303	0	22.469	0	22.551	0	22.551	0	22.551	0	22.551
50831	0	6.843	0	7.124	0	7.124	0	7.124	0	7.124
51051	1	0.559	1	0.65	1	0.65	1	0.65	1	0.65
51513	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
52657	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
52723	1	0.279	1	0.565	1	0.565	1	0.565	1	0.565
53361	0	3.251	0	3.251	0	3.251	0	3.251	0	3.251
53427	1	0.334	1	0.088	1	0.088	1	0.088	1	0.088
54175	1	0.389	1	3.524	1	3.524	1	3.524	1	3.524
54341	1	0.435	1	0.695	1	0.695	1	0.695	1	0.695
54351	1	0.466	1	0.735	1	0.735	1	0.735	1	0.735
55539	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
55595	1	0.687	0	6.954	1	0.38	1	0.38	1	0.38
55627	1	0.571	1	0.435	1	0.435	1	0.435	1	0.435
55715	1	0.614	1	0.53	1	0.53	1	0.53	1	0.53
56211	0	6.222	0	6.194	0	6.194	0	6.194	0	6.194
56243	1	0.191	1	0.279	1	0.279	1	0.279	1	0.279
56463	1	0.933	1	0.0	1	0.0	1	0.0	1	0.0
57441	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
57485	1	0.608	1	0.183	1	0.183	1	0.183	1	0.183
57575	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
57661	1	11.421	1	11.69	1	11.69	1	11.69	1	11.69
57883	1	0.0	1	1.463	1	1.463	1	1.463	1	1.463
57903	1	1.258	1	1.202	1	1.202	1	1.202	1	1.202
58321	1	0.859	1	0.084	1	0.084	1	0.084	1	0.084
58345	0	46.426	0	46.426	0	46.426	0	46.426	0	46.426
58607	0	4.072	0	3.857	0	3.857	0	3.857	0	3.857
58653	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
58717	1	1.355	0	17.425	1	0.9	1	0.9	1	0.9
59003	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
59025	1	0.563	1	0.508	1	0.508	1	0.508	1	0.508
59085	1	4.176	1	4.94	1	4.94	1	4.94	1	4.94
59093	1	0.84	1	0.221	1	0.221	1	0.221	1	0.221
59179	1	0.863	1	0.359	1	0.359	1	0.359	1	0.359
59247	1	2.662	1	0.0	1	0.0	1	0.0	1	0.0
