evt	target	n_on	n_off	id_overlap	hit_prod	hit_dual	transfer_cm	pick_prod	pick_dual
388	23009	139	146	31	1	1	0.526	23009	23009
10550	49072	95	99	56	0	0	0.339	7009	7009
30504	11001	83	84	71	0	0	2.175	11009	11011
38856	12004	79	81	75	0	0	2.05	12009	12007
42280	8001	119	118	20	1	1	0.285	8001	8001
46363	19001	124	139	28	0	1	0.0	19024	19001
52672	82148	126	131	9	0	0	0.0	76130	82150
54095	17007	144	151	38	1	1	0.446	17007	17007
69314	3004	75	76	70	1	1	0.606	3004	3004
74544	12001	74	79	27	1	1	0.482	12001	12001
81597	19006	91	92	56	1	1	0.292	19006	19006
90055	11002	155	156	92	1	1	0.313	11002	11002
111412	18001	64	64	38	0	1	2.069	18014	18001
131357	12006	65	65	32	1	1	0.626	12006	12006
137238	143041	50	50	46	1	1	0.975	143041	143041
163543	14001	124	122	23	0	0	0.219	14022	14007
168596	14012	135	140	28	1	1	0.719	14012	14012
172230	5009	107	102	21	1	1	0.483	5009	5009
174637	9006	80	82	48	1	1	1.065	9006	9006
196649	11028	84	81	29	1	1	0.166	11028	11028
214469	16013	125	135	30	1	1	0.221	16013	16013
219295	15003	101	106	24	1	1	0.085	15003	15003
234638	10006	134	136	88	1	1	0.735	10006	10006
235435	2001	32	29	9	0	1	0.0	2018	2001
239794	2003	151	157	34	1	1	0.7	2003	2003
246579	19006	128	137	40	1	1	0.284	19006	19006
256587	11082	241	241	50	1	1	0.482	11082	11082
267597	5007	149	147	81	1	1	0.288	5007	5007
268784	13002	115	122	20	1	1	0.398	13002	13002
269774	87155	210	204	107	1	1	0.111	87155	87155
271851	23001	108	109	12	1	0	3.694	23001	23017
342199	20006	89	90	53	1	1	1.106	20006	20006
350186	6001	61	63	7	1	1	0.089	6001	6001
360535	7022	100	112	25	0	0	0.926	7001	7001
389538	11002	87	90	11	0	1	0.304	19014	11002
422851	1005	126	129	21	1	1	0.436	1005	1005
433451	4007	224	228	21	1	1	0.367	4007	4007
437699	11005	107	107	56	1	1	1.939	11005	11005
444187	19002	21	21	15	1	1	0.377	19002	19002
447477	11001	90	90	87	1	1	0.334	11001	11001
469665	15003	66	64	9	0	1	0.758	15001	15003
489330	4004	81	78	45	1	1	0.527	4004	4004
