evt	sample	src	target	d_target	route	accept	pick_dl	pick_trad	trad_src	d_trad_snap	spread	frac_gt2	closure
388	nuecc48	human	23009	0.5259907428337304	dl-rerank-accept	1	23009	23009	live-trad-arm	0.18413753754000703	0.34257416456517276	0.0	1
10550	nuecc48	human	49072	0.0	dl-rerank-accept	1	7009	7019	live-trad-arm	2.7447104573738232	0.40450031379284535	0.0	1
30504	nuecc48	human	11001	0.0	dl-rerank-reject	0	55053	11009	live-trad-arm	1.4958176924603641	49.09352279788079	1.0	1
38856	nuecc48	human	12004	0.0952859958852687	dl-rerank-accept	1	12009	12009	live-trad-arm	0.8701419143849809	13.942107378871125	0.75	1
42280	nuecc48	human	8001	0.2850401176283015	dl-rerank-accept	1	8001	8023	live-trad-arm	1.5837388895452102	0.32076295879876027	0.0	1
46363	nuecc48	human	19001	0.0	dl-rerank-accept	1	19024	19019	live-trad-arm	1.8411199320534535	18.89482258759356	0.625	1
52672	nuecc48	human	82148	0.9197346890504757	dl-rerank-reject	0	25047	76130	live-trad-arm	13.60496123209905	49.989386504991685	0.75	1
54095	nuecc48	human	17007	0.4461954023139109	dl-rerank-accept	1	17007	17007	live-trad-arm	0.5957862868100575	0.21971863389598653	0.0	1
69314	nuecc48	human	3004	0.6057048472869518	dl-rerank-accept	1	3004	3004	live-trad-arm	0.8288106598322532	1.1538905411963256	0.25	1
74544	nuecc48	human	12001	0.48156042662069914	dl-rerank-accept	1	12001	12001	live-trad-arm	0.7898153321592376	0.3699751765022615	0.0	1
81597	nuecc48	human	19006	0.2917259461569123	dl-rerank-accept	1	19006	19009	live-trad-arm	3.190946723142062	0.15610754017071496	0.0	1
90055	nuecc48	human	11002	0.3128813564820772	dl-rerank-accept	1	11002	11002	live-trad-arm	0.8391220407330786	0.24692699814002594	0.0	1
111412	nuecc48	human	18001	2.0694252787005523	dl-rerank-accept	1	18014	18001	live-trad-arm	1.574657793320802	19.717891817056707	0.5	1
131357	nuecc48	human	12006	0.6260698402714794	dl-rerank-accept	1	12006	12006	live-trad-arm	0.4292826863592099	0.3978753703131707	0.0	1
137238	nuecc48	human	143041	0.8921446076473847	dl-rerank-accept	1	143041	7004	live-trad-arm	0.5995807058619299	2.1575374234316937	0.875	1
163543	nuecc48	human	14001	0.5039066094759465	dl-rerank-accept	1	14022	14022	live-trad-arm	0.4882785860007282	29.59131649163694	0.75	1
168596	nuecc48	human	14012	0.7188310560558483	dl-rerank-accept	1	14012	14022	live-trad-arm	3.0975457608523976e-06	0.6059396784679933	0.0	1
172230	nuecc48	human	5009	0.4832497464087018	dl-rerank-accept	1	5009	5009	live-trad-arm	0.48414819503330064	0.2474895204423535	0.0	1
174637	nuecc48	human	9006	1.0654713632864536	dl-rerank-accept	1	9006	9006	live-trad-arm	1.120813532198831	0.21255785136671881	0.0	1
196649	nuecc48	human	11028	0.1664685421263526	dl-rerank-accept	1	11028	11028	live-trad-arm	0.9560319128256333	1.29094586283306	0.125	1
214469	nuecc48	human	16013	0.22090880130961751	dl-rerank-accept	1	16013	16013	live-trad-arm	0.25755148397477906	0.21902055267725196	0.0	1
219295	nuecc48	human	15003	0.08516539447809097	dl-rerank-accept	1	15003	15003	live-trad-arm	2.5514226515491695e-06	0.28756656718299456	0.0	1
234638	nuecc48	human	10006	0.7346095291560761	dl-rerank-accept	1	10006	10006	live-trad-arm	0.5140340539665841	0.4623904670159953	0.0	1
235435	nuecc48	human	2001	0.0	dl-rerank-accept	1	2018	2012	live-trad-arm	0.6525375594217068	9.074464160944794	1.0	1
239794	nuecc48	human	2003	0.6996228872674426	dl-rerank-accept	1	2003	2003	live-trad-arm	0.5382984721610236	0.318676835333176	0.0	1
246579	nuecc48	human	19006	0.28384453163289874	dl-rerank-accept	1	19006	19058	live-trad-arm	0.3354165873231219	0.3354850104274906	0.0	1
256587	nuecc48	human	11082	0.4816076092212466	dl-rerank-accept	1	11082	11082	live-trad-arm	0.37595724246201406	0.3046245896726892	0.0	1
267597	nuecc48	human	5007	0.28844274038582246	dl-rerank-accept	1	5007	5007	live-trad-arm	0.27083151828350993	1.1559078666946498	0.125	1
268784	nuecc48	human	13002	0.3982822773159521	dl-rerank-accept	1	13002	13002	live-trad-arm	4.636845183291251e-06	0.5781195631775391	0.0	1
269774	nuecc48	human	87155	0.11138235738063948	dl-rerank-accept	1	87155	13000	live-trad-arm	0.9407336277761791	0.5539677907364753	0.0	1
271851	nuecc48	human	23001	2.753907484523981	dl-rerank-accept	1	23001	23013	live-trad-arm	0.9075122671940414	29.55801430743004	0.125	1
342199	nuecc48	human	20006	1.1059474424004292	dl-rerank-accept	1	20006	20006	live-trad-arm	1.3220739840492552	0.06539072653743719	0.0	1
350186	nuecc48	human	6001	0.08866055579715408	dl-rerank-accept	1	6001	6012	live-trad-arm	1.8001391068096269	2.3431476252811994	0.125	1
