evt	nofitx_id	nofitx_d	off_id	off_d	uniW0_id	uniW0_d	snapD2_id	snapD2_d	snapD3_id	snapD3_d
388	1	0.217	1	0.184	1	0.184	1	0.184	1	0.184
10550	0	47.226	0	47.365	0	47.365	0	47.365	0	47.365
30504	0	75.474	0	74.754	0	74.754	0	74.754	0	74.754
38856	0	30.106	0	22.841	0	27.429	0	22.841	0	31.152
42280	1	0.128	1	0.558	1	0.558	1	0.558	1	0.558
46363	1	0.0	0	45.057	1	0.0	1	0.0	1	0.0
52672	0	3.567	0	30.603	0	30.603	0	3.852	0	3.852
54095	1	0.0	1	0.596	1	0.596	1	0.596	1	0.596
69314	1	0.113	1	0.829	1	0.829	1	0.829	1	0.829
74544	1	0.472	1	0.79	1	0.79	1	0.79	1	0.79
81597	1	0.305	1	0.231	1	0.231	1	0.231	1	0.231
90055	1	0.121	1	0.839	1	0.839	1	0.839	1	0.839
111412	1	1.035	0	40.434	0	40.434	0	40.434	1	1.575
131357	1	0.695	1	0.429	1	0.429	1	0.429	1	0.429
137238	1	0.633	1	0.535	1	0.535	1	0.535	1	0.535
163543	0	32.994	0	37.784	0	37.784	0	33.17	0	33.17
168596	1	0.694	1	0.671	1	0.671	1	0.671	1	0.671
172230	1	0.371	1	0.484	1	0.484	1	0.484	1	0.484
174637	1	0.839	1	1.121	1	1.121	1	1.121	1	1.121
196649	1	0.166	1	0.166	1	0.166	1	0.166	1	0.166
214469	1	0.255	1	0.258	1	0.258	1	0.258	1	0.258
219295	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
234638	1	1.012	1	0.514	1	0.514	1	0.514	1	0.514
235435	1	0.0	0	30.922	1	0.185	1	0.185	1	0.185
239794	1	0.861	1	0.538	1	0.538	1	0.538	1	0.538
246579	1	0.116	1	0.468	1	0.468	1	0.468	1	0.468
256587	1	0.577	1	0.376	1	0.376	1	0.376	1	0.376
267597	1	0.346	1	0.271	1	0.271	1	0.271	1	0.271
268784	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0
269774	1	0.0	1	0.251	1	0.251	1	0.251	1	0.251
271851	0	31.929	1	0.188	1	0.188	1	0.188	1	0.188
342199	1	0.573	1	1.322	1	1.322	1	1.322	1	1.322
350186	1	0.085	1	0.224	1	0.224	1	0.224	1	0.224
360535	0	1.46	0	1.113	0	1.113	0	1.113	0	1.113
389538	1	0.182	0	213.467	0	213.467	1	0.331	1	0.331
422851	1	0.313	1	0.562	1	0.562	1	0.562	1	0.562
433451	1	0.109	1	0.359	1	0.359	1	0.359	1	0.359
437699	1	0.635	1	0.772	1	0.772	1	0.772	1	0.772
444187	1	0.415	1	0.31	1	0.31	1	0.31	1	0.31
447477	1	0.084	1	0.074	1	0.074	1	0.074	1	0.074
469665	1	1.305	0	2.246	0	2.246	0	2.246	0	2.246
489330	1	0.388	1	0.306	1	0.306	1	0.306	1	0.306
