evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0
396323	1.322	1.843	18	18	1	1	1.322	1	1.123	1
396355	0.2	0.179	17	17	1	1	0.2	1	0.093	1
396420	2.172	2.013	25	25	1	1	2.172	1	0.179	1
396551	1.1	0.0	13	13	1	1	1.1	1	1.1	1
396761	1.521	1.521	8	8	1	1	1.521	1	0.0	1
396805	0.134	0.0	4	4	1	1	0.134	1	0.134	1
396816	0.0	0.0	39	41	0	0	0.0	0	0.0	0
396829	0.0	0.0	41	40	1	1	0.0	1	0.0	1
396882	0.0	0.0	8	8	1	1	0.0	1	0.0	1
396927	0.283	0.057	26	26	1	1	0.283	1	0.228	1
396971	2.583	2.571	34	34	1	1	2.583	1	0.179	1
397005	1.161	1.331	16	17	1	1	1.161	1	0.216	1
397103	1.723	0.67	19	19	1	1	1.723	1	1.139	1
397190	0.0	0.0	15	15	1	1	0.0	1	0.0	1
397379	0.42	0.574	9	9	1	1	0.42	1	0.155	1
397401	0.75	1.271	17	17	1	1	0.75	1	0.684	1
397476	0.567	0.0	23	23	0	0	0.0	0	0.567	0
397487	0.0	0.0	8	8	0	0	0.0	0	0.0	0
397542	0.24	0.357	8	9	1	0	2.29	1	0.122	1
397599	0.457	0.448	14	13	1	1	0.457	1	0.804	1
397630	1.21	1.157	41	39	1	1	1.21	1	0.245	1
397927	0.551	0.34	7	7	1	1	0.551	1	0.42	1
398181	1.074	0.597	27	27	1	1	1.074	1	1.063	1
398268	1.584	1.821	26	26	1	1	1.584	1	3.394	1
398313	0.334	0.334	20	20	1	1	0.334	1	0.0	1
399061	0.0	0.0	16	16	1	1	0.0	1	0.0	1
399303	0.285	0.0	15	14	1	1	0.285	1	0.285	1
400029	0.16	0.0	27	27	1	1	0.16	1	0.16	1
400117	0.296	0.359	9	9	1	1	0.296	1	0.335	1
400185	0.0	0.0	48	48	1	1	0.0	1	0.0	1
400251	2.141	0.278	27	27	0	1	2.141	1	2.318	1
400779	0.0	0.0	12	12	0	1	0.0	1	0.0	0
401197	0.0	0.0	4	4	1	1	0.0	1	0.0	1
401241	0.0	0.0	10	10	0	0	0.0	0	0.0	0
402077	0.131	0.096	17	18	1	1	0.131	1	0.198	1
402209	0.189	0.164	22	22	1	1	0.189	1	0.132	1
403023	0.042	0.0	41	42	1	1	0.093	1	0.042	1
403397	0.742	0.759	21	21	1	1	0.742	1	0.136	1
404189	1.104	0.773	5	5	1	1	1.104	1	0.349	1
405201	0.463	0.474	32	32	1	1	0.463	1	0.151	1
405707	1.163	3.098	23	21	1	1	1.53	1	3.463	1
405927	0.0	0.0	15	15	0	0	0.135	0	0.0	0
406125	0.738	1.161	88	88	1	1	0.738	1	0.486	1
406147	3.159	1.176	41	41	1	1	3.159	1	2.258	1
406367	2.051	1.961	15	15	1	1	2.051	1	0.101	1
406631	0.0	0.0	26	25	1	0	0.616	0	0.0	1
407534	1.599	0.237	22	22	1	1	1.599	1	1.376	1
407886	0.0	0.0	16	16	0	0	0.299	0	0.0	0
408326	0.862	0.893	8	8	1	1	0.862	1	0.036	1
408678	1.74	1.809	61	60	0	1	1.74	1	0.103	0
409052	0.0	0.0	4	4	1	1	0.0	1	0.0	1
409140	1.898	1.707	22	21	0	1	1.898	1	0.348	0
409514	0.067	0.067	14	15	1	0	2.408	1	0.0	1
409624	3.572	3.505	19	19	1	1	3.572	1	0.069	1
409888	0.829	0.0	37	37	0	0	0.525	0	0.829	0
409906	0.479	0.271	40	40	0	0	0.439	0	0.218	0
410566	0.127	0.044	18	18	1	1	0.127	1	0.095	1
410680	0.776	0.535	22	23	1	1	0.776	1	0.304	1
410698	0.579	0.602	7	7	1	1	0.579	1	0.099	1
412396	0.485	0.716	14	13	1	1	0.485	1	0.555	1
412612	0.0	0.0	6	6	0	0	0.0	0	0.0	0
412638	2.86	2.86	17	17	1	1	0.0	1	0.0	1
414024	0.0	0.0	20	20	1	1	0.0	1	0.0	1
414200	0.743	0.531	5	5	1	1	0.743	1	0.237	1
414240	0.162	0.0	10	10	1	0	0.907	0	0.162	1
414288	0.012	0.0	3	3	0	0	0.681	0	0.012	0
414306	0.0	0.0	5	5	1	1	0.0	1	0.0	1
415186	1.577	1.47	21	21	0	1	1.577	1	0.252	0
415564	17.454	17.454	12	12	0	0	0.0	0	0.0	0
417100	0.0	0.0	4	4	1	1	0.0	1	0.0	1
417496	0.0	0.0	14	14	1	1	0.0	1	0.0	1
417782	0.0	0.0	18	19	0	0	4.491	0	0.0	0
473952	0.0	0.0	29	29	1	1	0.0	1	0.0	1
474370	0.0	0.0	30	30	1	1	0.0	1	0.0	1
474612	0.0	0.0	5	5	1	1	0.0	1	0.0	1
474678	0.345	0.517	25	25	1	1	0.345	1	0.328	1
477142	0.135	0.0	16	16	0	0	0.638	0	0.135	0
478088	0.988	1.056	9	9	1	1	0.988	1	0.181	1
478220	0.0	0.0	34	34	1	1	0.0	1	0.0	1
478374	3.989	4.27	9	9	1	1	3.989	1	0.639	1
478594	0.884	0.836	7	7	1	1	0.884	1	0.068	1
478638	0.32	0.685	14	13	1	1	0.32	1	0.487	1
478880	0.082	0.0	32	32	1	1	0.157	1	0.082	1
479650	0.303	0.206	69	70	0	0	3.807	1	0.114	0
480728	0.398	0.477	27	27	1	1	0.398	1	0.108	1
480772	0.809	0.765	23	23	1	1	0.809	1	0.202	1
480970	3.456	4.223	10	10	1	1	3.456	1	0.787	1
481014	0.0	0.0	14	14	1	1	0.0	1	0.0	1
493659	0.0	0.0	20	20	0	0	0.0	0	0.0	0
494297	1.022	0.99	12	12	1	1	0.113	1	0.042	1
494847	0.0	0.0	23	23	1	1	0.0	1	0.0	1
495199	0.96	0.0	11	11	1	1	0.96	1	0.96	1
495881	2.058	0.0	21	22	1	0	0.107	0	2.058	1
497311	0.0	0.0	15	15	0	0	0.048	0	0.0	0
497399	0.05	0.05	22	22	0	0	0.0	0	0.0	0
497553	0.431	0.514	9	9	1	1	0.431	1	0.144	1
498851	0.179	0.217	20	20	1	1	0.179	1	0.315	1
499115	0.792	0.719	13	13	1	1	0.792	1	0.094	1
499423	0.0	0.0	59	58	0	0	0.146	0	0.0	0
499577	0.985	0.646	52	50	1	1	0.917	1	0.434	1
500149	0.486	0.589	9	8	1	1	0.486	1	0.404	1
500567	4.787	4.787	20	20	1	1	0.0	1	0.0	1
501711	3.962	0.0	60	58	1	1	3.962	1	3.962	1
502019	1.449	1.042	18	17	0	1	1.449	1	0.438	1
502525	0.723	0.963	14	14	1	1	0.723	1	0.429	1
502921	0.066	0.098	50	50	1	1	0.066	1	0.14	1
