tag	events_fired	frac	work-mcp1k-empre0901	work-mcp2k-empre0901	work-ncpi0-empre0901	work-nuecc48-empre0901
pr55 do_rough_path:	1383	0.4509	444	872	19	48
pr93 detach_track_stem:	625	0.2038	192	386	17	30
pr74 shower_in_cascade_guard:	86	0.0280	22	53	3	8
pr65 absorb_unreachable_main:	75	0.0245	15	30	4	26
pr74 stem_backfill:	38	0.0124	11	13	2	12
pr74 conn3_unreachable:	25	0.0082	8	14	1	2
pr84 conn3_stitch:	17	0.0055	2	3	2	10
pr93 case_b_dqdx_guard:	15	0.0049	6	8	0	1
pr84 pf_id_collision:	10	0.0033	2	7	1	0
pr74 michel_stem_michel_check:	9	0.0029	0	0	2	7
pr93 cone_absorb_guard:	6	0.0020	0	5	0	1
pr93 accept_pid_guard:	2	0.0007	1	1	0	0
pr99 ghost_member:	1	0.0003	1	0	0	0
pr84 shower_dedup:	0	0.0000	0	0	0	0
pr67 remove_segment:	0	0.0000	0	0	0	0
pr67 init_first_segment:	0	0.0000	0	0	0	0
pr67 get_local_extension:	0	0.0000	0	0	0	0
pr67 fos:	0	0.0000	0	0	0	0
pr67 find_other_segments:	0	0.0000	0	0	0	0
pr67 examine_end_ps_vec:	0	0.0000	0	0	0	0
pr139 shower_split:	0	0.0000	0	0	0	0
pr138 shower_split:	0	0.0000	0	0	0	0
pr130 stem_backfill_back_dvtx:	0	0.0000	0	0	0	0
pr130 pass4_prox_guard:	0	0.0000	0	0	0	0
pr130 pass3_backfill_guard:	0	0.0000	0	0	0	0
pr125 satellite_absorb:	0	0.0000	0	0	0	0
pr125 samevtx_absorb:	0	0.0000	0	0	0	0
pr124 pass4_prune2:	0	0.0000	0	0	0	0
pr124 pass3_cone_guard:	0	0.0000	0	0	0	0
pr123 pass4_track_guard:	0	0.0000	0	0	0	0
pr123 pass4_prune:	0	0.0000	0	0	0	0
pr121 ex1_dedup_rehome:	0	0.0000	0	0	0	0
pr120 stem_backfill_back_guard:	0	0.0000	0	0	0	0
pr117 merge_relax:	0	0.0000	0	0	0	0
pr117 flank_absorb:	0	0.0000	0	0	0	0
