tag	arm_a	arm_b	delta	class
pr55 do_rough_path:	1383	1383	0	IDENTICAL
pr93 detach_track_stem:	621	625	-4	PERTURBED
pr125 satellite_absorb:	372	0	372	CAMPAIGN
pr123 pass4_prune:	96	0	96	CAMPAIGN
pr74 shower_in_cascade_guard:	86	86	0	IDENTICAL
pr65 absorb_unreachable_main:	75	75	0	IDENTICAL
pr124 pass4_prune2:	67	0	67	CAMPAIGN
pr138 shower_split:	60	0	60	CAMPAIGN
pr130 pass4_prox_guard:	41	0	41	CAMPAIGN
pr74 stem_backfill:	40	38	2	PERTURBED
pr74 conn3_unreachable:	28	25	3	PERTURBED
pr117 merge_relax:	18	0	18	CAMPAIGN
pr84 conn3_stitch:	17	17	0	IDENTICAL
pr93 case_b_dqdx_guard:	15	15	0	IDENTICAL
pr84 pf_id_collision:	12	10	2	PERTURBED
pr124 pass3_cone_guard:	10	0	10	CAMPAIGN
pr74 michel_stem_michel_check:	9	9	0	IDENTICAL
pr120 stem_backfill_back_guard:	7	0	7	CAMPAIGN
pr123 pass4_track_guard:	7	0	7	CAMPAIGN
pr130 pass3_backfill_guard:	7	0	7	CAMPAIGN
pr93 cone_absorb_guard:	5	6	-1	PERTURBED
pr130 stem_backfill_back_dvtx:	3	0	3	CAMPAIGN
pr93 accept_pid_guard:	3	2	1	PERTURBED
pr121 ex1_dedup_rehome:	1	0	1	CAMPAIGN
pr99 ghost_member:	1	1	0	IDENTICAL
pr117 flank_absorb:	0	0	0	ZERO
pr125 samevtx_absorb:	0	0	0	ZERO
pr139 shower_split:	0	0	0	ZERO
pr67 examine_end_ps_vec:	0	0	0	ZERO
pr67 find_other_segments:	0	0	0	ZERO
pr67 fos:	0	0	0	ZERO
pr67 get_local_extension:	0	0	0	ZERO
pr67 init_first_segment:	0	0	0	ZERO
pr67 remove_segment:	0	0	0	ZERO
pr84 shower_dedup:	0	0	0	ZERO
