knob	state	value	tags
input	ON	'.'	-
anode_indices	ON	[0, 1]	-
output_dir	ON	'.'	-
run	ON	0	-
subrun	ON	0	-
event	ON	0	-
reality	ON	'sim'	-
multi_event	OFF	false	-
rse_map	ON	{}	-
evt_subdir	ON	''	-
lifetime	ON	35.0	-
pipeline_names	ON	['switch_scope', 'unmerge_bundle', 'unmerge_assoc', 'steiner'	-
trackfitting_config	ON	'pgrapher/experiment/sbnd/sbnd_track_fitting.json'	-
mip_dqdx	ON	56000	-
cathode_x	ON	0	-
cathode_kink_xcut	ON	5	-
cathode_wide_kink_angle	ON	25	-
cathode_wide_kink_skirt	OFF	null	-
cathode_wide_kink_baseline	OFF	null	-
shower_topo_demote_len	ON	50	-
fit_exclusion	ON	true	-
graph_endpoint_tol	OFF	null	-
oov_prototype_parity	ON	true	-
first_seg_local_pca	OFF	null	-
other_seg_relaxed_accept	OFF	null	-
shower_topo_proto_dir	OFF	false	-
vertex_dir_use_fit_point	ON	true	-
shower_traj_recheck_parity	ON	true	-
main_vertex_require_descriptor	ON	true	-
main_vertex_candidate_flag	ON	true	-
cont_muon_dir3_30cm	ON	true	-
track_comp_empty_abstain	ON	true	-
shower_topo_reset	ON	true	-
reclass_preserve_4mom	ON	true	-
dir_track_median_local	ON	true	-
examine_showers_vertex_by_index	OFF	false	-
steiner_terminal_wire_tol	ON	1	-
steiner_terminal_adjacent_slice	ON	true	-
steiner_edge_charge_forward_dead_mix	ON	true	-
iso_endpoint	ON	true	-
iso_endpoint_min_length	OFF	null	-
iso_endpoint_max_xext	OFF	null	-
iso_endpoint_xext_frac	OFF	null	-
iso_endpoint_xext_quantile	OFF	null	-
iso_endpoint_tube_radius	OFF	null	-
iso_endpoint_min_aspect	OFF	null	-
v3_extension_guard	ON	true	-
v3_extension_min_gain	OFF	null	-
traj_cover_probe	OFF	false	-
pr_find_other_rounds	OFF	null	-
protect_graph_name	ON	'relaxed_strict_img_2d_rescue_long_wtrack'	-
protect_skip_convicted	OFF	null	-
protect_open_convicted_bundles	ON	true	-
protect_cathode_x	ON	0	-
protect_cathode_rejoin_xcut	ON	5 * wc.cm	-
