sample	event	arm	segid	source	nseg	npoints	len_cm	ke_mcs	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit	nsegs14	bad_path	cathode_drop	cathode_mask	nseg_chain	len_chain	ke_range_chain	nseg_bridged	len_bridged
mcp1k	278794	work-d84r2-prod98-mcp1k	7001	long_muon_else_pf	2	213	126.4	458.5	0.5919	125.7	304.5	307.6	333.1	9	false	0	0	2	126.4	307.6	0	0
mcp2k	176502	work-d84r2-prod98-mcp2k	20008	long_muon_else_pf	1	141	84.0	598.3	0.9149	83.4	215.2	217.4	193.3	6	false	0	0	0	0.0	-1.0	0	0
mcp2k	281165	work-d84r2-prod98-mcp2k	16005	long_muon_else_pf	2	204	123.5	774.1	0.9097	122.1	296.9	301.3	299.1	8	false	3	3	2	123.5	301.3	0	0
mcp2k	409888	work-d84r2-prod98-mcp2k	13001	long_muon_else_pf	1	590	355.2	767.7	0.001575	353.1	799.3	818.4	812.3	24	false	3	4	0	0.0	-1.0	0	0
mcp2k	415278	work-d84r2-prod98-mcp2k	23047	long_muon_else_pf	1	95	56.3	-1.0	-1	5.5	32.7	158.1	97.3	0	false	0	0	0	0.0	-1.0	0	0
mcp2k	99838	work-d84r2-prod98-mcp2k	14006	long_muon_else_pf	3	760	454.2	1082.8	0.1455	450.1	1020.2	1046.5	1059.0	30	false	0	0	3	454.2	1046.5	0	0
ncpi0	142421	work-d84r2-prod98-ncpi0	7018	long_muon_else_pf	1	245	146.4	1141.7	0.8449	145.4	346.2	350.3	324.0	10	false	0	0	0	0.0	-1.0	0	0
ncpi0	18625	work-d84r2-prod98-ncpi0	11009	long_muon_else_pf	1	163	97.0	233.0	0.1959	96.6	243.1	245.0	232.4	7	false	0	0	0	0.0	-1.0	0	0
ncpi0	285567	work-d84r2-prod98-ncpi0	8106	long_muon_else_pf	1	118	69.9	180.2	0.4133	69.9	186.7	187.4	312.6	5	false	0	0	0	0.0	-1.0	0	0
ncpi0	506746	work-d84r2-prod98-ncpi0	21058	long_muon_else_pf	1	126	74.9	490.3	0.9164	74.1	195.6	198.1	237.0	5	false	0	0	0	0.0	-1.0	0	0
ncpi0	71372	work-d84r2-prod98-ncpi0	92124	long_muon_else_pf	1	96	57.3	919.5	0.9421	56.3	157.3	160.1	142.3	4	false	0	0	0	0.0	-1.0	0	0
ncpi0	84229	work-d84r2-prod98-ncpi0	19066	long_muon_else_pf	1	102	60.6	539.0	0.9204	60.3	166.0	167.3	241.9	4	false	0	0	0	0.0	-1.0	0	0
nuecc48	137238	work-d84r2-prod98-nuecc48	7008	long_muon_else_pf	1	133	79.3	4000.0	1	79.0	206.0	207.3	178.3	5	false	0	0	0	0.0	-1.0	0	0
