sample	event	cls	apa	plane	comp	ncell	Q	Qfrac	d_bundle	main	main_gid	n_union	f_own	f_companion	f_other	f_unmatched	bclass	dom_cluster	dom_npts	dom_gid	dom_t0	dom_in_union
mcp1k	48895	BUNDLE	0	0	20	736	6061115.5	0.4324649805115843	1.0	17	4	8	0.0	0.0	1.0	0.0	OTHER	16	2248	0	-258447.3	0
mcp1k	48895	BUNDLE	0	1	5	530	5603852.4	0.4113341606427575	1.0	17	4	8	0.0	0.0	1.0	0.0	OTHER	16	2248	0	-258447.3	0
mcp1k	48895	BUNDLE	0	2	4	330	4440895.0	0.31795982814441315	7.07	17	4	8	0.002	0.0	0.998	0.0	OTHER	16	2248	0	-258447.3	0
mcp1k	48895	BUNDLE	0	1	1	425	4085180.0	0.29986051852018447	1.0	17	4	8	0.0	0.0	1.0	0.0	OTHER	16	2248	0	-258447.3	0
mcp1k	48895	BUNDLE	0	0	25	264	2210471.4	0.15771873525960928	1.0	17	4	8	0.0	0.0	1.0	0.0	OTHER	16	2248	0	-258447.3	0
mcp1k	50303	BUNDLE	1	0	8	1386	10626679.0	1.0407716465299133	1.0	12	1000001	12	0.001	0.0	0.395	0.604	UNMATCHED	9	4423	0	-816438.6	0
mcp1k	50303	BUNDLE	1	2	15	609	7500554.0	0.9238806872819726	1.0	12	1000001	12	0.0	0.0	0.0	1.0	UNMATCHED	7	3362	1000000	255745.2	0
mcp1k	50303	BUNDLE	1	1	13	383	4750051.8	0.4464173327430413	1.0	12	1000001	12	0.0	0.0	0.0	1.0	UNMATCHED	7	3362	1000000	255745.2	0
mcp1k	50303	BUNDLE	1	1	27	373	4682762.4	0.4400933691875535	10.77	12	1000001	12	0.0	0.0	0.0	1.0	UNMATCHED	7	3362	1000000	255745.2	0
mcp1k	50303	BUNDLE	1	2	8	362	4378666.0	0.53934215438729	1.0	12	1000001	12	0.008	0.0	0.0	0.992	UNMATCHED	7	3362	1000000	255745.2	0
mcp1k	50303	BUNDLE	1	0	16	597	4349801.9	0.42601743080241206	1.0	12	1000001	12	0.0	0.0	0.316	0.684	UNMATCHED	10	5794	1000003	-650984.8	0
mcp1k	50303	BUNDLE	1	0	9	495	3681489.7	0.36056326692016544	1.0	12	1000001	12	0.0	0.0	0.121	0.879	UNMATCHED	10	5794	1000003	-650984.8	0
mcp1k	50303	BUNDLE	0	0	5	267	1937853.9	2.9776827517706868	1.0	12	1000001	12	0.0	0.0	1.0	0.0	OTHER	11	4020	1	-977751.6	0
mcp1k	50303	BUNDLE	0	1	31	143	1316427.3	1.8758340192059533	1.0	12	1000001	12	0.0	0.0	1.0	0.0	OTHER	9	4423	0	-816438.6	0
mcp1k	50303	BUNDLE	1	1	21	99	1104658.0	0.10381749478042798	1.0	12	1000001	12	0.0	0.0	0.0	1.0	UNMATCHED	7	3362	1000000	255745.2	0
mcp1k	50303	BUNDLE	1	1	25	37	408280.6	0.03837085239001574	1.0	12	1000001	12	0.0	0.0	0.0	1.0	UNMATCHED	7	3362	1000000	255745.2	0
mcp1k	51051	BUNDLE	1	2	14	1464	18062071.0	0.8948152344097562	1.0	19	1000005	5	0.012	0.0	0.0	0.988	UNMATCHED	9	3147	1000003	84454.1	0
mcp1k	51051	BUNDLE	0	1	44	756	9701834.1	2.3484296792559527	20.12	19	1000005	5	0.001	0.0	0.999	0.0	OTHER	18	1121	3	703734.4	0
mcp1k	51051	BUNDLE	0	2	39	663	8553931.0	2.130976916555662	9.43	19	1000005	5	0.002	0.0	0.998	0.0	OTHER	4	1560	10	86191.3	0
mcp1k	51051	BUNDLE	1	0	18	900	8040350.6	0.397579424437201	1.0	19	1000005	5	0.0	0.0	0.0	1.0	UNMATCHED	9	3147	1000003	84454.1	0
mcp1k	51051	BUNDLE	1	1	32	639	4873158.1	0.23776912348365925	1.0	19	1000005	5	0.0	0.0	0.0	1.0	UNMATCHED	9	3147	1000003	84454.1	0
mcp1k	51051	BUNDLE	1	0	13	457	4121694.0	0.20380961101699532	1.0	19	1000005	5	0.0	0.0	0.0	1.0	UNMATCHED	11	1379	1000000	1014345.9	0
mcp1k	51051	BUNDLE	1	2	28	177	2325854.0	0.11522541308872439	1.0	19	1000005	5	0.0	0.0	0.0	1.0	UNMATCHED	9	3147	1000003	84454.1	0
mcp1k	51051	BUNDLE	1	1	29	254	1617277.6	0.0789095427422632	1.0	19	1000005	5	0.0	0.0	0.0	1.0	UNMATCHED	9	3147	1000003	84454.1	0
mcp1k	51051	BUNDLE	1	2	24	69	1181617.0	0.05853863008497491	23.41	19	1000005	5	0.0	0.0	0.0	1.0	UNMATCHED	13	681	1000004	1240905.9	0
mcp1k	52657	BUNDLE	0	0	22	560	7861939.4	0.4722881472020205	20.62	23	5	6	0.0	0.0	1.0	0.0	OTHER	4	9449	0	632175.7	0
mcp1k	52657	BUNDLE	0	1	5	1018	7352861.7	0.41168746885550633	1.0	23	5	6	0.0	0.0	1.0	0.0	OTHER	4	9449	0	632175.7	0
mcp1k	52657	BUNDLE	0	2	27	676	7280824.0	0.6998101403123933	1.0	23	5	6	0.0	0.0	1.0	0.0	OTHER	4	9449	0	632175.7	0
mcp1k	52657	BUNDLE	0	0	37	420	6446311.4	0.3872475113956313	1.0	23	5	6	0.0	0.0	1.0	0.0	OTHER	4	9449	0	632175.7	0
mcp1k	52657	BUNDLE	0	1	16	318	2729267.1	0.15281194044892862	1.0	23	5	6	0.0	0.0	1.0	0.0	OTHER	4	9449	0	632175.7	0
mcp1k	53361	BUNDLE	0	1	4	642	4365396.6	0.42805461586573984	1.0	27	5	6	0.0	0.0	1.0	0.0	OTHER	7	9826	1	162896.6	0
mcp1k	53361	BUNDLE	0	0	29	273	2755970.4	0.2510955230380931	1.0	27	5	6	0.0	0.0	1.0	0.0	OTHER	7	9826	1	162896.6	0
mcp1k	53713	BUNDLE	0	0	89	288	1670930.6	1.3463341488756113	1.0	15	8	11	0.0	0.0	1.0	0.0	OTHER	14	3634	5	-565793.4	0
mcp1k	53713	BUNDLE	0	2	41	149	1351230.0	1.5420722333873138	18.6	15	8	11	0.007	0.0	0.0	0.993	UNMATCHED	12	4098	1000002	-157512.9	0
mcp1k	53713	BUNDLE	0	0	83	181	982261.3	0.7914463540909188	1.0	15	8	11	0.0	0.0	1.0	0.0	OTHER	14	3634	5	-565793.4	0
mcp1k	53713	BUNDLE	0	0	79	101	633477.0	0.5104171996295211	5.83	15	8	11	0.0	0.0	1.0	0.0	OTHER	14	3634	5	-565793.4	0
mcp1k	53713	BUNDLE	0	0	88	40	218744.3	0.17625083947944417	1.0	15	8	11	0.0	0.0	1.0	0.0	OTHER	14	3634	5	-565793.4	0
mcp1k	54341	BUNDLE	1	0	47	2296	17951827.2	0.6978896883139136	1.0	18	1000006	28	0.01	0.0	0.219	0.771	UNMATCHED	13	3767	1000003	170513.8	0
mcp1k	54341	BUNDLE	1	1	4	1070	10059697.3	0.4933752351971144	1.0	18	1000006	28	0.0	0.0	0.0	1.0	UNMATCHED	13	3767	1000003	170513.8	0
mcp1k	54341	BUNDLE	1	1	6	1033	9419507.4	0.46197728821482126	1.0	18	1000006	28	0.0	0.0	0.0	1.0	UNMATCHED	16	4296	1000002	-448970.6	0
mcp1k	54341	BUNDLE	1	0	32	541	4202370.0	0.16337003786888843	1.0	18	1000006	28	0.02	0.0	0.0	0.98	UNMATCHED	13	3767	1000003	170513.8	0
mcp1k	54341	BUNDLE	1	0	33	311	1932187.8	0.07511513599606989	1.0	18	1000006	28	0.0	0.0	0.0	1.0	UNMATCHED	9	7127	1000007	79653.9	0
mcp1k	54341	BUNDLE	1	0	49	120	1237827.7	0.0481214072592749	14.87	18	1000006	28	0.0	0.0	0.0	1.0	UNMATCHED	22	404	1000012	211337.4	0
mcp1k	55539	BUNDLE	1	1	41	2061	18953037.9	0.4317441250290216	1.0	18	1000005	6	0.0	0.0	0.0	1.0	UNMATCHED	9	1562	1000000	912819.2	0
mcp1k	55539	BUNDLE	1	2	21	266	5668098.0	0.12498765966660405	1.0	18	1000005	6	0.0	0.0	0.0	1.0	UNMATCHED	9	1562	1000000	912819.2	0
mcp1k	55539	BUNDLE	1	1	15	788	5632463.9	0.12830572128297443	1.0	18	1000005	6	0.0	0.0	1.0	0.0	OTHER	16	4068	4	-260329.3	0
mcp1k	55539	BUNDLE	1	1	22	455	3480982.7	0.07929566953763446	1.0	18	1000005	6	0.0	0.0	0.0	1.0	UNMATCHED	19	5841	1000001	-143691.6	0
mcp1k	55539	BUNDLE	1	2	22	380	3398379.0	0.07493791354174438	1.0	18	1000005	6	0.0	0.0	0.0	1.0	UNMATCHED	13	1855	1000004	678679.0	0
mcp1k	55539	BUNDLE	1	0	23	366	2867073.2	0.05589240369009501	1.0	18	1000005	6	0.0	0.0	0.904	0.096	OTHER	16	4068	4	-260329.3	0
mcp1k	55539	BUNDLE	1	0	34	339	2844087.3	0.05544430309678606	1.0	18	1000005	6	0.0	0.0	1.0	0.0	OTHER	16	4068	4	-260329.3	0
mcp1k	55539	BUNDLE	1	1	33	198	2633501.3	0.059990315037110276	1.0	18	1000005	6	0.0	0.0	0.0	1.0	UNMATCHED	13	1855	1000004	678679.0	0
mcp1k	55539	BUNDLE	1	0	20	310	2551121.0	0.0497330465068973	1.0	18	1000005	6	0.004	0.0	0.0	0.996	UNMATCHED	15	1449	1000008	-703795.0	0
mcp1k	55539	BUNDLE	1	0	33	298	2177636.0	0.042452111233882595	1.0	18	1000005	6	0.0	0.0	0.0	1.0	UNMATCHED	8	1002	1000002	107865.5	0
mcp1k	55539	BUNDLE	1	0	35	305	2064707.9	0.040250624730798046	1.0	18	1000005	6	0.0	0.0	0.0	1.0	UNMATCHED	11	10372	1000003	-167210.2	0
