sample	event	cls	apa	plane	comp	ncell	Q	Qfrac	wmin	wmax	smin	smax	wext	sext	cw	cs	f_act	f_noblobslice	f_zsum	nplane_act	d_bundle	d_scope	Qbundle_plane	pca_rms	npartner_planes	qmax	f_topwire	f_topslice	nwire_q	floor	f_cov4	fq_cov4
mcp1k	48895	BUNDLE	0	0	20	736	6061115.5	0.4324649805115843	1214	1359	1	215	146	215	1291.0	116.2	1.0	0.0	0.0	3.0	1.0	0.0	14015274.7	1.35	2	27459.2	0.04	0.013	0	2449.3	0.0	0.0
mcp1k	48895	BUNDLE	0	1	5	530	5603852.4	0.4113341606427575	498	606	5	215	109	211	549.2	116.7	1.0	0.0	0.0	3.0	1.0	0.0	13623600.8	3.67	2	31329.5	0.056	0.013	1	3969.2	0.0	0.0
mcp1k	48895	BUNDLE	0	2	4	330	4440895.0	0.31795982814441315	678	705	32	209	28	178	692.3	123.6	1.0	0.0	0.0	3.0	7.07	0.0	13966843.0	1.73	2	41180.0	0.052	0.017	1	3494.0	0.0	0.0
mcp1k	48895	BUNDLE	0	1	1	425	4085180.0	0.29986051852018447	384	468	277	468	85	192	422.8	374.0	1.0	0.0	0.0	3.0	1.0	0.0	13623600.8	0.96	1	23803.7	0.026	0.017	0	3969.2	0.0	0.0
mcp1k	48895	BUNDLE	0	0	25	264	2210471.4	0.15771873525960928	1397	1442	277	348	46	72	1419.3	309.6	1.0	0.0	0.0	3.0	1.0	0.0	14015274.7	1.99	1	24807.2	0.081	0.037	3	2449.3	0.0	0.0
mcp1k	49951	NOBLOB-SLICE	1	1	5	49	1271191.7	0.11405059273185242	152	154	79	102	3	24	153.4	94.2	1.0	1.0	0.0	2.0	1.0	1.0	11145857.9	0.54	1	66826.2	0.626	0.089	2	3553.8	0.0	0.0
mcp1k	49951	NOBLOB-SLICE	1	1	3	55	1066387.8	0.0956757038863738	103	106	86	110	4	25	105.5	101.5	1.0	0.6	0.0	3.0	0.0	5.0	11145857.9	0.78	1	56565.2	0.605	0.109	2	3553.8	0.4	0.515
mcp1k	49951	NOBLOB-SLICE	1	0	5	71	984980.4	0.08908999246943941	1100	1102	76	102	3	27	1100.9	93.1	1.0	1.0	0.0	2.0	1.0	1.0	11056016.2	0.78	1	51103.1	0.716	0.07	3	2960.7	0.0	0.0
mcp1k	50303	BUNDLE	1	0	8	1386	10626679.0	1.0407716465299133	800	1027	187	284	228	98	914.7	249.9	1.0	0.0	0.0	3.0	1.0	0.0	10210384.8	15.82	2	32619.5	0.014	0.026	0	2748.0	0.0	0.0
mcp1k	50303	BUNDLE	1	2	15	609	7500554.0	0.9238806872819726	624	831	308	398	208	91	730.4	354.2	1.0	0.0	0.0	3.0	1.0	0.0	8118531.0	0.85	2	43107.0	0.015	0.024	0	3943.5	0.0	0.0
mcp1k	50303	BUNDLE	1	1	13	383	4750051.8	0.4464173327430413	528	634	345	400	107	56	586.3	370.5	1.0	0.0	0.0	3.0	1.0	0.0	10640383.9	1.03	1	59261.0	0.032	0.033	0	2520.0	0.0	0.0
mcp1k	50303	BUNDLE	1	1	27	373	4682762.4	0.4400933691875535	774	878	229	280	105	52	820.7	255.1	1.0	0.0	0.0	3.0	10.77	0.0	10640383.9	1.42	2	70140.5	0.039	0.048	0	2520.0	0.0	0.0
mcp1k	50303	BUNDLE	1	2	8	362	4378666.0	0.53934215438729	449	571	231	284	123	54	511.5	258.7	1.0	0.0	0.0	3.0	1.0	0.0	8118531.0	0.92	2	35543.0	0.024	0.045	0	3943.5	0.0	0.0
mcp1k	50303	BUNDLE	1	0	16	597	4349801.9	0.42601743080241206	1068	1206	297	343	139	47	1122.5	320.8	1.0	0.0	0.0	3.0	1.0	0.0	10210384.8	3.24	2	24394.2	0.018	0.036	0	2748.0	0.0	0.0
mcp1k	50303	BUNDLE	1	0	9	495	3681489.7	0.36056326692016544	800	977	246	290	178	45	888.3	268.6	1.0	0.0	0.0	3.0	1.0	0.0	10210384.8	0.85	2	29962.2	0.02	0.055	0	2748.0	0.0	0.0
mcp1k	50303	BUNDLE	0	0	5	267	1937853.9	2.9776827517706868	614	700	124	139	87	16	653.0	131.9	1.0	0.0	0.0	3.0	1.0	0.0	650792.6	0.99	1	26840.5	0.033	0.098	0	2518.1	0.0	0.0
mcp1k	50303	BUNDLE	0	1	31	143	1316427.3	1.8758340192059533	1642	1686	116	136	45	21	1665.9	125.0	1.0	0.0	0.0	3.0	1.0	0.0	701782.4	1.0	1	34694.9	0.084	0.127	2	2776.4	0.0	0.0
