rank	sample	event	cls	kind	gid	cluster	cl_class	npts	cl_npts	Q	Qfrac	ext	rms	dvtx	dheld	dcand	cx	cy	cz	f_absorbed	dfit	dfit_max	dfit_p90	f_far12
0	mcp2k	292788	UNHELD-TRACK	UNHELD	1	-1	OWN	245.0	0.0	2638332.7	0.0624	24.1	0.77	3.8	3.0	0.0	155.7	101.6	162.7	1.0	3.0	6.3	5.0	0.0
1	mcp2k	179912	UNHELD-TRACK	UNHELD	0	-1	OWN	87.0	0.0	2545101.0	0.0713	12.0	0.52	13.0	3.0	0.0	-185.5	131.4	342.0	1.0	3.0	4.6	4.2	0.0
2	mcp2k	275539	UNHELD-TRACK	UNHELD	2	-1	OWN	80.0	0.0	1661727.0	0.0618	6.7	0.62	3.1	3.0	0.0	-16.6	-9.5	451.7	1.0	3.0	4.5	4.3	0.0
3	mcp2k	93105	UNHELD-TRACK	UNHELD	4	-1	OWN	137.0	0.0	1478163.0	0.0451	11.4	0.77	14.1	3.0	0.0	112.9	97.8	321.2	1.0	3.0	6.1	5.2	0.0
4	mcp2k	395870	UNHELD-TRACK	UNHELD	0	-1	OWN	113.0	0.0	1248799.4	0.0369	14.7	0.5	13.6	3.0	0.0	72.3	-67.1	245.3	1.0	3.0	4.9	4.4	0.0
5	mcp2k	284047	UNHELD-TRACK	UNHELD	1	-1	OWN	49.0	0.0	1170906.9	0.2002	5.4	0.71	4.3	3.0	0.0	141.3	-62.4	433.6	1.0	3.0	5.4	4.9	0.0
6	mcp2k	414306	UNHELD-TRACK	UNHELD	5	-1	OWN	103.0	0.0	1106056.5	0.046	14.0	0.73	5.0	3.0	0.0	-127.9	-33.2	60.7	1.0	3.0	5.7	5.0	0.0
7	mcp2k	400349	UNHELD-TRACK	UNHELD	2	-1	OWN	101.0	0.0	1096234.7	0.4748	6.0	0.48	nan	162.4	0.0	-203.6	-27.0	63.2	0.0	162.4	173.0	170.9	1.0
8	mcp2k	292810	UNHELD-TRACK	UNHELD	0	-1	OWN	69.0	0.0	976189.7	0.0589	7.8	0.59	5.7	3.0	0.0	-13.3	-136.6	174.0	1.0	3.0	4.4	4.3	0.0
9	mcp2k	398181	UNHELD-TRACK	UNHELD	1	-1	OWN	76.0	0.0	910118.7	0.0362	5.7	0.5	12.4	3.1	0.0	58.9	185.4	353.6	1.0	3.1	5.6	5.1	0.0
10	mcp2k	52121	UNHELD-TRACK	UNHELD	2	-1	OWN	135.0	0.0	897773.8	0.0576	26.5	0.67	12.1	3.0	0.0	-26.9	-182.2	106.2	1.0	3.0	5.0	4.7	0.0
11	mcp2k	174311	UNHELD-TRACK	UNHELD	1	-1	OWN	111.0	0.0	756073.3	0.0481	21.7	0.63	3.5	3.0	0.0	-79.2	24.7	461.7	1.0	3.0	5.1	4.4	0.0
12	mcp1k	48895	UNHELD-TRACK	UNHELD	2	-1	OWN	102.0	0.0	720285.5	0.0305	15.4	0.69	9.1	3.0	0.0	-163.7	-173.4	205.2	1.0	3.0	5.5	4.7	0.0
13	mcp2k	70222	UNHELD-TRACK	UNHELD	0	-1	OWN	88.0	0.0	715095.0	0.0411	8.9	0.7	5.4	3.0	0.0	-179.9	-143.8	471.3	1.0	3.0	5.7	5.2	0.0
14	mcp2k	392262	UNHELD-TRACK	UNHELD	0	-1	OWN	126.0	0.0	613195.3	0.1265	19.8	0.57	5.6	3.0	0.0	-57.3	-37.1	480.5	1.0	3.0	5.2	4.9	0.0
15	mcp2k	350596	UNHELD-TRACK	UNHELD	0	-1	OWN	30.0	0.0	574592.0	0.0622	8.1	0.37	6.3	3.0	0.0	192.7	-38.4	361.7	1.0	3.0	4.2	3.9	0.0
16	mcp2k	348198	UNHELD-TRACK	UNHELD	0	-1	OWN	61.0	0.0	556288.6	0.0553	5.2	0.73	8.5	3.0	0.0	-71.7	-50.6	297.9	1.0	3.0	5.6	4.8	0.0
17	mcp1k	280994	UNHELD-TRACK	UNHELD	1	-1	OWN	81.0	0.0	466541.0	0.0428	11.6	0.8	12.0	3.0	0.0	-28.8	-162.3	54.5	1.0	3.0	6.2	5.4	0.0
18	mcp2k	392900	UNHELD-TRACK	UNHELD	2	-1	OWN	42.0	0.0	455783.0	0.0386	8.1	0.59	4.4	3.0	0.0	101.7	-170.3	147.8	1.0	3.0	5.3	4.3	0.0
19	mcp2k	157215	UNHELD-TRACK	UNHELD	1	-1	OWN	51.0	0.0	381726.0	0.4745	9.3	0.41	nan	358.9	0.0	-142.0	-14.8	500.7	0.0	358.9	364.6	363.9	1.0
20	mcp2k	54475	UNHELD-TRACK	UNHELD	2	-1	OWN	79.0	0.0	323970.0	0.0465	14.5	0.43	9.3	3.0	0.0	-92.0	-88.1	454.9	1.0	3.0	4.2	4.2	0.0
21	mcp1k	58345	UNHELD-TRACK	UNHELD	0	-1	OWN	35.0	0.0	200591.7	0.0387	5.4	0.44	10.3	3.0	0.0	85.9	176.9	106.4	1.0	3.0	4.6	4.3	0.0
