rank	sample	event	cls	apa	plane	comp	ncell	Q	Qfrac	wmin	wmax	smin	smax	wext	sext	cw	cs	f_act	f_noblobslice	f_zsum	nplane_act	d_bundle	d_scope	Qbundle_plane	pca_rms	npartner_planes	qmax	f_topwire	f_topslice	nwire_q	floor	f_cov4	fq_cov4
0	nuecc48	90055	NOBLOB-INSLICE	1	1	1	203	1816347.3	0.03322944701357706	618	650	750	854	33	105	633.8	800.6	1.0	0.0	0.0	3.0	0.0	1.0	54660774.2	0.56	1	28297.5	0.056	0.029	2	3481.1	0.039	0.036
1	mcp1k	314507	NOBLOB-INSLICE	1	0	12	225	1631438.0	0.13922360098602216	700	769	281	352	70	72	735.3	316.6	1.0	0.307	0.0	3.0	0.0	1.0	11718113.8	0.69	1	14319.2	0.021	0.019	0	2824.5	0.076	0.071
2	mcp2k	52693	NOBLOB-INSLICE	1	1	16	196	1534987.2	0.06622031358491942	700	755	362	433	56	72	730.7	400.0	1.0	0.429	0.0	3.0	0.0	1.0	23180005.0	0.7	1	19273.0	0.033	0.024	0	2667.9	0.117	0.114
3	mcp2k	75554	NOBLOB-SLICE	0	0	7	202	1460091.6	0.09374561377505627	432	486	409	465	55	57	457.8	437.2	1.0	0.827	0.0	3.0	0.0	1.0	15575039.1	0.78	1	19363.9	0.035	0.033	0	2498.1	0.005	0.004
4	mcp1k	49951	NOBLOB-SLICE	1	1	5	49	1271191.7	0.11405059273185242	152	154	79	102	3	24	153.4	94.2	1.0	1.0	0.0	2.0	1.0	1.0	11145857.9	0.54	1	66826.2	0.626	0.089	2	3553.8	0.0	0.0
5	mcp2k	400185	NOBLOB-SLICE	1	1	2	158	1263534.4	0.11743358203419019	56	87	722	791	32	70	70.9	757.8	1.0	0.62	0.0	3.0	0.0	1.0	10759566.2	0.61	1	15905.4	0.05	0.021	0	3058.8	0.095	0.094
6	mcp2k	393089	NOBLOB-SLICE	0	2	37	159	1193353.0	0.28115218980569956	1452	1515	70	97	64	28	1484.0	83.8	1.0	0.849	0.0	2.0	8.06	1.0	4244509.0	0.7	1	14937.0	0.027	0.041	0	3412.5	0.0	0.0
7	mcp2k	280709	NOBLOB-SLICE	0	0	8	75	1172921.3	0.19371805987181545	603	606	78	102	4	25	605.5	94.2	1.0	1.0	0.0	1.0	1.0	1.0	6054785.5	1.16	1	69643.9	0.774	0.079	4	2603.3	0.0	0.0
8	mcp2k	52693	NOBLOB-SLICE	1	0	9	145	1145308.9	0.05645105693197894	526	567	358	412	42	55	546.2	385.4	1.0	0.621	0.0	3.0	0.0	1.0	20288528.9	0.63	1	15524.3	0.037	0.026	0	3427.5	0.255	0.26
9	mcp1k	283009	NOBLOB-INSLICE	0	1	25	74	1129133.7	0.0362893099665906	1576	1586	214	232	11	19	1584.4	225.4	1.0	0.0	0.0	3.0	0.0	1.0	31114774.6	2.13	1	53365.5	0.491	0.126	4	2857.7	1.0	1.0
10	mcp2k	70084	NOBLOB-INSLICE	0	1	6	51	1093442.6	0.07881048404127532	828	830	79	102	3	24	829.2	94.2	0.961	0.0	0.0	3.0	0.0	1.0	13874329.2	0.59	1	69849.5	0.772	0.089	2	3080.8	0.176	0.244
11	mcp2k	75554	NOBLOB-INSLICE	0	0	5	134	1045662.2	0.06713705136059658	392	429	369	406	38	38	410.8	387.7	1.0	0.418	0.0	3.0	0.0	1.0	15575039.1	0.77	1	23406.8	0.058	0.055	1	2498.1	0.112	0.109
12	mcp2k	414200	NOBLOB-INSLICE	0	0	17	161	1035600.1	0.06648632669596855	1625	1678	617	659	54	43	1651.8	639.4	1.0	0.0	0.0	3.0	0.0	1.0	15576136.5	0.71	1	12017.7	0.029	0.031	0	2846.6	1.0	1.0
13	mcp1k	492649	NOBLOB-INSLICE	1	1	5	127	945591.2	0.1021710756049873	350	396	451	478	47	28	372.8	465.0	1.0	0.0	0.0	3.0	0.0	1.0	9254979.4	0.71	1	17704.9	0.039	0.053	0	3079.8	0.598	0.607
14	mcp2k	95899	NOBLOB-INSLICE	0	0	11	122	908682.5	0.049973272556040345	822	844	395	451	23	57	833.9	422.2	1.0	0.0	0.0	3.0	0.0	1.0	18183369.9	0.62	1	15123.1	0.07	0.029	7	2917.4	1.0	1.0
15	mcp2k	179611	NOBLOB-SLICE	1	2	38	110	860229.0	0.04575883079223994	1566	1602	351	400	37	50	1584.0	375.8	1.0	0.909	0.0	2.0	0.0	1.0	18799191.0	0.52	1	12000.0	0.034	0.026	0	3678.5	0.027	0.023
16	mcp2k	97084	NOBLOB-SLICE	1	0	11	48	848399.1	0.06581239236096041	944	945	635	659	2	25	944.3	650.9	1.0	1.0	0.0	2.0	1.0	1.0	12891175.5	0.5	1	43820.6	0.676	0.077	2	2299.3	0.0	0.0
17	mcp2k	56972	NOBLOB-SLICE	1	1	1	67	821456.0	0.10746805770968343	623	626	81	103	4	23	624.2	95.2	1.0	0.97	0.0	2.0	0.0	1.0	7643722.4	0.91	1	29258.4	0.381	0.094	3	3957.0	0.03	0.032
18	mcp1k	281505	NOBLOB-INSLICE	0	0	21	118	817547.7	0.0921494625091751	1251	1266	359	390	16	32	1258.9	373.8	1.0	0.0	0.0	3.0	0.0	1.0	8871974.7	1.28	1	14706.0	0.104	0.052	12	2770.7	0.229	0.253
19	mcp1k	169356	NOBLOB-INSLICE	1	0	16	103	746832.8	0.03317467550102465	1382	1418	366	400	37	35	1401.0	384.2	1.0	0.0	0.0	3.0	0.0	1.0	22512135.8	0.65	1	12652.0	0.046	0.039	0	2773.4	1.0	1.0
20	mcp1k	172266	NOBLOB-SLICE	0	0	6	93	694130.2	0.03695667243629231	466	480	234	275	15	42	472.9	254.7	1.0	1.0	0.0	2.0	1.0	1.0	18782270.0	0.63	1	13485.2	0.108	0.028	13	2546.5	0.0	0.0
21	mcp1k	58607	NOBLOB-INSLICE	1	1	12	46	679938.4	0.27167287941605817	805	810	604	622	6	19	807.9	616.4	1.0	0.304	0.0	3.0	0.0	1.0	2502783.5	0.97	1	46430.0	0.668	0.142	3	3897.6	0.261	0.316
22	mcp2k	395695	NOBLOB-INSLICE	1	0	13	85	660557.2	0.03321244296759664	604	611	192	233	8	42	606.9	212.1	1.0	0.082	0.0	3.0	0.0	1.0	19888847.1	0.61	1	15947.9	0.178	0.042	7	2694.9	0.106	0.087
