rank	sample	event	cls	apa	plane	comp	ncell	Q	Qfrac	wmin	wmax	smin	smax	wext	sext	cw	cs	f_act	f_noblobslice	f_zsum	nplane_act	d_bundle	d_scope	Qbundle_plane	pca_rms	npartner_planes	qmax	f_topwire	f_topslice	nwire_q	floor	f_cov4	fq_cov4
23	mcp2k	100157	NOBLOB-INSLICE	0	1	1	67	649199.5	0.05982291610715103	675	678	83	102	4	20	676.6	95.5	1.0	0.0	0.0	3.0	0.0	1.0	10852020.3	1.03	1	27091.7	0.414	0.108	4	2999.9	0.119	0.2
24	mcp2k	98382	NOBLOB-INSLICE	0	0	6	93	630297.5	0.13097863580980915	875	904	411	432	30	22	889.7	421.5	1.0	0.0	0.0	3.0	0.0	1.0	4812216.1	0.81	1	11805.7	0.043	0.056	0	2749.2	0.366	0.37
25	mcp1k	352233	NOBLOB-INSLICE	0	1	10	76	624078.8	0.13440195816155998	1597	1608	660	693	12	34	1602.8	677.0	1.0	0.0	0.0	3.0	0.0	1.0	4643375.8	0.67	1	14292.4	0.136	0.038	11	2908.5	0.658	0.653
26	mcp2k	56763	NOBLOB-SLICE	1	1	2	39	602601.2	0.10762706442711849	367	368	83	102	2	20	367.6	95.2	1.0	1.0	0.0	2.0	1.0	1.0	5598974.6	0.5	1	31906.8	0.59	0.092	2	3792.8	0.0	0.0
27	mcp2k	409624	NOBLOB-INSLICE	0	2	33	70	592222.0	0.05975785145306988	1102	1104	398	451	3	54	1103.3	424.6	1.0	0.0	0.0	3.0	0.0	1.0	9910363.0	0.57	1	13341.0	0.447	0.026	3	4174.8	0.129	0.163
28	mcp2k	168209	NOBLOB-INSLICE	1	0	28	41	575723.5	0.0376911667603168	1696	1705	306	318	10	13	1700.6	312.4	1.0	0.073	0.0	3.0	0.0	1.0	15274759.3	0.83	1	26940.8	0.147	0.09	8	2486.3	0.683	0.677
29	mcp2k	91697	NOBLOB-INSLICE	0	0	8	40	574416.1	0.05803681878275852	1247	1255	173	186	9	14	1251.0	179.5	1.0	0.0	0.0	3.0	0.0	1.0	9897442.9	0.75	1	25626.9	0.171	0.078	7	2933.9	1.0	1.0
30	mcp2k	49742	NOBLOB-INSLICE	1	0	4	66	543065.6	0.03288370331326446	804	815	195	224	12	30	809.4	210.4	1.0	0.0	0.0	3.0	0.0	1.0	16514733.6	0.62	1	14445.3	0.12	0.046	10	2906.0	1.0	1.0
31	mcp1k	174422	NOBLOB-SLICE	1	1	4	70	536476.9	0.03449661551124511	392	409	750	778	18	29	400.1	764.3	1.0	1.0	0.0	2.0	2.0	1.0	15551580.7	0.62	1	12979.3	0.088	0.044	13	2964.0	0.0	0.0
32	mcp1k	349835	NOBLOB-INSLICE	0	0	6	54	527967.4	0.05250925236837567	684	687	492	506	4	15	685.6	497.7	1.0	0.0	0.0	3.0	0.0	1.0	10054749.9	1.13	1	22546.9	0.377	0.114	4	2731.6	1.0	1.0
33	mcp2k	403397	NOBLOB-INSLICE	0	1	8	68	524882.8	0.04351739092844665	1085	1093	505	537	9	33	1089.2	521.3	1.0	0.0	0.0	3.0	0.0	1.0	12061449.2	0.6	1	13290.7	0.155	0.037	8	2915.8	1.0	1.0
34	mcp2k	74336	NOBLOB-SLICE	0	2	10	62	519229.0	0.030383977724030113	351	365	556	591	15	36	358.0	574.1	1.0	0.887	0.0	2.0	0.0	1.0	17088908.0	0.48	1	13451.0	0.103	0.042	13	3967.8	0.113	0.113
35	mcp1k	319039	NOBLOB-INSLICE	1	2	31	61	499477.0	0.03245323092151083	1157	1179	378	381	23	4	1167.8	379.4	1.0	0.0	0.0	3.0	13.0	1.0	15390671.0	0.8	1	21893.0	0.092	0.425	5	3580.0	0.0	0.0
36	mcp2k	178548	NOBLOB-SLICE	1	1	8	65	482414.4	0.07107594377866186	1331	1346	411	438	16	28	1339.3	423.8	0.985	0.862	0.0	2.0	1.0	1.0	6787309.1	0.66	1	12421.8	0.109	0.05	13	2890.4	0.0	0.0
37	mcp2k	179611	NOBLOB-INSLICE	1	1	21	72	478923.4	0.03433557854390292	1242	1263	554	578	22	25	1252.6	565.8	1.0	0.0	0.0	3.0	0.0	1.0	13948313.1	0.67	1	11475.1	0.074	0.049	10	2555.6	1.0	1.0
38	mcp2k	72768	NOBLOB-INSLICE	1	1	7	56	446011.7	0.040355578696168445	1117	1126	337	359	10	23	1121.2	348.8	1.0	0.036	0.0	3.0	0.0	1.0	11052045.7	0.74	1	17882.3	0.164	0.075	9	2857.6	0.964	0.971
39	mcp2k	294174	NOBLOB-SLICE	0	0	13	68	445129.4	0.032119225270225094	1312	1334	106	124	23	19	1323.5	115.3	1.0	0.779	0.0	2.0	1.0	1.0	13858659.3	0.72	1	12177.4	0.068	0.072	7	2508.7	0.0	0.0
40	mcp1k	490361	NOBLOB-INSLICE	0	1	10	36	393178.6	0.041904786631210646	1073	1074	85	102	2	18	1073.6	95.5	1.0	0.0	0.0	3.0	0.0	1.0	9382665.6	0.5	1	23999.8	0.606	0.101	2	2848.0	0.111	0.192
41	mcp1k	175808	NOBLOB-INSLICE	0	0	18	33	392978.4	0.03552467958751899	1349	1350	80	102	2	23	1349.7	95.2	1.0	0.485	0.0	3.0	0.0	1.0	11062123.7	0.41	1	22757.0	0.747	0.101	2	2555.0	0.061	0.101
42	mcp2k	400185	NOBLOB-INSLICE	1	0	12	54	388631.5	0.03644592709638577	1141	1151	697	717	11	21	1146.0	707.7	1.0	0.352	0.0	3.0	0.0	1.0	10663235.4	0.72	1	12719.5	0.149	0.06	9	2761.5	0.352	0.316
43	mcp2k	396057	NOBLOB-INSLICE	1	0	27	55	376307.8	0.05579365759506001	1775	1783	516	539	9	24	1779.0	527.8	1.0	0.0	0.0	3.0	0.0	1.0	6744634.0	0.65	1	13436.0	0.186	0.058	7	2624.6	1.0	1.0
44	mcp1k	65999	NOBLOB-INSLICE	0	2	40	53	351486.0	0.08366825773611099	904	925	104	107	22	4	915.8	105.6	1.0	0.0	0.0	3.0	11.0	1.0	4200948.0	0.76	2	21034.0	0.144	0.411	6	3356.0	0.0	0.0
45	mcp2k	393758	NOBLOB-INSLICE	0	1	3	45	306553.9	0.061947606349077027	638	642	90	103	5	14	639.5	97.8	0.956	0.0	0.0	3.0	0.0	1.0	4948599.6	1.1	1	22654.4	0.434	0.15	4	3209.0	0.333	0.416
46	mcp2k	493659	NOBLOB-INSLICE	0	0	17	40	299612.9	0.034669344314633754	1765	1769	444	462	5	19	1767.0	453.1	1.0	0.0	0.0	3.0	0.0	1.0	8642012.3	0.59	1	11483.1	0.304	0.063	5	3058.1	0.475	0.495
47	mcp2k	293734	NOBLOB-INSLICE	0	0	17	29	287357.8	0.043534786941142545	1924	1929	261	266	6	6	1926.7	263.7	1.0	0.0	0.0	3.0	0.0	1.0	6600647.9	1.34	1	21117.8	0.351	0.201	5	2533.1	1.0	1.0
48	mcp1k	276836	NOBLOB-SLICE	0	2	21	32	283899.0	0.048960301316448664	1025	1029	530	546	5	17	1026.8	538.2	1.0	0.625	0.0	2.0	0.0	1.0	5798555.0	0.53	1	16319.0	0.33	0.07	4	3131.2	0.375	0.384
49	mcp1k	394532	NOBLOB-SLICE	1	1	18	32	274841.7	0.051961585946879	1153	1156	90	102	4	13	1154.4	97.7	0.875	1.0	0.0	2.0	1.0	1.0	5289324.7	0.76	1	16300.6	0.486	0.132	3	2682.0	0.0	0.0
50	mcp1k	395654	NOBLOB-INSLICE	1	1	2	36	250703.8	0.036588986715553204	459	473	715	720	15	6	466.1	718.0	1.0	0.0	0.0	3.0	0.0	1.0	6851892.4	0.73	1	11441.2	0.098	0.225	12	2689.3	1.0	1.0
51	mcp2k	478088	BUNDLE	0	2	42	3625	59780982.0	2.886930013331429	1264	1482	181	826	219	646	1394.0	557.4	1.0	0.0	0.0	3.0	1.0	0.0	20707458.0	21.75	2	88015.0	0.016	0.006	0	4224.0	0.0	0.0
52	mcp1k	353729	BUNDLE	1	2	62	2490	47354902.0	2.1365095015653557	627	831	519	578	205	60	730.8	549.0	1.0	0.0	0.0	3.0	1.0	0.0	22164611.0	6.97	2	129960.0	0.012	0.044	0	3375.5	0.0	0.0
53	mcp2k	241626	BUNDLE	0	1	44	2899	44590707.9	2.5141031051651743	1032	1247	246	427	216	182	1167.9	345.9	0.997	0.0	0.0	3.0	1.0	0.0	17736228.8	8.21	1	112084.7	0.016	0.013	0	2971.9	0.0	0.0
54	mcp2k	321983	BUNDLE	1	2	9	1986	43431393.0	57.15762522487902	198	335	299	856	138	558	267.3	586.9	1.0	0.0	0.0	3.0	22.0	0.0	759853.0	4.68	2	136418.0	0.032	0.012	0	4673.5	0.0	0.0
55	mcp1k	319039	BUNDLE	1	2	13	1545	35871873.0	2.3307543251363114	623	831	344	590	209	247	688.8	457.4	1.0	0.001	0.0	3.0	8.0	0.0	15390671.0	47.15	1	104021.0	0.015	0.071	0	3580.0	0.0	0.0
56	mcp2k	100245	BUNDLE	1	1	6	3365	35165421.8	2.1144371235363213	458	755	336	679	298	344	625.4	521.1	1.0	0.0	0.0	3.0	1.0	0.0	16631103.1	70.67	2	46714.0	0.007	0.017	0	3049.2	0.0	0.0
57	mcp1k	58755	BUNDLE	0	0	7	2699	34757197.2	3.6459348172820296	308	542	418	803	235	386	418.1	683.2	1.0	0.0	0.0	3.0	1.0	0.0	9533137.3	35.66	2	79653.9	0.025	0.016	0	2850.0	0.0	0.0
58	mcp2k	392901	BUNDLE	1	2	17	1809	34099167.0	59.82813815900286	545	812	453	856	268	404	696.5	663.5	1.0	0.0	0.0	3.0	10.05	0.0	569952.0	43.96	2	90583.0	0.02	0.009	0	4011.5	0.0	0.0
59	mcp2k	173671	BUNDLE	1	1	15	1395	33905643.8	1.498008075888527	975	1032	298	743	58	446	1001.9	522.8	0.999	0.0	0.0	3.0	25.0	0.0	22633819.1	2.13	2	120634.6	0.028	0.008	0	3932.6	0.0	0.0
