sample	event	cls	apa	plane	comp	ncell	Q	wmin	wmax	smin	smax	f_cf0	f_qp2v4	fq_cf0	fq_qp2v4	verdict
mcp1k	490361	NOBLOB-INSLICE	0	1	10	36	393178.6	1073	1074	85	102	0.0	0.889	0.0	0.954	qp2v4
mcp1k	492649	NOBLOB-INSLICE	1	1	5	127	945591.2	350	396	451	478	0.0	1.0	0.0	1.0	qp2v4
mcp1k	492649	NOBLOB-INSLICE	1	2	27	54	387670.0	610	631	447	460	0.0	1.0	0.0	1.0	qp2v4
mcp1k	314507	NOBLOB-INSLICE	1	0	12	225	1631438.0	700	769	281	352	0.0	1.0	0.0	1.0	qp2v4
mcp1k	314507	NOBLOB-INSLICE	1	1	14	171	1380636.2	955	1013	396	443	0.053	1.0	0.064	1.0	qp2v4
mcp1k	314507	NOBLOB-INSLICE	1	0	10	132	933148.7	608	651	396	432	0.0	1.0	0.0	1.0	qp2v4
mcp1k	314507	NOBLOB-INSLICE	1	1	11	69	534497.5	884	906	330	352	0.0	1.0	0.0	1.0	qp2v4
mcp1k	319039	NOBLOB-INSLICE	1	2	31	61	499477.0	1157	1179	378	381	0.574	1.0	0.553	1.0	cf0
mcp1k	58607	NOBLOB-INSLICE	1	1	12	46	679938.4	805	810	604	622	0.0	0.761	0.0	0.667	qp2v4
mcp1k	58607	NOBLOB-INSLICE	1	0	86	57	521578.9	978	980	600	622	0.0	0.842	0.0	0.824	qp2v4
mcp1k	58607	NOBLOB-INSLICE	1	1	13	16	142121.0	824	833	621	622	0.0	1.0	0.0	1.0	qp2v4
mcp1k	65999	NOBLOB-INSLICE	0	2	40	53	351486.0	904	925	104	107	0.0	1.0	0.0	1.0	qp2v4
mcp1k	65999	NOBLOB-INSLICE	0	0	49	46	335952.3	1463	1479	92	105	0.565	1.0	0.577	1.0	cf0
mcp1k	65999	NOBLOB-INSLICE	0	1	9	39	276108.9	489	504	93	105	0.0	1.0	0.0	1.0	qp2v4
mcp1k	394532	NOBLOB-SLICE	1	1	18	32	274841.7	1153	1156	90	102	0.0	0.469	0.0	0.619	qp2v4
mcp1k	395654	NOBLOB-INSLICE	1	1	2	36	250703.8	459	473	715	720	0.0	1.0	0.0	1.0	qp2v4
mcp1k	395654	NOBLOB-INSLICE	1	2	6	31	205664.0	550	566	716	720	0.0	1.0	0.0	1.0	qp2v4
mcp1k	49951	NOBLOB-SLICE	1	1	5	49	1271191.7	152	154	79	102	0.0	1.0	0.0	1.0	qp2v4
mcp1k	49951	NOBLOB-SLICE	1	1	3	55	1066387.8	103	106	86	110	0.0	1.0	0.0	1.0	qp2v4
mcp1k	49951	NOBLOB-SLICE	1	0	5	71	984980.4	1100	1102	76	102	0.0	0.986	0.0	0.996	qp2v4
mcp1k	276836	NOBLOB-SLICE	0	2	21	32	283899.0	1025	1029	530	546	0.0	nan	0.0		TILING
mcp1k	276836	NOBLOB-SLICE	0	1	10	32	277635.9	998	1002	530	546	0.0	nan	0.0		TILING
mcp1k	349835	NOBLOB-INSLICE	0	0	6	54	527967.4	684	687	492	506	0.0	nan	0.0		TILING
mcp1k	349835	NOBLOB-INSLICE	0	1	8	45	355360.4	1336	1344	488	496	0.0	nan	0.0		TILING
mcp1k	352233	NOBLOB-INSLICE	0	1	10	77	627247.6	1597	1608	660	693	0.078	nan	0.095		TILING
mcp1k	352233	NOBLOB-INSLICE	0	2	16	63	548404.0	1463	1475	660	693	0.0	nan	0.0		TILING
mcp1k	281505	NOBLOB-INSLICE	0	0	21	118	817547.7	1251	1266	359	390	0.0	nan	0.0		TILING
mcp1k	281505	NOBLOB-INSLICE	0	1	51	50	416304.7	1793	1810	371	387	0.0	nan	0.0		TILING
mcp1k	172266	NOBLOB-SLICE	0	0	6	93	694130.2	466	480	234	275	0.0	nan	0.0		TILING
mcp1k	172266	NOBLOB-SLICE	0	2	15	69	655047.0	340	354	234	275	0.0	nan	0.0		TILING
mcp1k	174422	NOBLOB-SLICE	1	1	4	70	536476.9	392	409	750	778	0.0	nan	0.0		TILING
mcp1k	175808	NOBLOB-INSLICE	0	0	18	33	392978.4	1349	1350	80	102	0.0	nan	0.0		TILING
mcp1k	169356	NOBLOB-INSLICE	1	0	16	104	753108.5	1382	1418	366	400	0.0	nan	0.0		TILING
mcp1k	283009	NOBLOB-INSLICE	0	1	25	74	1129133.7	1576	1586	214	232	0.0	nan	0.0		TILING
mcp2k	179611	NOBLOB-INSLICE	1	1	21	72	478923.4	1242	1263	554	578	0.222	nan	0.218		TILING
mcp2k	179611	NOBLOB-SLICE	1	2	38	110	860229.0	1566	1602	351	400	0.0	nan	0.0		TILING
mcp2k	179611	NOBLOB-SLICE	1	1	31	132	857013.0	1375	1411	351	400	0.0	nan	0.0		TILING
mcp2k	280709	NOBLOB-SLICE	0	0	8	75	1172921.3	603	606	78	102	0.0	nan	0.0		TILING
mcp2k	280709	NOBLOB-SLICE	0	1	11	29	272049.7	1210	1215	94	102	0.0	nan	0.0		TILING
mcp2k	280709	NOBLOB-SLICE	0	0	11	36	269619.7	608	609	82	102	0.0	nan	0.0		TILING
mcp2k	70084	NOBLOB-INSLICE	0	1	6	51	1093442.6	828	830	79	102	0.0	nan	0.0		TILING
mcp2k	72768	NOBLOB-INSLICE	1	1	7	56	446011.7	1117	1126	337	359	0.0	nan	0.0		TILING
mcp2k	72768	NOBLOB-INSLICE	1	2	19	40	398978.0	1196	1204	337	359	0.0	nan	0.0		TILING
mcp2k	52693	NOBLOB-INSLICE	1	1	16	196	1534987.2	700	755	362	433	0.0	nan	0.0		TILING
mcp2k	52693	NOBLOB-INSLICE	1	0	1	81	623625.7	391	414	554	581	0.099	nan	0.11		TILING
mcp2k	52693	NOBLOB-SLICE	1	0	9	145	1145308.9	526	567	358	412	0.0	nan	0.0		TILING
mcp2k	52693	NOBLOB-SLICE	1	0	14	96	808408.8	620	649	256	290	0.0	nan	0.0		TILING
mcp2k	52693	NOBLOB-SLICE	1	1	7	98	793116.1	617	645	256	290	0.0	nan	0.0		TILING
mcp2k	52693	NOBLOB-SLICE	1	1	8	98	758135.5	649	679	297	331	0.0	nan	0.0		TILING
mcp2k	56763	NOBLOB-SLICE	1	1	2	39	602601.2	367	368	83	102	0.0	nan	0.0		TILING
mcp2k	56763	NOBLOB-SLICE	1	0	9	34	261361.2	1165	1167	87	102	0.0	nan	0.0		TILING
mcp2k	396057	NOBLOB-INSLICE	1	0	27	55	376307.8	1775	1783	516	539	0.0	nan	0.0		TILING
mcp2k	396057	NOBLOB-INSLICE	1	2	33	35	295791.0	1326	1331	519	539	0.0	nan	0.0		TILING
mcp2k	396057	NOBLOB-INSLICE	1	0	30	31	214928.2	1786	1790	483	496	0.0	nan	0.0		TILING
mcp2k	396057	NOBLOB-INSLICE	1	2	34	24	214306.0	1337	1340	483	496	0.0	nan	0.0		TILING
mcp2k	396057	NOBLOB-INSLICE	1	2	28	24	194544.0	1317	1321	560	571	0.0	nan	0.0		TILING
mcp2k	393758	NOBLOB-INSLICE	0	1	3	45	306553.9	638	642	90	103	0.0	nan	0.0		TILING
mcp2k	393758	NOBLOB-INSLICE	0	0	8	31	278280.1	1108	1109	87	102	0.0	nan	0.0		TILING
mcp2k	74336	NOBLOB-SLICE	0	2	10	62	519229.0	351	365	556	591	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-INSLICE	1	0	12	54	388631.5	1141	1151	697	717	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-INSLICE	1	0	9	49	378841.5	1115	1124	639	657	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-INSLICE	1	1	5	43	369025.7	115	124	639	657	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-INSLICE	1	1	3	46	367172.2	88	98	697	717	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-INSLICE	1	0	7	47	356300.9	1093	1103	592	610	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-INSLICE	1	1	7	41	341314.3	136	145	592	610	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-SLICE	1	1	2	158	1263534.4	56	87	722	791	0.0	nan	0.0		TILING
mcp2k	400185	NOBLOB-SLICE	1	0	13	164	1196715.7	1151	1183	722	791	0.0	nan	0.0		TILING
mcp2k	403397	NOBLOB-INSLICE	0	1	8	70	531345.7	1085	1093	505	537	0.0	nan	0.0		TILING
mcp2k	403397	NOBLOB-INSLICE	0	2	25	56	479170.0	746	754	505	537	0.0	nan	0.0		TILING
mcp2k	403397	NOBLOB-INSLICE	0	1	12	48	375871.7	1101	1107	452	470	0.0	nan	0.0		TILING
mcp2k	403397	NOBLOB-INSLICE	0	2	31	32	293660.0	767	774	431	448	0.0	nan	0.0		TILING
mcp2k	393089	NOBLOB-SLICE	0	2	37	159	1193353.0	1452	1515	70	97	0.0	nan	0.0		TILING
mcp2k	393089	NOBLOB-SLICE	0	1	30	70	492247.4	1605	1632	85	97	0.0	nan	0.0		TILING
mcp2k	393089	NOBLOB-SLICE	0	2	35	65	457061.0	1372	1400	121	132	0.0	nan	0.0		TILING
