idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1958920	0	nan
1	6505	130	13	1863776	0	nan
2	6512	130	14	1776124	0	nan
3	6520	130	17	1840744	0	nan
4	6528	130	12	1955520	0	nan
5	6529	130	12	1886476	0	nan
6	6532	130	19	2206740	0	nan
7	6536	130	12	1897072	0	nan
8	6545	130	15	1961624	0	nan
9	6550	130	11	1736560	0	nan
10	6570	131	22	2165520	0	nan
11	6588	131	10	1747448	0	nan
12	6604	132	28	2311068	0	nan
13	6606	132	14	2052436	0	nan
14	6612	132	15	2152016	0	nan
15	6642	132	19	2183992	0	nan
16	6650	132	14	2102888	0	nan
17	6711	134	11	1831208	0	nan
18	6748	134	14	1850408	0	nan
19	6775	135	12	1829356	0	nan
20	6786	135	19	2072092	0	nan
21	6804	136	14	1894324	0	nan
22	6805	136	13	2019452	0	nan
23	6806	136	13	2091768	0	nan
24	6821	136	14	1861024	0	nan
25	6822	136	17	2241684	0	nan
26	6837	136	15	2152136	0	nan
27	6844	136	15	2087456	0	nan
28	6852	137	15	1919880	0	nan
29	6867	137	13	1848904	0	nan
30	6874	137	23	2239064	0	nan
31	6878	137	18	2026152	0	nan
32	6887	137	12	1847972	0	nan
33	6888	137	22	2129328	0	nan
34	6898	137	12	1819480	0	nan
