# nuecc48 events NOT passing nue_score >= 4.3; 16 of 48
bee_idx	sample	run	subrun	event	nu_evaluated	numu_score	nue_score	cosmict_flag	kine_reco_Enu_MeV	event_label
0	nuecc48	18342	1	30504	1	-0.9888835	-1.3878838	0.0	1251.1335	nu-candidate
1	nuecc48	18304	1	38856	1	0.5968881	-0.3668464	0.0	1280.3975	nu-candidate
2	nuecc48	18259	1	52672	1	-0.5090873	-4.300936	0.0	927.5946	nu-candidate
3	nuecc48	18255	1	69314	1	3.9602425	-15.0	0.0	1498.7476	nu-candidate
4	nuecc48	18259	1	111412	1	0.071648054	0.037387524	0.0	1019.3728	nu-candidate
5	nuecc48	18259	1	116962	1	1.4687546	-4.300936	0.0	773.0057	cosmic-tagged
6	nuecc48	18255	1	122660	1	-0.06363517	2.3394418	0.0	1334.3505	nu-candidate
7	nuecc48	18264	1	137238	1	1.1364765	-3.414522	0.0	739.1822	nu-candidate
8	nuecc48	18255	1	163543	1	0.33249018	1.402207	0.0	1270.0134	nu-candidate
9	nuecc48	18255	1	196649	1	-1.1169435	4.242424	0.0	1614.1888	nu-candidate
10	nuecc48	18255	1	235435	1	-0.2101675	-15.0	0.0	427.54205	nu-candidate
11	nuecc48	18255	1	389538	1	4.301008	-15.0	0.0	985.6946	nu-candidate
12	nuecc48	18355	1	400474	1	-0.06853404	4.15911	0.0	1799.0825	nu-candidate
13	nuecc48	18255	1	423981	1	0.013294962	3.4017913	0.0	2132.617	nu-candidate
14	nuecc48	18255	1	447477	0	-	-	-	-	nu-candidate
15	nuecc48	18255	1	469665	1	-1.5343628	1.2254568	0.0	876.33636	nu-candidate
