# ncpi0 events passing numu_score > 0.9; 8 of 18 evaluated
bee_idx	sample	run	subrun	event	nu_evaluated	numu_score	nue_score	cosmict_flag	kine_reco_Enu_MeV	event_label
0	ncpi0	18259	1	18625	1	2.4094594	-15.0	0.0	1478.158	nu-candidate
1	ncpi0	18345	1	21073	1	0.93239653	-15.0	0.0	1018.9744	nu-candidate
2	ncpi0	18255	1	56982	1	1.1116161	-1.2854422	0.0	1231.2183	nu-candidate
3	ncpi0	18255	1	71372	1	2.625735	-15.0	0.0	2597.3179	nu-candidate
4	ncpi0	18255	1	142421	1	3.601646	-15.0	0.0	2768.233	nu-candidate
5	ncpi0	18255	1	180801	1	1.356455	-3.2104573	0.0	1324.0621	nu-candidate
6	ncpi0	18261	1	285567	1	0.9874169	-15.0	0.0	1935.1533	nu-candidate
7	ncpi0	18255	1	506746	1	1.1115888	-15.0	0.0	1925.981	nu-candidate
