# cosmic-tagged, lowest numu_score; pool = 102 events of 1312 PR-evaluated mcp1k+mcp2k
bee_idx	sample	run	subrun	event	numu_score	nue_score	kine_reco_Enu_MeV	event_label
0	mcp2k	18259	1	172262	-3.588	-15.000	346.82446	cosmic-tagged
1	mcp1k	18255	1	401450	-3.575	0.982	1609.3029	cosmic-tagged
2	mcp2k	18259	1	172012	-3.359	-15.000	461.67392	cosmic-tagged
3	mcp2k	18255	1	319275	-3.168	-15.000	513.84753	cosmic-tagged
4	mcp2k	18255	1	75113	-2.850	-15.000	200.10464	cosmic-tagged
5	mcp2k	18255	1	91609	-2.653	-15.000	49.048363	cosmic-tagged
6	mcp2k	18255	1	414442	-2.441	-15.000	426.65942	cosmic-tagged
7	mcp2k	18255	1	73038	-2.243	-15.000	51.340187	cosmic-tagged
8	mcp2k	18255	1	287332	-2.211	-15.000	284.33954	cosmic-tagged
9	mcp1k	18255	1	288327	-1.961	-15.000	522.7613	cosmic-tagged
