event	nticks	nchan	tick_ns	frame_t	fs_nsamp	n_fs	n_snip	snip_max	tc_type	trig_minus_fs_us	tpcframe_minus_fs_us	trig_in_tpc_us	fs_minus_chain_t0_us	beam_on_flash_axis_us	offset_top_us	charge_bde_us	cert_crp	cert_tick	trig_tpc_tick
2001	6400/6400/6400/6400	1536/1536/1536/1536	512.000	12.000	331264	16	2692	1024	22	2500.080	2075.488	424.592	307.392	2807.472	-2382.880	0.000	5	2177	849.184
36591	6400/6400/6400/6400	1536/1536/1536/1536	512.000	62.000	331328	16	2722	1024	22	2500.304	2075.488	424.816	377.616	2877.920	-2453.104	0.000	4	2305	849.632
69596	6400/6400/6400/6400	1536/1536/1536/1536	512.000	115.000	331328	16	2732	1024	22	2500.512	2081.120	419.392	320.736	2821.248	-2401.856	0.000	6	2192	838.784
157312	6400/6400/6400/6400	1536/1536/1536/1536	512.000	55.000	331328	16	2705	1024	22	2500.608	2082.656	417.952	292.976	2793.584	-2375.632	0.000	4	2170	835.904
191916	6400/6400/6400/6400	1536/1536/1536/1536	512.000	0.000	331328	16	2699	1024	22	2500.784	2100.064	400.720	364.768	2865.552	-2464.832	0.000	4	2214	801.440
245576	6400/6400/6400/6400	1536/1536/1536/1536	512.000	70.000	331264	16	2718	1024	22	2500.160	2071.392	428.768	195.616	2695.776	-2267.008	0.000	4	2479	857.536
317673	6400/6400/6400/6400	1536/1536/1536/1536	512.000	54.000	331328	16	2665	1024	22	2500.592	2098.272	402.320	316.176	2816.768	-2414.448	0.000	7	2047	804.640
326459	6400/6400/6400/6400	1536/1536/1536/1536	512.000	77.000	331328	16	2663	1024	22	2501.008	2069.600	431.408	362.672	2863.680	-2432.272	0.000	4	2392	862.816
351293	6400/6400/6400/6400	1536/1536/1536/1536	512.000	69.000	331328	16	2643	1024	22	2500.816	2078.048	422.768	224.432	2725.248	-2302.480	0.000	6	2082	845.536
408552	6400/6400/6400/6400	1536/1536/1536/1536	512.000	126.000	331328	16	2601	1024	22	2500.400	2084.960	415.440	259.024	2759.424	-2343.984	0.000	6	2227	830.880
