event	kind	main_id	side	flash_t	label	k_npts	k_len	k_len_nusel	k_dcath	k_dirx	k_rms	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_rms	p_matched	p_beam	gap2d	angle	other_beam_flash_empty	y_cath	z_cath
65289	MISSING	14	0	1.746	nu-candidate	5590	242.5	186.6	2.59	0.7478	0.4569	12	731	88.37	88.36	731	1.38	0.5129	1	0	6.304	13.18	0	157.5	386.5
65053	MISSING	9	1	0.735	nu-candidate	561	46	46	0.8694	0.321	0.8418	9	1005	117.2	73.51	696	1.067	0.7139	1	0	6.012	1.725	0	-138.9	47.35
169208	already-in-main	10	0	2.03	TGM	915	100.6	395.9	0.4486	0.6972	0.4973	21	4331	293.6	293.6	3853	0.4419	0.4935	1	1	1.739	1.337	0	-137.8	154.5
285652	already-in-main	18	0	0.644	TGM	3265	241.9	486	0.2282	0.8247	0.5107	20	4548	242.7	242.7	2992	0.7545	0.4527	1	1	1.088	0.2839	0	58.2	204.2
285652	already-in-main	18	1	0.644	TGM	4545	242.2	486	0.8551	0.8221	0.4527	10	3271	242.7	242.7	2858	0.1293	0.5112	1	1	1.043	0.3342	0	58.4	203.6
409282	already-in-main	9	1	0.636	TGM	2105	234.9	476.7	0.8555	0.8524	0.4311	7	2402	242.1	242.2	2159	0.1293	0.4626	1	1	2.279	1.555	0	-15.7	211.2
52195	already-in-main	13	1	0.566	TGM	2125	196.2	399.7	0.8454	0.6467	0.6545	9	2073	235.9	236.1	1476	0.4419	1.347	1	1	3.617	2.654	0	-46.53	322.3
409282	already-in-main	9	0	0.636	TGM	2377	240.5	476.7	0.2287	0.8378	0.4622	11	2107	235.1	235.1	2090	0.7545	0.4311	1	1	2.282	1.59	0	-15.87	211.8
313979	already-in-main	12	0	1.54	nu-candidate	693	51.49	266	0.3698	0.4344	0.4972	19	1802	216.7	199	1600	1.067	0.5619	1	1	3.932	2.142	0	-59.91	297
288952	already-in-main	8	1	2.177	TGM	1399	117.9	429.6	1.095	0.3357	0.5646	9	3114	311.6	198.4	1210	0.1293	0.5691	1	1	6.769	0.9175	0	-89.43	145.6
52195	already-in-main	13	0	0.566	TGM	10707	399.6	399.7	0.5304	0.62	1.347	24	2125	196.2	196.1	2053	0.7545	0.6545	1	1	3.74	2.654	0	-46.77	323.1
51051	already-in-main	19	0	1.101	nu-candidate	400	91.16	304	0.3014	0.4918	0.4756	22	1857	211.6	190	1606	0.7545	0.5562	1	1	2.373	0.2477	0	-45.42	328.8
174422	already-in-main	13	0	0.679	STM	2111	205.3	385.4	0.2354	0.3975	0.6391	16	2058	180.5	180.6	1996	0.4419	0.6206	1	1	4.355	2.757	0	-112.2	185.2
