event	kind	gid	apa	t0	dx	k_npts	k_len	k_dcath	k_dirx	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_dx	disp	p_inrange	gap2d	angle	y_cath	z_cath
404772	crosser-ok	19	1	-2.886	-0.4511	2254	263.5	0.3034	0.4209	8	5353	521	495.4	4251	3.117	-0.3708	0.8219	0.9991	1.017	4.055	-106.2	469.4
321371	other-flash	15	0	53.82	-8.412	720	500.8	0.101	0.3886	18	3739	343.2	343.1	3450	0.101	12.48	4.072	0.9783	14.99	1.414	-98.37	12.67
62209	crosser-ok	2	0	6.31	-0.9863	2417	219.6	0.1778	0.6866	18	3431	276.8	276.8	3030	0.4904	-0.1715	1.158	0.9985	0.6409	4.018	-91.64	235
317939	crosser-ok	18	1	-714.4	-111.7	3118	313.4	0.6995	0.4002	6	3697	304.3	266.8	2772	0.0749	110.7	0.9721	1	3.682	2.316	-44.94	235.4
51051	crosser-ok	4	0	86.19	-13.47	1560	158.6	0.1592	0.4555	20	3147	328.9	254.4	2174	2.035	13.2	0.2715	1	5.24	1.144	70.51	272.5
284637	crosser-ok	7	0	-656.3	102.6	223	26.98	0.08938	0.5539	24	2795	248.7	248.6	2650	0.0892	-101.8	0.8049	1	0.7439	2.695	-176.6	141.2
317939	crosser-ok	7	0	-708.1	110.7	3697	304.3	1.047	0.3807	23	3118	313.4	240.9	2330	1.672	-111.7	0.9721	1	8.146	2.315	-44.93	235.4
395720	crosser-ok	11	1	154.2	24.1	1990	251.9	2.971	0.8672	4	2485	232.9	232.9	2461	1.095	-22.93	1.166	0.9928	2.454	0.8726	26.73	308.3
395720	crosser-ok	3	0	146.7	-22.93	2477	232.3	0.2415	0.8655	19	2013	251.9	230	1980	1.805	24.1	1.166	0.997	1.107	0.8452	26.75	308.3
169824	crosser-ok	19	0	-3.141	0.4909	3070	260.7	0.2636	0.7679	15	2520	234.2	229.2	2221	1.514	0	0.4909	1	1.12	2.685	50.87	429.9
71376	crosser-ok	11	0	-89.92	14.06	178	134.6	1.704	0.3246	18	3454	325.3	221.2	1378	2.954	-13.68	0.3779	1	1.423	9.847	181.6	380.7
349087	crosser-ok	1	0	-174.3	27.24	2274	263.1	0.3975	0.5057	20	1841	215	215	1806	0.7101	-27.51	0.2701	1	1.785	3.556	19.49	81.28
292533	crosser-ok	21	0	169.2	-26.45	4247	476.7	0.008276	0.385	19	2434	205.5	205.4	2247	0.3209	27.09	0.6371	1	0.7352	6.02	27.52	403.6
398084	crosser-ok	4	0	-350.4	54.77	436	37.22	0.06048	0.4727	16	3492	392.5	199.4	1709	0.9983	-54.61	0.1618	1	2.663	5.072	-168.6	238.4
409546	other-flash	6	1	-1111	-173.6	956	79.57	1.247	0.3056	9	2853	212.9	198.7	2670	0.00365	111.1	62.52	0.9902	6.218	0.9668	121.3	359.8
347371	other-flash	1	0	-317.1	49.57	1911	203.7	3.389	0.8772	25	2043	217.3	197.5	982	2.763	62.76	112.3	0.9834	1.541	1.124	103.4	160.4
286114	other-flash	18	1	-632.8	-98.91	1835	112.2	0.9413	0.7202	13	2293	194.1	194.1	2214	0.0034	51.87	47.03	0.9983	2.403	1.235	122.4	314.1
62943	crosser-ok	18	1	-570.5	-89.16	750	81.15	0.6826	0.4608	11	1561	235.3	185.8	1510	0.05744	89.36	0.1993	1	2.758	2.598	157	173.3
290800	crosser-ok	9	0	-609.7	95.3	1549	186.6	0.1706	0.7674	19	1979	184.1	178.7	1622	0.7957	-95.9	0.5947	1	2.281	3.839	-92.58	401.3
61997	other-flash	4	0	-477.8	74.67	2817	254.5	1.104	0.6048	14	1496	176.4	176.4	1487	1.104	0.072	74.75	1	1.389	3.384	32.41	62.37
