event	kind	main_id	side	flash_t	label	k_npts	k_len	k_len_nusel	k_dcath	k_dirx	k_rms	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_rms	p_matched	p_beam	gap2d	angle	other_beam_flash_empty	y_cath	z_cath
398115	MISSING	11	0	1.857	nu-candidate	1227	242.3	117.4	0.4195	0.417	0.8784	16	4085	341.5	325.3	3425	1.067	0.6432	1	1	5.78	2.024	0	-81.39	472.7
237798	MISSING	11	0	1.567	nu-candidate	5842	318	251.2	0.3743	0.7529	0.4922	13	1505	164	140.9	1202	0.1293	0.5295	1	1	0.4976	4.724	0	118.8	106.1
237798	MISSING	9	1	0.393	nu-candidate	1505	164	164	0.1907	0.7529	0.5295	7	2208	252.2	112.7	856	0.1293	0.4922	1	1	0.339	4.724	0	118.8	105.4
493439	MISSING	11	0	0.989	nu-candidate	356	35.37	35.5	0.284	0.9391	0.4542	18	1409	112.4	78.82	717	0.7545	0.4444	1	0	1.171	1.206	1	-129.5	193
78242	MISSING	8	0	1.907	nu-candidate	2512	165.9	168.3	0.4274	0.5204	0.5553	24	1542	164.7	74.2	734	0.4419	0.628	1	0	2.1	1.525	0	18.44	198.2
398115	MISSING	6	1	0.529	nu-candidate	4085	341.5	341.5	1.15	0.4051	0.6432	8	846	97.09	72.17	830	0.1293	0.8786	1	1	5.491	2.078	0	-81.6	472.2
51128	MISSING	22	1	1.67	nu-candidate	1097	296.8	109.2	0.07768	0.738	0.4203	7	3089	283.3	54.21	546	0.1293	1.328	1	0	2.66	9.031	0	196.2	38.75
317427	MISSING	9	0	0.912	nu-candidate	2790	287	287	0.2719	0.7065	0.7105	23	1376	140.9	48.48	444	0.4419	1.561	1	0	0.5259	6.655	0	126.7	164.1
319913	MISSING	6	0	0.745	nu-candidate	524	54.35	54.4	0.2458	0.6474	0.5425	13	104	8.68	8.68	104	0.7545	1.048	1	0	2.96	15.61	0	-111.8	355.6
167964	MISSING	19	1	2.026	TGM	2467	225.5	225.5	0.4459	0.8878	0.4197	7	5808	262.9	7.894	84	0.1293	0.5802	1	0	2.582	6.322	0	196.3	102.4
165060	already-in-main	10	0	2.041	TGM	1916	173.9	560.3	0.4502	0.4069	0.5777	20	4103	384.8	384.8	3946	0.1293	0.5803	1	1	3.111	1.171	0	65.26	156.5
394131	already-in-main	26	1	1.083	TGM	1202	180	497	1.235	0.5482	0.5754	13	3510	368	368	3413	0.1293	0.5485	1	1	3.509	0.3668	0	131.9	325.9
73450	already-in-main	17	0	0.874	TGM	1908	215.3	543.1	0.2641	0.6226	0.5189	16	3137	326.6	326.6	2940	0.7545	0.5593	1	1	2.209	1.085	0	54.16	208.8
57148	already-in-main	15	1	0.533	TGM	2150	481.6	432	3.025	0.6267	1.086	5	2965	320.6	320.3	1860	2.943	1.558	1	1	2.289	5.452	0	128.2	120.3
78369	already-in-main	7	1	1.281	TGM	1356	130.3	443.7	0.6421	0.6275	1.667	6	4573	309.8	309.8	3998	0.4419	0.8117	1	1	10.09	2.245	0	37.11	54.5
161725	already-in-main	13	0	1.002	TGM	1463	148.6	457.4	0.5986	0.5896	0.5558	8	2828	309.6	309.5	2828	0.1293	0.8833	1	1	3.192	3.715	0	93.62	94.68
76147	already-in-main	5	0	1.182	STM	233	25.3	363.8	0.004745	0.6456	0.5133	20	3403	353	309.2	1600	1.067	0.5349	1	1	3.402	3.181	0	-178.3	301
280857	already-in-main	8	1	1.43	TGM	869	67.95	372.6	0.6647	0.6573	1.513	8	3164	317.6	304.4	3069	0.1293	0.5351	1	1	1.56	0.5296	0	151.3	209.8
388433	already-in-main	17	0	2.042	TGM	368	38.09	336	0.451	0.6936	0.4808	17	3071	296.4	273.3	2650	0.4419	0.4915	1	1	1.811	4.128	0	-171.9	110.8
53793	already-in-main	12	1	1.102	nu-candidate	2211	161.9	424.8	3.739	0.4865	0.5596	11	2374	251.5	245.7	1039	3.568	0.5772	1	1	4.901	3.528	0	1.328	250.2
395003	already-in-main	16	1	1.717	TGM	2921	262.9	556.6	0.3977	0.6861	0.4664	9	3001	291.7	243.3	2485	0.1293	0.4786	1	1	0.4051	0.8278	0	16.32	39.25
407798	already-in-main	25	1	1.519	TGM	2030	241.1	473.2	0.9919	0.8891	0.4381	6	2527	225	225	2367	1.067	0.4835	1	1	1.975	0.2896	0	-39.88	82.78
52638	already-in-main	16	1	1.846	TGM	681	128.9	402.4	0.4174	0.5897	0.5261	8	2352	280.1	224.8	1881	0.4419	0.8731	1	1	1.047	0.6954	0	157.4	109.3
172015	already-in-main	12	1	0.639	TGM	1573	211.3	442.9	0.5404	0.8783	0.5114	1	2293	229.7	224	1952	0.1293	0.4962	1	1	0.5196	1.893	0	119.7	162.4
158601	already-in-main	12	0	1.783	TGM	1956	190.7	415.6	0.09534	0.579	1.401	16	2543	222.3	222.3	2407	1.38	0.4751	1	1	2.354	2.807	0	26.21	467.8
51208	already-in-main	11	1	1.487	TGM	775	505.6	454.7	0.9896	0.4844	0.5158	1	3827	387.4	220.2	2123	0.1293	0.5582	1	1	4.488	1.764	0	-139.7	171.7
54717	already-in-main	13	1	1.317	TGM	1083	130.8	476.7	0.9594	0.4706	0.5552	5	3236	343.9	217.3	1719	0.1293	0.6178	1	1	2.149	1.411	0	88.55	231
73450	already-in-main	17	1	0.874	TGM	4570	397.2	543.1	0.8911	0.6107	0.5593	6	1911	215.5	215.5	1911	0.1293	0.5178	1	1	2.06	1.084	0	54.41	208
318749	already-in-main	13	0	1.11	TGM	2225	218.4	437.6	0.3028	0.9058	0.432	11	2522	217.6	212.2	2151	0.7545	1.358	1	1	1.34	1.521	0	90.9	352.3
318749	already-in-main	13	1	1.11	TGM	2526	217	437.6	0.93	0.9129	1.358	5	2232	219.1	212.2	1407	0.1293	0.4312	1	1	1.351	1.473	0	91.11	351.6
