mode,sample,apa,event,flash_index,time_ns,total_pe,n_active_pmt,n_zero_excl_chmask,n_zero_incl_chmask,min_pe_active,min_nonzero_pe
mc,10,0,2,0,-1.19678e+06,33638.1,53,4,11,0,219.203
mc,10,0,2,1,-1.06887e+06,15394.8,53,4,11,0,8.80935
mc,10,0,2,2,1.02663e+06,23083.5,53,4,11,0,120.103
mc,10,0,2,3,-1.23539e+06,21007.4,53,4,11,0,150.528
mc,10,0,2,4,-393932,25561.9,53,4,11,0,54.0375
mc,10,0,2,5,156939,13696.5,53,4,11,0,24.3438
mc,10,0,2,6,-1.17912e+06,17834.6,53,4,11,0,8.40215
mc,10,0,2,7,-1.09012e+06,5716.15,53,6,13,0,0.927625
mc,10,0,2,8,-725624,9752.31,53,4,11,0,50.7724
mc,10,0,2,9,-1.44146e+06,10013.2,53,4,11,0,33.9478
mc,10,0,2,10,1435.61,10466.8,53,4,10,0,14.1812
mc,10,0,2,11,851456,1975.1,53,9,16,0,1.74535
mc,10,0,2,12,475103,3178.03,53,15,22,0,1.69545
mc,10,0,2,13,-1.0998e+06,1932.91,53,11,18,0,2.58228
mc,10,0,2,14,993551,679.307,53,17,24,0,1.4027
mc,10,0,2,15,-480039,577.808,53,22,29,0,3.10875
mc,10,0,2,16,-515342,686.184,53,18,25,0,1.3866
mc,10,0,2,17,348725,485.952,53,28,35,0,2.2387
mc,10,0,2,18,-1.18776e+06,127.366,53,19,26,0,0.6558
mc,10,0,9,0,-460959,23087.8,53,4,11,0,4.36505
mc,10,0,9,1,655.579,14089.1,53,4,10,0,34.271
mc,10,0,9,2,-1.4196e+06,7167.64,53,4,11,0,39.1108
mc,10,0,9,3,382339,7540.27,53,4,11,0,21.3372
mc,10,0,9,4,-512283,4436.56,53,5,12,0,2.4774
mc,10,0,9,5,-856890,2563.07,53,4,11,0,3.49777
mc,10,0,9,6,706710,2391.57,53,6,13,0,3.14212
mc,10,0,9,7,1.18822e+06,744.835,53,14,21,0,1.33965
mc,10,0,9,8,-156240,999.123,53,20,27,0,1.4514
mc,10,0,9,9,204645,681.094,53,25,32,0,1.32225
mc,10,0,9,10,-1.04544e+06,175.435,53,32,39,0,1.2162
mc,10,0,9,11,832956,415.708,53,25,32,0,1.13705
mc,10,0,9,12,-1.2888e+06,110.389,53,31,38,0,1.487
mc,10,0,9,13,-1.33356e+06,195.494,53,31,38,0,1.182
mc,10,0,9,14,517430,204.241,53,41,48,0,1.8087
mc,10,0,9,15,966014,46.4999,53,44,51,0,1.94045
mc,10,0,11,0,-421274,10475.6,53,5,12,0,0.54025
mc,10,0,11,1,-1.02639e+06,13264.3,53,4,11,0,6.48333
mc,10,0,11,2,530353,18835.5,53,4,11,0,100.839
mc,10,0,11,3,1.13769e+06,12079.4,53,5,12,0,3.7834
mc,10,0,11,4,935813,8885.5,53,7,14,0,2.8323
mc,10,0,11,5,96493.2,16355.2,53,4,11,0,63.8298
mc,10,0,11,6,775279,20725.2,53,4,11,0,126.617
mc,10,0,11,7,1.0094e+06,11171,53,4,11,0,62.3861
mc,10,0,11,8,-432199,5768.72,53,9,16,0,1.42235
mc,10,0,11,9,-985620,5493.17,53,7,14,0,1.2576
mc,10,0,11,10,777.188,7515.81,53,4,10,0,28.3666
mc,10,0,11,11,-467712,4713.23,53,4,11,0,2.9082
mc,10,0,11,12,1.0183e+06,3081.86,53,4,11,0,19.011
mc,10,0,11,13,1.30092e+06,2244.52,53,6,13,0,2.4095
mc,10,0,11,14,-259604,1811.84,53,4,11,0,2.7276
mc,10,0,11,15,1.40921e+06,2001.2,53,6,13,0,3.671
mc,10,0,11,16,1.25328e+06,1043.47,53,10,17,0,1.18965
mc,10,0,11,17,-1.31836e+06,1010.37,53,7,14,0,1.39885
mc,10,0,11,18,-1.33201e+06,952.332,53,20,27,0,1.4277
mc,10,0,11,19,463681,187.417,53,39,46,0,1.837
mc,10,0,11,20,-1.01123e+06,282.247,53,28,35,0,0.7676
mc,10,0,11,21,973706,181.585,53,38,45,0,2.29712
mc,10,0,11,22,291479,286.224,53,23,30,0,1.648
mc,10,0,11,23,500544,121.429,53,38,45,0,1.98755
mc,10,0,11,24,-709074,96.0814,53,34,41,0,1.491
mc,10,0,11,25,118115,173.576,53,32,39,0,1.6652
mc,10,0,11,26,511735,59.1712,53,36,43,0,1.038
mc,10,0,11,27,450789,39.5945,53,39,46,0,1.3408
mc,10,0,11,28,-1.36107e+06,45.3112,53,44,51,0,1.78188
mc,10,0,12,0,-962391,68510.7,53,4,11,0,6.356
mc,10,0,12,1,-942941,31987.9,53,4,11,0,76.4705
mc,10,0,12,2,484106,30910.1,53,4,11,0,97.1601
mc,10,0,12,3,818033,21942.2,53,4,11,0,34.0798
mc,10,0,12,4,1.22411e+06,15277.8,53,4,11,0,29.9835
mc,10,0,12,5,-1.35066e+06,11980.8,53,4,11,0,45.2669
mc,10,0,12,6,-557879,13457.4,53,4,11,0,29.805
mc,10,0,12,7,671928,6651.38,53,4,11,0,38.3638
mc,10,0,12,8,-289453,7234.75,53,4,11,0,19.3484
mc,10,0,12,9,-416279,4856.84,53,16,23,0,1.31765
mc,10,0,12,10,-71048.9,2473.12,53,10,17,0,1.00415
mc,10,0,12,11,1.16288e+06,2328.66,53,10,17,0,2.8552
mc,10,0,12,12,1.38763e+06,1047.35,53,24,31,0,1.4595
mc,10,0,12,13,-1.29445e+06,995.471,53,19,26,0,1.87642
mc,10,0,12,14,-1.19e+06,456.53,53,14,21,0,1.6448
