event	kind	gid	apa	t0	dx	k_npts	k_len	k_dcath	k_dirx	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_dx	disp	p_inrange	gap2d	angle	y_cath	z_cath
398115	crosser-ok	11	0	1.857	-0.2902	1227	242.3	0.4195	0.417	16	4085	341.5	325.3	3425	1.357	0.0827	0.2075	1	5.767	2.024	-81.63	472.5
159305	crosser-ok	10	0	-80.56	12.59	11279	427.9	0.9794	0.4861	18	2961	322.8	322.3	2864	2.542	-13.76	1.169	1	7.968	0.4765	20.61	316.8
290938	crosser-ok	21	0	-224.6	35.1	3294	212.5	2.541	0.3478	16	3237	319.9	319.9	3018	0.0398	-34.63	0.4745	0.9997	6.055	2.33	98.8	282.3
98947	crosser-ok	25	0	166.5	-26.02	3788	211.6	1.764	0.6226	23	3112	316.7	316.6	2355	1.764	24.9	1.114	0.9682	2.53	1.033	25.47	105.8
394880	crosser-ok	20	1	114.5	17.9	6347	416.6	0.5238	0.7108	8	3380	282.8	282.8	3209	0.1015	-18.7	0.7981	0.9953	0.5824	0.8353	68.34	408.6
92134	other-flash	5	0	-69.6	10.88	3123	303.3	2.38	0.6289	19	3107	279.8	279.8	2799	3.006	2.963	13.84	1	1.778	2.201	-2.46	149
79418	crosser-ok	6	0	-2.759	0.4312	2573	243.2	0.01074	0.5704	16	3473	337.6	278.2	2128	0.9485	0.3616	0.7928	0.9954	2.755	1.037	11.19	322.1
159305	crosser-ok	13	1	-88.04	-13.76	2967	322.8	1.373	0.4932	5	2880	311.3	274.8	2705	0.1225	12.59	1.169	0.975	3.692	0.4766	20.67	316.8
177477	crosser-ok	11	1	-302.6	-47.3	800	84.75	1.6	0.6904	10	2762	268.7	268.6	2545	0.0369	46.14	1.15	0.9978	0.8283	1.023	80	460
285961	crosser-ok	12	0	-549.5	85.89	5648	373.1	0.5125	0.364	17	3036	292.4	262.3	2383	2.075	-86.37	0.4753	1	8.086	0.05899	67.44	323.8
393505	other-flash	4	0	-80.34	12.56	3388	311.8	0.07667	0.599	19	3080	315.5	257.8	2652	1.014	0.1695	12.73	1	3.162	3.479	-13.24	222.6
