run,subRun,event
18255,1,69314
18255,1,433451
18255,1,90055
18255,1,196649
18253,1,172230
18255,1,219295
18255,1,122660
18255,1,239794
18255,1,388
18255,1,138009
18255,1,268784
18255,1,269774
18255,1,422851
18255,1,46363
18259,1,74544
18253,1,444187
18264,1,137238
18304,1,38856
18342,1,30504
18306,1,256587
18255,1,10550
18255,1,360535
18255,1,235435
18255,1,389538
18259,1,116962
18255,1,234638
18269,1,342199
18409,1,214469
18313,1,81597
18355,1,400474
18279,1,267597
18255,1,246579
18255,1,469665
18259,1,42280
18255,1,423981
18255,1,437699
18255,1,489330
18255,1,163543
18259,1,131357
18255,1,447477
18259,1,111412
18255,1,350186
18259,1,52672
18259,1,54095
18255,1,268067
18255,1,271851
18255,1,168596
18255,1,174637
