sample	event	nflash	nclus	n_noflash	n_correct	n_wrong	n_oob	note
mcp1k	48301	10	15	0	11	4	0	
mcp1k	48367	13	22	0	10	12	0	
mcp1k	48565	17	17	0	10	7	0	
mcp1k	48895	15	17	0	9	8	0	
mcp1k	49445	19	20	0	12	8	0	
mcp1k	49467	17	21	1	8	11	1	
mcp1k	49511	15	18	0	10	7	1	
mcp1k	49709	16	20	0	13	7	0	
mcp1k	49885	15	18	0	10	8	0	
mcp1k	49951	11	17	0	11	6	0	
mcp1k	50017	12	17	0	8	9	0	
mcp1k	50303	15	14	0	7	6	1	
mcp1k	50523	11	14	1	5	7	1	
mcp1k	50743	13	18	0	8	8	2	
mcp1k	50765	13	15	0	10	5	0	
mcp1k	50787	15	8	0	5	3	0	
mcp1k	50809	16	20	0	13	7	0	
mcp1k	50831	15	15	0	5	10	0	
mcp1k	50919	11	13	0	7	6	0	
mcp1k	51051	18	19	0	11	8	0	
mcp1k	51469	19	25	0	11	14	0	
mcp1k	51513	19	17	0	5	12	0	
mcp1k	51865	12	14	0	5	7	2	
mcp1k	52085	9	11	0	7	4	0	
mcp1k	52195	13	16	0	10	6	0	
mcp1k	52613	12	12	0	6	6	0	
mcp1k	52657	23	26	1	15	10	0	
mcp1k	52723	13	15	0	10	5	0	
mcp1k	53361	23	28	0	13	15	0	
mcp1k	53427	12	16	1	9	6	0	
mcp1k	53493	15	16	0	9	7	0	
mcp1k	53581	9	10	0	4	5	1	
mcp1k	53713	16	17	0	10	7	0	
mcp1k	53779	14	19	0	12	7	0	
mcp1k	53955	15	22	0	15	7	0	
mcp1k	54175	13	20	0	9	11	0	
mcp1k	54209	15	16	0	7	9	0	
mcp1k	54285	13	14	0	5	9	0	
mcp1k	54341	20	24	0	6	18	0	
mcp1k	54351	15	18	0	11	7	0	
mcp1k	54505	13	19	0	5	13	1	
mcp1k	54527	16	11	0	7	4	0	
mcp1k	55231	15	15	0	8	7	0	
mcp1k	55539	18	20	0	7	13	0	
mcp1k	55583	13	12	0	10	2	0	
mcp1k	55595	9	10	0	4	6	0	
mcp1k	55627	20	24	0	15	9	0	
mcp1k	55693	15	12	0	6	6	0	
