sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp2k	75355	18255	0	0																						nan	nan		nan	nan	nan	nan	no-bundle	0				18.905	0.675	310760	{"-1:2": "-1,-1,-1", "1:4": "-1,-1,-1", "2:1000011": "-1,-1,-1", "3:1000010": "-1,-1,-1", "4:1000005": "-1,-1,-1", "6:1000003": "-1,-1,-1", "7:1000001": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:5": "-1,-1,-1"}
mcp2k	75377	18255	0	1	20	128.313	-83.6844	351.398	1540	240	2	0	161.845	1.02058	0.953144	0.0520446	0	nan	nan	0	0	0	0	51110.3	261	0.126416	3.70874e+07	0	0	877.348	0.754427	379.849	nu-candidate	1	4.9787054	-15.0	597.1046	28.695	7.738	1226236	{"11:10": "-1,-1,-1", "12:1000018": "-1,-1,-1", "13:1000010": "-1,-1,-1", "15:1000001": "-1,-1,-1", "17:1000006": "-1,-1,-1", "19:1000011": "-1,-1,-1", "1:18": "-1,-1,-1", "20:1000008": "0,0,0", "21:1000009": "-1,-1,-1", "22:1000003": "-1,-1,-1", "23:1000007": "-1,-1,-1", "24:1000002": "-1,-1,-1", "3:17": "-1,-1,-1", "5:3": "-1,-1,-1", "9:0": "-1,-1,-1"}
mcp2k	75399	18255	0	0																						nan	nan		nan	nan	nan	nan	no-bundle	0				15.441	1.509	459956	{"-1:1000009": "-1,-1,-1", "12:1000000": "-1,-1,-1", "13:0": "-1,-1,-1", "14:1000003": "-1,-1,-1", "15:3": "-1,-1,-1", "16:1000005": "-1,-1,-1", "17:12": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:6": "-1,-1,-1", "20:1000001": "-1,-1,-1", "21:1000011": "-1,-1,-1", "4:7": "-1,-1,-1", "8:1000014": "-1,-1,-1"}
mcp2k	75488	18255	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				19.381	1.444	428316	{"11:0": "-1,-1,-1", "12:1000016": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:1000006": "-1,-1,-1", "17:1000007": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:9": "-1,-1,-1", "1:17": "-1,-1,-1", "20:1000000": "-1,-1,-1", "21:1000001": "-1,-1,-1", "22:2": "-1,-1,-1", "23:5": "-1,-1,-1", "24:4": "-1,-1,-1", "3:6": "-1,-1,-1", "6:11": "-1,-1,-1", "8:12": "0,0,1", "9:7": "-1,-1,-1"}
mcp2k	75554	18255	0	1	4	69.6802	-108.36	46.532	1658	283	3	1	123.869	1.01961	0.11099	0.0878049	0	nan	nan	0	0	0	0	51881.4	197	0.0543776	2.41462e+07	1	0.924139	4000	1	299.88	nu-candidate	1	0.84841305	-15.0	1188.3967	23.459	9.239	1155452	{"4:1000002": "0,0,0", "5:1": "-1,-1,-1", "6:2": "-1,-1,-1", "7:1000000": "-1,-1,-1"}
mcp2k	75590	18255	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				18.345	1.056	361208	{"10:1000002": "-1,-1,-1", "11:1000007": "-1,-1,-1", "2:1": "1,0,0", "5:1000011": "-1,-1,-1", "7:1000004": "-1,-1,-1", "9:1000006": "-1,-1,-1"}
mcp2k	75668	18255	0	1	14	-23.7393	199.885	382.918	200	37	1	0	15.0473	1.01747	0.178612	0.0416667	0	nan	nan	0	0	0	0	nan	0	0.0502019	2.59888e+06	0	0	-1	-1	-1	cosmic-tagged	1	-1.5451949	-15.0	58.211216	19.750	5.957	1194572	{"10:2": "-1,-1,-1", "11:1000003": "-1,-1,-1", "2:3": "-1,-1,-1", "6:1000000": "-1,-1,-1", "7:1000001": "1,0,0", "8:0": "-1,-1,-1", "9:4": "-1,-1,-1"}
mcp2k	75678	18255	0	1	15	-165.26	-153.462	376.725	538	118	1	0	41.4566	1.0043	0.278854	0.0147059	0	nan	nan	0	0	0	0	52654.5	60	0.0752078	7.18801e+06	1	14.1203	292.501	0.919317	124.776	nu-candidate	1	0.78821975	-15.0	259.69937	12.113	5.322	1147640	{"10:1000002": "-1,-1,-1", "11:1": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:5": "-1,-1,-1", "15:4": "0,0,0", "16:1000007": "-1,-1,-1", "1:9": "-1,-1,-1", "2:13": "-1,-1,-1", "5:1000012": "-1,-1,-1", "6:1000011": "-1,-1,-1"}
mcp2k	75700	18255	0	1	15	-96.724	-40.0327	31.3202	1429	236	3	0	140.223	1.0257	0.332843	0.0574024	11.5144	1.09596	0.162043	11.5144	11.5144	11.5144	11.5144	55108.6	170	0.289561	4.39441e+07	1	3.83463	423.548	0.801903	265.45	nu-candidate	1	2.910814	-15.0	742.41437	23.329	7.530	1237100	{"12:1000000": "-1,-1,-1", "13:14": "-1,-1,-1", "14:3": "-1,-1,-1", "15:6": "0,0,1", "16:1": "-1,-1,-1", "17:1000007": "-1,-1,-1", "18:1000005": "-1,-1,-1", "19:1000002": "-1,-1,-1", "20:4": "-1,-1,-1", "21:1000015": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000004": "-1,-1,-1", "9:1000006": "-1,-1,-1"}
mcp2k	75729	18255	0	1	18	-74.1095	-170.003	367.587	529	176	3	2	50.949	1.01768	0.0266828	0.047619	0	nan	nan	0	0	0	0	nan	0	0.155423	1.29602e+07	1	6.35056	435.5	0.510339	419.442	nu-candidate	1	0.120697096	-15.0	433.74173	22.026	6.878	1189808	{"10:1000001": "-1,-1,-1", "12:2": "-1,-1,-1", "13:1000004": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000009": "-1,-1,-1", "16:1": "-1,-1,-1", "17:3": "-1,-1,-1", "18:5": "0,0,1", "19:1000000": "-1,-1,-1", "20:1000007": "-1,-1,-1", "6:0": "-1,-1,-1", "7:1000012": "-1,-1,-1", "9:1000014": "-1,-1,-1"}
mcp2k	75730	18255	0	1	11	44.0968	-188.662	138.891	492	75	1	0	60.2371	1.04832	2.02626	0.222222	60.2371	1.04832	2.02626	60.2371	0	60.2371	0	68734.6	91	0.257037	1.95834e+07	1	16.0332	150.408	0.506165	165.288	nu-candidate	1	2.276312	-15.0	379.234	20.783	5.779	1166192	{"10:1000007": "-1,-1,-1", "11:1000008": "0,0,1", "12:1000000": "-1,-1,-1", "13:1000004": "-1,-1,-1", "14:1000010": "-1,-1,-1", "15:1000003": "-1,-1,-1", "4:0": "-1,-1,-1", "7:1000006": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
mcp2k	75795	18255	0	1	14	-197.328	117.963	176.551	2183	263	2	0	153.806	1.06342	1.26441	0.255176	113.472	1.07315	1.49353	113.472	113.472	113.472	113.472	56233	180	0.137995	3.54432e+07	1	2.84301	289.293	0.782794	276.931	nu-candidate	1	2.4468844	-15.0	662.8262	24.476	8.929	1226720	{"10:1000004": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1000006": "-1,-1,-1", "13:3": "-1,-1,-1", "14:0": "0,0,0", "15:1000009": "-1,-1,-1", "16:1000007": "-1,-1,-1", "1:1": "-1,-1,-1", "2:10": "-1,-1,-1", "4:1000002": "-1,-1,-1", "6:1000003": "-1,-1,-1", "7:1000000": "-1,-1,-1", "9:1000008": "-1,-1,-1"}
mcp2k	75862	18255	0	1	10	79.8927	16.1467	256.228	1315	184	2	0	136.055	1.06599	0.830903	0.187399	30.0173	1.19282	0.643697	30.0173	30.0173	30.0173	30.0173	53549.4	168	0.0465066	3.07419e+07	1	5.89287	255.68	0.350248	262.209	nu-candidate	1	3.3959272	-15.0	642.8344	22.452	7.823	1143308	{"10:1000002": "0,0,1", "11:3": "-1,-1,-1", "12:2": "-1,-1,-1", "2:1": "-1,-1,-1", "4:5": "-1,-1,-1", "5:1000006": "-1,-1,-1", "6:1000003": "-1,-1,-1", "8:1000001": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
